config,mu,Q,throughput_per_day,non_battery_cost_per_day
3yr,0.0001,10,12.820851235003142,14.160266532190986
3yr,0.001,10,12.80702327841066,14.160274121724646
3yr,0.01,10,12.670572777780068,14.161022446928445
3yr,0.1,10,11.41067177758668,14.228765860543394
3yr,1.0,10,3.5037092102721683,19.48453877494355
2018,0.0001,10,12.526168542512535,12.98466375789013
2018,0.001,10,12.512646112450835,12.984671185270273
2018,0.01,10,12.378932791556572,12.985405454985994
2018,0.1,10,11.161929298414845,13.050528608849644
2018,1.0,10,2.7357732707623064,18.97558332593916
2019,0.0001,10,12.991462640566638,14.008224133905777
2019,0.001,10,12.977825900533233,14.00823163848621
2019,0.01,10,12.843381345052913,14.008968078725951
2019,0.1,10,11.611828860042193,14.07516683611271
2019,1.0,10,3.8633655114904286,19.29457890788687
2020,0.0001,10,12.95305156580511,15.451346070692628
2020,0.001,10,12.93876386573046,15.451353893852177
2020,0.01,10,12.797816843067416,15.452126899895875
2020,0.1,10,11.467733708303829,15.524002623512125
2020,1.0,10,3.9020331703161224,20.168237464734247
event_1d,0.0001,10,12.912253331435148,14.964978187588999
event_1d,0.001,10,12.898729920348016,14.964985601228172
event_1d,0.01,10,12.765613392734217,14.96571474346664
event_1d,0.1,10,11.547290912709009,15.031186875374544
event_1d,1.0,10,3.8557572779332294,20.209704088161953
event_2d,0.0001,10,12.885413325858687,15.054790672953702
event_2d,0.001,10,12.871860910973558,15.054798118105806
event_2d,0.01,10,12.738319523351961,15.055529605338993
event_2d,0.1,10,11.516270780974477,15.121196717143699
event_2d,1.0,10,3.86402301421433,20.266036465216505
event_4d,1e-05,10,12.835083187049456,15.244563420048637
event_4d,0.0001,10,12.833667204446146,15.24456350436942
event_4d,0.001,10,12.820005419526682,15.244571023284887
event_4d,0.01,10,12.685319151459904,15.245308787021282
event_4d,0.1,10,11.452882887607876,15.311526924345998
event_4d,1.0,10,3.884865574574257,20.38787998479712
event_8d,1e-05,10,12.70909414670304,16.21685469395275
event_8d,0.0001,10,12.707622962052834,16.216854776191667
event_8d,0.001,10,12.694041238276899,16.216862232662322
event_8d,0.01,10,12.560341732522891,16.217594518010014
event_8d,0.1,10,11.348759909288276,16.28253278674903
event_8d,1.0,10,3.921426355332516,21.250718689969574
3yr_Qsweep,0.0001,4,7.405892474356725,17.521142027901373
3yr_Qsweep,0.001,4,7.402779046096,17.521143745552934
3yr_Qsweep,0.01,4,7.371501520322701,17.52131595681118
3yr_Qsweep,0.1,4,7.028771513690013,17.54060255899738
3yr_Qsweep,1.0,4,3.1606884321456525,20.060784083323774
3yr_Qsweep,0.0001,8,11.91909298065122,14.81606995452458
3yr_Qsweep,0.001,8,11.907251479152576,14.816076457009775
3yr_Qsweep,0.01,8,11.78879141844902,14.816727861836844
3yr_Qsweep,0.1,8,10.618353700928552,14.880710982057328
3yr_Qsweep,1.0,8,3.4271052621918567,19.59237961778862
3yr_Qsweep,0.0001,16,13.819699470961904,13.271871778199063
3yr_Qsweep,0.001,16,13.805290288982908,13.271879677872848
3yr_Qsweep,0.01,16,13.663773664178555,13.272654930404032
3yr_Qsweep,0.1,16,12.379443177087541,13.34154048418041
3yr_Qsweep,1.0,16,3.703339437297715,19.23182480851041
3yr_Qsweep,0.0001,32,14.795456551706868,12.297928764235175
3yr_Qsweep,0.001,32,14.78110949524493,12.297936538251193
3yr_Qsweep,0.01,32,14.640423602208365,12.298708383713157
3yr_Qsweep,0.1,32,13.341048815702512,12.36866203275651
3yr_Qsweep,1.0,32,4.019774234137296,18.871898683424398
