BUS_I,LAT,LON,GEOHASH
2638,34.589863,-118.663274,9q5sgb
2901,35.799967,-115.012448,9qq5wv
2902,35.0525,-118.173889,9q5zqv
3101,37.788555,-122.395045,9q8yyz
3102,37.704337,-122.410274,9q8yqr
3103,37.582985,-122.318546,9q9jb9
3104,37.704337,-122.410274,9q8yqr
3105,37.75843,-122.398,9q8yyc
3133,37.582985,-122.318546,9q9jb9
3135,37.75843,-122.398,9q8yyc
3201,37.978056,-122.031111,9qc0p1
3202,37.848161,-122.16088,9q9pk4
3203,37.501131,-121.987444,9q9m24
3204,38.037129,-121.897096,9qc26h
3205,37.905327,-122.208867,9q9peh
3234,38.037129,-121.897096,9qc26h
3301,37.222363,-121.746496,9q97v8
3302,37.4198065,-122.2042168,9q9hgh
3303,37.222363,-121.746496,9q97v8
3304,37.322286,-122.0737899,9q9hq4
3305,37.494231,-122.138182,9q9jk9
3333,37.222363,-121.746496,9q97v8
3401,36.850535,-119.92442,9qd9xh
3402,37.039937,-118.946978,9qe6tq
3403,36.609214,-119.639632,9qdbm8
3404,36.675814,-120.46628,9qd2ds
3405,37.291036,-120.407178,9qdkhh
3432,37.039937,-118.946978,9qe6tq
3433,36.609214,-119.639632,9qdbm8
3501,38.497952,-122.761324,9qben2
3531,38.497952,-122.761324,9qben2
3601,40.801944,-124.163611,9pr8ne
3631,40.801944,-124.163611,9pr8ne
3701,39.527222,-119.821944,9r4bc7
3731,39.527222,-119.821944,9r4bc7
3801,35.230747,-120.855104,9q603v
3802,36.144321,-120.124187,9q6tde
3803,35.408481,-119.456003,9q713t
3804,36.144321,-120.124187,9q6tde
3805,35.408481,-119.456003,9q713t
3806,35.38543,-120.858669,9q613c
3831,35.230747,-120.855104,9q603v
3835,35.408481,-119.456003,9q713t
3836,35.38543,-120.858669,9q613c
3891,36.144321,-120.124187,9q6tde
3892,35.408481,-119.456003,9q713t
3893,35.408481,-119.456003,9q713t
3894,35.408481,-119.456003,9q713t
3895,35.408481,-119.456003,9q713t
3896,35.408481,-119.456003,9q713t
3897,35.408481,-119.456003,9q713t
3901,37.054001,-121.022616,9q9fy1
3902,36.737604,-121.732796,9q92vz
3903,37.71247,-121.565283,9q9w99
3904,38.40437,-121.918134,9qc63x
3905,39.55548,-121.645379,9r13pb
3906,40.808138,-121.936762,9r321k
3907,38.01622,-121.015147,9qcbq0
3908,38.547942,-121.407942,9qcem3
3909,39.2617,-121.337,9qcxqg
3910,39.018333,-122.290278,9qcjcp
3911,40.397712,-122.265115,9r1jcf
3912,39.521944,-122.013889,9r10zd
3913,38.657961,-121.137023,9qcggm
3914,38.070278,-122.538611,9qbbed
3915,38.249937,-122.583996,9qbcde
3916,39.435504,-122.23327,9r106e
3917,37.054001,-121.022616,9q9fy1
3918,36.737604,-121.732796,9q92vz
3919,39.435556,-121.538056,9r1867
3920,38.93608,-121.463992,9qcts0
3921,40.808138,-121.936762,9r321k
3922,39.55548,-121.645379,9r13pb
3923,37.71247,-121.565283,9q9w99
3924,38.40437,-121.918134,9qc63x
3925,40.397712,-122.265115,9r1jcf
3926,38.93608,-121.463992,9qcts0
3931,40.808138,-121.936762,9r321k
3932,36.737604,-121.732796,9q92vz
3933,37.71247,-121.565283,9q9w99
4001,42.004704,-121.318052,9r3wzq
4002,43.016085,-120.953695,9r9uxw
4003,43.767338,-118.797842,9rg8bx
4004,44.481129,-121.01542,9rcvn1
4005,45.677819,-120.733553,c245ue
4006,45.60664,-121.115583,c21g7y
4007,45.594757,-121.113585,c21g7u
4008,42.004704,-121.318052,9r3wzq
4009,45.60664,-121.115583,c21g7y
4010,45.594757,-121.113585,c21g7u
4031,42.004704,-121.318052,9r3wzq
4035,45.677819,-120.733553,c245ue
4039,45.60664,-121.115583,c21g7y
4090,42.004704,-121.318052,9r3wzq
4091,44.481129,-121.01542,9rcvn1
4092,44.481129,-121.01542,9rcvn1
4093,44.481129,-121.01542,9rcvn1
4094,44.481129,-121.01542,9rcvn1
4095,44.481129,-121.01542,9rcvn1
4096,44.481129,-121.01542,9rcvn1
4097,44.481129,-121.01542,9rcvn1
4101,47.947893,-118.996055,c2e2u0
4102,46.669392,-119.573343,c26crp
4103,47.746353,-117.373738,c2kx95
4104,47.746353,-117.373738,c2kx95
4131,47.947893,-118.996055,c2e2u0
4132,46.669392,-119.573343,c26crp
4201,48.22276,-121.837459,c2967d
4202,47.065363,-121.779859,c237sz
4203,44.051652,-123.091142,9rb6wg
4204,42.358895,-122.760172,9r88yx
4231,48.22276,-121.837459,c2967d
4232,47.065363,-121.779859,c237sz
5001,49.429986,-122.303722,c2c10y
5002,49.429986,-122.303722,c2c10y
5003,49.686968,-117.438199,c2u6xt
5004,49.686968,-117.438199,c2u6xt
5031,49.429986,-122.303722,c2c10y
5032,49.429986,-122.303722,c2c10y
6101,42.888986,-114.199277,9rwgcr
6102,42.888986,-114.199277,9rwgcr
6103,42.835449,-113.348619,9rx7st
6104,42.835449,-113.348619,9rx7st
6132,42.888986,-114.199277,9rwgcr
6201,45.689474,-106.552322,c8h5zm
6202,46.515909,-112.878383,c2r8x7
6203,45.689474,-106.552322,c8h5zm
6204,46.515909,-112.878383,c2r8x7
6205,47.432975,-111.260716,c82vu4
6231,45.689474,-106.552322,c8h5zm
6235,47.432975,-111.260716,c82vu4
6301,42.083869,-108.529745,9x6z6m
6302,41.383369,-105.567246,9xkgmv
6303,42.083869,-108.529745,9x6z6m
6304,41.383369,-105.567246,9xkgmv
6305,41.826887,-110.64461,9x3mfn
6333,42.083869,-108.529745,9x6z6m
6335,41.826887,-110.64461,9x3mfn
6401,39.499336,-119.188176,9r50xy
6402,39.527222,-119.821944,9r4bc7
6403,41.182805,-116.954457,9rkf69
6404,39.476861,-114.70735,9rn2tf
6433,41.182805,-116.954457,9rkf69
6501,41.439081,-112.006907,9x27ep
6502,40.42316497,-112.008,9x0mgn
6503,40.030278,-109.188333,9x47er
6504,39.868637,-111.977164,9x06gc
6505,37.870747,-109.314458,9wdr2q
6506,37.870747,-109.314458,9wdr2q
6507,38.887109,-111.917677,9wbmjr
6508,40.053045,-111.394196,9x0gc5
6509,40.772832,-111.846293,9x0ryy
6510,41.439081,-112.006907,9x27ep
6533,40.030278,-109.188333,9x47er
7001,38.542595,-104.660626,9wve62
7002,40.521809,-107.506652,9x5w98
7031,38.542595,-104.660626,9wve62
7032,40.521809,-107.506652,9x5w98
8001,40.382027,-122.384572,9r0vxp
8002,37.74752,-121.416448,9q9wtp
8003,40.397712,-122.265115,9r1jcf
8004,38.344823,-121.123005,9qcf5u
8005,37.74752,-121.416448,9q9wtp
8033,40.397712,-122.265115,9r1jcf
8034,38.344823,-121.123005,9qcf5u
