Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long,geohash
1001,FOURCORN,500,,1,1.0272,18.95,1.1,0.9,1.1,0.9,36.670897,-108.581419,9wdb95
1002,FOURCORN,345,,1,1.014,23.32,1.1,0.9,1.1,0.9,36.670897,-108.581419,9wdb95
1003,FOURCORN,230,,1,0.9732,14.65,1.1,0.9,1.1,0.9,36.670897,-108.581419,9wdb95
1004,SAN JUAN,345,,1,1.03,36.16,1.1,0.9,1.1,0.9,36.910483,-108.278462,9we1bp
1032,FCNGN4CC,20,,2,1.0176,23.89,1.1,0.9,1.1,0.9,36.670897,-108.581419,9wdb95
1034,SJUAN G4,20,,2,1.0315,37.78,1.1,0.9,1.1,0.9,36.910483,-108.278462,9we1bp
1101,CORONADO,500,,1,1.01,-4.7,1.1,0.9,1.1,0.9,35.131373,-109.690674,9w1zzg
1102,CHOLLA,345,,1,0.9809,6.63,1.1,0.9,1.1,0.9,34.940278,-110.300278,9w1wf0
1131,CORONADO,20,,2,1.0107,-3.97,1.1,0.9,1.1,0.9,35.131373,-109.690674,9w1zzg
1201,MOENKOPI,500,,1,1.0845,0.06,1.1,0.9,1.1,0.9,35.985019,-111.090655,9w3h8n
1202,NAVAJO,500,,1,1.08,3.13,1.1,0.9,1.1,0.9,36.961002,-110.864429,9w94m0
1232,NAVAJO 2,20,,2,1.0807,3.96,1.1,0.9,1.1,0.9,36.961002,-110.864429,9w94m0
1301,MEAD,500,,1,1.045,-4.67,1.1,0.9,1.1,0.9,35.929472,-114.835922,9qqk6u
1302,H ALLEN,500,,1,1.0274,-3.78,1.1,0.9,1.1,0.9,36.649771,-115.134207,9qw0kp
1303,H ALLEN,345,,1,1.005,-6.03,1.1,0.9,1.1,0.9,36.649771,-115.134207,9qw0kp
1331,HOOVER,20,,2,1.0452,-3.59,1.1,0.9,1.1,0.9,35.929472,-114.835922,9qqk6u
1333,H ALLEN,20,,2,1.0088,-4.58,1.1,0.9,1.1,0.9,36.649771,-115.134207,9qw0kp
