,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
4131.0,184.0,2.0,0.0,0.0,0.0,0.0,3.0,0.856228,-4.57712,20.0,13.0,1.2,0.8
4132.0,185.0,2.0,0.0,0.0,0.0,0.0,3.0,0.862002,-4.19075,20.0,13.0,1.2,0.8
4231.0,190.0,2.0,0.0,0.0,0.0,0.0,3.0,0.859788,-4.97278,20.0,13.0,1.2,0.8
4232.0,191.0,2.0,0.0,0.0,0.0,0.0,3.0,0.867992,-4.1397,20.0,13.0,1.2,0.8
5031.0,196.0,2.0,0.0,0.0,0.0,0.0,3.0,0.856388,-9.28373,20.0,4.0,1.2,0.8
5032.0,197.0,2.0,0.0,0.0,0.0,0.0,3.0,0.850073,-9.93509,20.0,1.0,1.2,0.8
6132.0,202.0,2.0,0.0,0.0,0.0,0.0,3.0,0.906347,-0.433084,20.0,6.0,1.2,0.8
6231.0,208.0,2.0,0.0,0.0,0.0,0.0,3.0,0.882896,-1.2952,20.0,8.0,1.2,0.8
6235.0,209.0,2.0,0.0,0.0,0.0,0.0,3.0,0.895238,-0.348498,20.0,8.0,1.2,0.8
6333.0,215.0,2.0,0.0,0.0,0.0,0.0,3.0,0.919213,0.0127733,20.0,14.0,1.2,0.8
6335.0,216.0,2.0,0.0,0.0,0.0,0.0,3.0,0.932252,0.377797,20.0,14.0,1.2,0.8
6433.0,221.0,2.0,0.0,0.0,0.0,0.0,1.0,0.92891,0.763131,20.0,9.0,1.2,0.8
6533.0,232.0,2.0,0.0,0.0,0.0,0.0,3.0,0.938009,-0.220038,20.0,12.0,1.2,0.8
7031.0,235.0,2.0,0.0,0.0,0.0,0.0,3.0,0.988558,-2.05985,20.0,5.0,1.2,0.8
7032.0,236.0,2.0,0.0,0.0,0.0,0.0,3.0,0.987304,-1.86317,20.0,5.0,1.2,0.8
8033.0,242.0,2.0,0.0,0.0,0.0,0.0,2.0,0.914664,-0.793987,20.0,2.0,1.2,0.8
8034.0,243.0,2.0,0.0,0.0,0.0,0.0,2.0,0.930985,-1.54596,20.0,2.0,1.2,0.8
