,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
2611.0,64.0,1.0,30.9824,57.2227,0.0,0.0,2.0,0.956084,2.31657,230.0,2.0,1.2,0.8
2612.0,65.0,1.0,46.0629,83.2745,0.0,0.0,2.0,0.955859,2.20472,230.0,2.0,1.2,0.8
2618.0,71.0,2.0,362.091,467.407,0.0,0.0,2.0,0.955922,2.15991,230.0,2.0,1.2,0.8
2619.0,72.0,2.0,-1067.96,-1480.99,0.0,0.0,2.0,0.955647,2.20336,230.0,2.0,1.2,0.8
2609.0,62.0,1.0,57.2547,103.033,0.0,0.0,2.0,0.95587,2.14177,230.0,2.0,1.2,0.8
2615.0,68.0,2.0,365.985,584.723,0.0,0.0,2.0,0.955844,2.10091,230.0,2.0,1.2,0.8
2617.0,70.0,1.0,47.2953,93.0927,0.0,0.0,2.0,0.95587,2.19099,230.0,2.0,1.2,0.8
2610.0,63.0,1.0,11.433,56.0385,0.0,0.0,2.0,0.955977,2.71221,230.0,2.0,1.2,0.8
2613.0,66.0,2.0,111.362,245.572,0.0,0.0,2.0,0.955893,2.25622,230.0,2.0,1.2,0.8
2616.0,69.0,1.0,42.5827,90.5874,0.0,0.0,2.0,0.95587,2.23325,230.0,2.0,1.2,0.8
2620.0,73.0,1.0,85.8215,127.733,0.0,0.0,2.0,0.955868,2.14786,230.0,2.0,1.2,0.8
2614.0,67.0,1.0,57.8287,108.552,0.0,0.0,2.0,0.955839,2.15508,230.0,2.0,1.2,0.8
3101.0,82.0,2.0,586.136,65.1503,0.0,0.0,2.0,0.920332,0.226508,230.0,2.0,1.2,0.8
3102.0,83.0,1.0,271.277,41.1341,0.0,0.0,2.0,0.920317,0.288421,230.0,2.0,1.2,0.8
3103.0,84.0,2.0,714.078,108.563,0.0,0.0,2.0,0.919843,0.266101,230.0,2.0,1.2,0.8
3302.0,96.0,2.0,593.281,86.3475,0.0,0.0,2.0,0.919609,0.208588,230.0,2.0,1.2,0.8
3204.0,92.0,2.0,1143.01,155.891,0.0,0.0,2.0,0.918764,0.152861,230.0,2.0,1.2,0.8
3305.0,99.0,2.0,742.444,53.2274,0.0,0.0,2.0,0.919032,0.107567,230.0,2.0,1.2,0.8
3104.0,85.0,2.0,399.548,206.386,0.0,0.0,2.0,0.925004,1.07105,115.0,2.0,1.2,0.8
3105.0,86.0,1.0,118.653,173.158,0.0,0.0,2.0,0.930475,2.04989,115.0,2.0,1.2,0.8
3201.0,89.0,2.0,796.595,-9.33319,0.0,0.0,2.0,0.917008,-0.132012,230.0,2.0,1.2,0.8
3202.0,90.0,2.0,1012.37,-14.2258,0.0,0.0,2.0,0.917387,-0.0817305,230.0,2.0,1.2,0.8
3203.0,91.0,2.0,1135.15,81.3822,0.0,0.0,2.0,0.917981,0.00803635,230.0,2.0,1.2,0.8
3923.0,152.0,2.0,684.035,32.2354,0.0,0.0,2.0,0.918214,-0.0325944,230.0,2.0,1.2,0.8
3924.0,153.0,2.0,565.386,-69.7969,0.0,0.0,2.0,0.915384,-0.283214,230.0,2.0,1.2,0.8
3205.0,93.0,2.0,943.596,58.1881,0.0,0.0,2.0,0.918213,0.0456892,230.0,2.0,1.2,0.8
3303.0,97.0,2.0,1052.8,219.178,0.0,0.0,2.0,0.919045,0.31106,230.0,2.0,1.2,0.8
3914.0,143.0,1.0,389.047,83.3107,0.0,0.0,2.0,0.919158,0.26631,230.0,2.0,1.2,0.8
3915.0,144.0,1.0,440.972,43.7253,0.0,0.0,2.0,0.917817,0.0764795,230.0,2.0,1.2,0.8
3301.0,95.0,1.0,0.0,0.0,0.0,0.0,2.0,0.91758,0.209293,500.0,2.0,1.2,0.8
3902.0,131.0,1.0,221.209,119.522,0.0,0.0,2.0,0.922683,0.852398,500.0,2.0,1.2,0.8
3903.0,132.0,1.0,357.978,-60.4652,0.0,0.0,2.0,0.912057,-0.380903,500.0,2.0,1.2,0.8
3304.0,98.0,2.0,911.901,138.874,0.0,0.0,2.0,0.919258,0.231332,230.0,2.0,1.2,0.8
3918.0,147.0,2.0,498.626,190.34,0.0,0.0,2.0,0.922573,0.651022,230.0,2.0,1.2,0.8
3401.0,101.0,2.0,874.186,292.671,0.0,0.0,2.0,0.928747,0.662921,230.0,2.0,1.2,0.8
3402.0,102.0,1.0,0.0,0.0,0.0,0.0,2.0,0.928535,0.664321,230.0,2.0,1.2,0.8
3404.0,104.0,2.0,508.892,343.28,0.0,0.0,2.0,0.929738,1.24913,230.0,2.0,1.2,0.8
3405.0,105.0,2.0,782.211,-19.1857,0.0,0.0,2.0,0.926323,0.0923447,230.0,2.0,1.2,0.8
3804.0,117.0,1.0,185.778,206.315,0.0,0.0,2.0,0.933507,1.65027,230.0,2.0,1.2,0.8
3403.0,103.0,2.0,192.222,383.192,0.0,0.0,2.0,0.93404,2.24852,230.0,2.0,1.2,0.8
3917.0,146.0,1.0,327.031,165.961,0.0,0.0,2.0,0.927267,0.965654,230.0,2.0,1.2,0.8
3907.0,136.0,2.0,785.116,-164.891,0.0,0.0,2.0,0.923899,-0.301257,230.0,2.0,1.2,0.8
3501.0,108.0,2.0,967.752,406.14,0.0,0.0,2.0,0.920843,0.67167,230.0,2.0,1.2,0.8
3601.0,110.0,1.0,53.986,-71.6819,0.0,0.0,2.0,0.927979,-2.05499,115.0,2.0,1.2,0.8
3925.0,154.0,1.0,0.0,0.0,0.0,0.0,2.0,0.921199,-1.72839,115.0,2.0,1.2,0.8
3701.0,112.0,1.0,594.018,-121.777,0.0,0.0,1.0,0.934557,-0.0772538,115.0,9.0,1.2,0.8
3926.0,155.0,1.0,435.45,-163.111,0.0,0.0,2.0,0.928014,-0.4319,115.0,2.0,1.2,0.8
3801.0,114.0,1.0,74.3146,154.203,0.0,0.0,2.0,0.939797,2.25759,500.0,2.0,1.2,0.8
3802.0,115.0,1.0,0.0,0.0,0.0,0.0,2.0,0.936773,1.77289,500.0,2.0,1.2,0.8
3803.0,116.0,1.0,0.0,0.0,0.0,0.0,2.0,0.94078,1.90148,500.0,2.0,1.2,0.8
3891.0,123.0,1.0,0.0,0.0,0.0,0.0,2.0,0.947703,2.1631,500.0,2.0,1.2,0.8
3901.0,130.0,1.0,0.0,0.0,0.0,0.0,2.0,0.925931,0.903882,500.0,2.0,1.2,0.8
3892.0,124.0,1.0,0.0,0.0,0.0,0.0,2.0,0.93537,1.91991,500.0,2.0,1.2,0.8
3894.0,126.0,1.0,0.0,0.0,0.0,0.0,2.0,0.935285,1.9199,500.0,2.0,1.2,0.8
3896.0,128.0,1.0,0.0,0.0,0.0,0.0,2.0,0.934945,1.92324,500.0,2.0,1.2,0.8
3806.0,119.0,1.0,31.5064,90.8202,0.0,0.0,2.0,0.940775,2.82415,230.0,2.0,1.2,0.8
3805.0,118.0,2.0,144.008,344.251,0.0,0.0,2.0,0.941128,2.40369,230.0,2.0,1.2,0.8
8002.0,238.0,1.0,0.0,0.0,0.0,0.0,2.0,0.913844,-0.40993,500.0,2.0,1.2,0.8
3904.0,133.0,1.0,0.0,0.0,0.0,0.0,2.0,0.911182,-0.518804,500.0,2.0,1.2,0.8
3905.0,134.0,1.0,0.0,0.0,0.0,0.0,2.0,0.903505,-1.18345,500.0,2.0,1.2,0.8
3906.0,135.0,1.0,0.0,0.0,0.0,0.0,2.0,0.896148,-1.62448,500.0,2.0,1.2,0.8
4001.0,159.0,1.0,0.0,0.0,0.0,0.0,3.0,0.890246,-1.95199,500.0,11.0,1.2,0.8
3908.0,137.0,1.0,317.615,-128.093,0.0,0.0,2.0,0.922667,-0.593356,230.0,2.0,1.2,0.8
8004.0,240.0,2.0,3299.58,-3480.83,0.0,0.0,2.0,0.930911,-1.58288,230.0,2.0,1.2,0.8
3920.0,149.0,1.0,260.52,-122.179,0.0,0.0,2.0,0.921427,-0.724648,230.0,2.0,1.2,0.8
3909.0,138.0,1.0,230.865,-137.506,0.0,0.0,2.0,0.917996,-0.984374,230.0,2.0,1.2,0.8
3919.0,148.0,1.0,234.368,-169.93,0.0,0.0,2.0,0.914616,-1.10597,230.0,2.0,1.2,0.8
3910.0,139.0,1.0,302.843,-212.557,0.0,0.0,2.0,0.91405,-1.15253,230.0,2.0,1.2,0.8
3911.0,140.0,1.0,240.676,-166.438,0.0,0.0,2.0,0.913671,-1.41992,230.0,2.0,1.2,0.8
3912.0,141.0,1.0,184.839,-169.694,0.0,0.0,2.0,0.912904,-1.38391,230.0,2.0,1.2,0.8
3916.0,145.0,1.0,181.623,-145.633,0.0,0.0,2.0,0.913207,-1.24462,230.0,2.0,1.2,0.8
3921.0,150.0,1.0,148.098,-88.5797,0.0,0.0,2.0,0.909855,-1.46369,230.0,2.0,1.2,0.8
8003.0,239.0,2.0,927.792,-344.987,0.0,0.0,2.0,0.914471,-0.818391,230.0,2.0,1.2,0.8
3913.0,142.0,2.0,506.572,-204.471,0.0,0.0,2.0,0.921259,-0.675209,230.0,2.0,1.2,0.8
3922.0,151.0,1.0,330.388,-213.011,0.0,0.0,2.0,0.911318,-1.07452,230.0,2.0,1.2,0.8
8005.0,241.0,2.0,1921.55,-978.523,0.0,0.0,2.0,0.916716,-0.845199,230.0,2.0,1.2,0.8
4090.0,172.0,1.0,0.0,0.0,0.0,0.0,3.0,0.879131,-2.08622,500.0,11.0,1.2,0.8
4094.0,176.0,1.0,0.0,0.0,0.0,0.0,3.0,0.874864,-2.70945,500.0,11.0,1.2,0.8
4097.0,179.0,1.0,0.0,0.0,0.0,0.0,3.0,0.875006,-2.70659,500.0,11.0,1.2,0.8
4204.0,189.0,1.0,417.508,-651.351,0.0,0.0,3.0,0.884997,-2.3353,500.0,13.0,1.2,0.8
8001.0,237.0,1.0,0.0,0.0,0.0,0.0,2.0,0.905651,-1.03749,500.0,2.0,1.2,0.8
4002.0,160.0,1.0,102.039,-113.211,0.0,0.0,3.0,0.877576,-2.11101,500.0,11.0,1.2,0.8
4003.0,161.0,1.0,0.0,0.0,0.0,0.0,3.0,0.877,-1.37456,500.0,11.0,1.2,0.8
4091.0,173.0,1.0,0.0,0.0,0.0,0.0,3.0,0.874692,-2.49129,500.0,11.0,1.2,0.8
6101.0,198.0,1.0,0.0,0.0,0.0,0.0,3.0,0.897825,-0.686643,500.0,6.0,1.2,0.8
4004.0,162.0,1.0,69.9867,-83.6879,0.0,0.0,3.0,0.874023,-2.7681,500.0,11.0,1.2,0.8
4005.0,163.0,1.0,145.038,251.349,0.0,0.0,3.0,0.867391,-3.67028,500.0,11.0,1.2,0.8
4092.0,174.0,1.0,0.0,0.0,0.0,0.0,3.0,0.884305,-2.11716,500.0,11.0,1.2,0.8
4095.0,177.0,1.0,0.0,0.0,0.0,0.0,3.0,0.885099,-2.07979,500.0,11.0,1.2,0.8
4006.0,164.0,1.0,0.0,0.0,0.0,0.0,3.0,0.867939,-3.99236,500.0,11.0,1.2,0.8
4102.0,181.0,1.0,308.591,412.883,0.0,0.0,3.0,0.861526,-4.243,500.0,13.0,1.2,0.8
4202.0,187.0,1.0,2673.56,2990.43,0.0,0.0,3.0,0.867496,-4.19731,500.0,13.0,1.2,0.8
6202.0,204.0,1.0,29.4781,-24.9619,0.0,0.0,3.0,0.865791,-2.57612,500.0,8.0,1.2,0.8
4007.0,165.0,1.0,0.0,0.0,0.0,0.0,3.0,0.867992,-4.00446,500.0,11.0,1.2,0.8
4008.0,166.0,1.0,211.751,-240.388,0.0,0.0,3.0,0.893013,-1.87864,345.0,11.0,1.2,0.8
6401.0,217.0,2.0,2725.45,-1451.21,0.0,0.0,1.0,0.925873,-0.775966,345.0,9.0,1.2,0.8
4009.0,167.0,1.0,1237.33,1357.01,0.0,0.0,3.0,0.868927,-4.16319,230.0,11.0,1.2,0.8
4010.0,168.0,1.0,1789.25,1541.02,0.0,0.0,3.0,0.868879,-4.1808,230.0,11.0,1.2,0.8
4104.0,183.0,1.0,3796.63,1160.29,0.0,0.0,3.0,0.853648,-5.40988,230.0,13.0,1.2,0.8
4093.0,175.0,1.0,0.0,0.0,0.0,0.0,3.0,0.88573,-2.02914,500.0,11.0,1.2,0.8
4096.0,178.0,1.0,0.0,0.0,0.0,0.0,3.0,0.886622,-1.98672,500.0,11.0,1.2,0.8
4101.0,180.0,1.0,915.231,1021.6,0.0,0.0,3.0,0.855817,-4.632,500.0,13.0,1.2,0.8
4103.0,182.0,1.0,13.3365,9.1651,0.0,0.0,3.0,0.847039,-4.89741,500.0,13.0,1.2,0.8
4201.0,186.0,1.0,7102.85,4888.92,0.0,0.0,3.0,0.859023,-5.02396,500.0,13.0,1.2,0.8
5004.0,195.0,1.0,0.0,0.0,0.0,0.0,3.0,0.84153,-7.68128,230.0,4.0,1.2,0.8
5001.0,192.0,1.0,1373.58,-4.41979,0.0,0.0,3.0,0.856016,-9.36185,500.0,4.0,1.2,0.8
4203.0,188.0,1.0,2660.06,2879.94,0.0,0.0,3.0,0.869672,-4.2457,500.0,13.0,1.2,0.8
5002.0,193.0,1.0,3035.41,3888.68,0.0,0.0,3.0,0.850039,-10.0454,500.0,1.0,1.2,0.8
