busname,busID,Region
1001,1,1
1002,2,1
1003,3,1
1004,4,1
1032,5,1
1034,6,1
1101,7,1
1102,8,1
1131,9,1
1201,10,1
1202,11,1
1232,12,1
1301,13,1
1302,14,1
1303,15,1
1331,16,1
1333,17,1
1401,18,1
1402,19,1
1403,20,1
1431,21,1
2000,22,4
2030,23,4
2100,24,2
2130,25,2
2201,26,2
2202,27,2
2203,28,2
2233,29,2
2301,30,2
2302,31,2
2332,32,2
2400,33,2
2401,34,2
2402,35,2
2403,36,2
2404,37,2
2405,38,2
2406,39,2
2407,40,2
2408,41,2
2409,42,2
2410,43,2
2411,44,2
2431,45,2
2434,46,2
2438,47,2
2439,48,2
2501,49,2
2502,50,2
2503,51,2
2533,52,2
2600,53,2
2601,54,2
2602,55,2
2603,56,2
2604,57,2
2605,58,2
2606,59,2
2607,60,2
2608,61,2
2609,62,2
2610,63,2
2611,64,2
2612,65,2
2613,66,2
2614,67,2
2615,68,2
2616,69,2
2617,70,2
2618,71,2
2619,72,2
2620,73,2
2621,74,2
2630,75,2
2631,76,2
2634,77,2
2637,78,2
2638,79,2
2901,80,2
2902,81,2
3101,82,2
3102,83,2
3103,84,2
3104,85,2
3105,86,2
3133,87,2
3135,88,2
3201,89,2
3202,90,2
3203,91,2
3204,92,2
3205,93,2
3234,94,2
3301,95,2
3302,96,2
3303,97,2
3304,98,2
3305,99,2
3333,100,2
3401,101,2
3402,102,2
3403,103,2
3404,104,2
3405,105,2
3432,106,2
3433,107,2
3501,108,2
3531,109,2
3601,110,2
3631,111,2
3701,112,1
3731,113,1
3801,114,2
3802,115,2
3803,116,2
3804,117,2
3805,118,2
3806,119,2
3831,120,2
3835,121,2
3836,122,2
3891,123,2
3892,124,2
3893,125,2
3894,126,2
3895,127,2
3896,128,2
3897,129,2
3901,130,2
3902,131,2
3903,132,2
3904,133,2
3905,134,2
3906,135,2
3907,136,2
3908,137,2
3909,138,2
3910,139,2
3911,140,2
3912,141,2
3913,142,2
3914,143,2
3915,144,2
3916,145,2
3917,146,2
3918,147,2
3919,148,2
3920,149,2
3921,150,2
3922,151,2
3923,152,2
3924,153,2
3925,154,2
3926,155,2
3931,156,2
3932,157,2
3933,158,2
4001,159,3
4002,160,3
4003,161,3
4004,162,3
4005,163,3
4006,164,3
4007,165,3
4008,166,3
4009,167,3
4010,168,3
4031,169,3
4035,170,3
4039,171,3
4090,172,3
4091,173,3
4092,174,3
4093,175,3
4094,176,3
4095,177,3
4096,178,3
4097,179,3
4101,180,3
4102,181,3
4103,182,3
4104,183,3
4131,184,3
4132,185,3
4201,186,3
4202,187,3
4203,188,3
4204,189,3
4231,190,3
4232,191,3
5001,192,3
5002,193,3
5003,194,3
5004,195,3
5031,196,3
5032,197,3
6101,198,3
6102,199,3
6103,200,3
6104,201,3
6132,202,3
6201,203,3
6202,204,3
6203,205,3
6204,206,3
6205,207,3
6231,208,3
6235,209,3
6301,210,3
6302,211,3
6303,212,3
6304,213,3
6305,214,3
6333,215,3
6335,216,3
6401,217,1
6402,218,1
6403,219,1
6404,220,1
6433,221,1
6501,222,3
6502,223,3
6503,224,3
6504,225,3
6505,226,3
6506,227,3
6507,228,3
6508,229,3
6509,230,3
6510,231,3
6533,232,3
7001,233,3
7002,234,3
7031,235,3
7032,236,3
8001,237,2
8002,238,2
8003,239,2
8004,240,2
8005,241,2
8033,242,2
8034,243,2
