Bus  Number,Bus  Name,Base kV,Owner Name,Code,Voltage (pu),Angle (deg),Normal Vmax (pu),Normal Vmin (pu),Emergency Vmax (pu),Emergency Vmin (pu),Lat,Long
2631,OLIVE,20,,2,1.0152,-9.58,1.1,0.9,1.1,0.9,34.31131,-118.455696
2634,INTERM1G,20,,2,1.0307,36.68,1.1,0.9,1.1,0.9,39.500381,-112.580826
2637,OWENS G,20,,2,1.0141,-9.95,1.1,0.9,1.1,0.9,34.285768,-118.484219
2638,CASTAI4G,20,,2,1.0151,-9.44,1.1,0.9,1.1,0.9,34.589863,-118.663274
2901,ELDORADO,500,,1,1.0981,-6.36,1.1,0.9,1.1,0.9,35.799967,-115.012448
2902,MOHAVE,500,,1,1.11,-8.39,1.1,0.9,1.1,0.9,35.0525,-118.173889
3101,EMBRCDRD,230,,1,0.9796,-5.51,1.1,0.9,1.1,0.9,37.788555,-122.395045
3102,MARTIN,230,,1,0.9849,-4.24,1.1,0.9,1.1,0.9,37.704337,-122.410274
3103,SANMATEO,230,,1,0.9927,-2.21,1.1,0.9,1.1,0.9,37.582985,-122.318546
3104,MARTIN,115,,1,0.984,-10.08,1.1,0.9,1.1,0.9,37.704337,-122.410274
3105,POTRERO,115,,1,1,-10.51,1.1,0.9,1.1,0.9,37.75843,-122.398
3133,SANMATEO,20,,2,0.9929,-2.2,1.1,0.9,1.1,0.9,37.582985,-122.318546
3135,POTRERO,20,,2,1.0005,-10.45,1.1,0.9,1.1,0.9,37.75843,-122.398
3201,C.COSTA,230,,1,0.9977,-1.02,1.1,0.9,1.1,0.9,37.978056,-122.031111
3202,MORAGA,230,,1,0.9974,-0.81,1.1,0.9,1.1,0.9,37.848161,-122.16088
3203,NEWARK,230,,1,0.9981,-1.19,1.1,0.9,1.1,0.9,37.501131,-121.987444
3204,PITSBURG,230,,1,1.01,2.52,1.1,0.9,1.1,0.9,38.037129,-121.897096
3205,SOBRANTE,230,,1,0.9985,0.1,1.1,0.9,1.1,0.9,37.905327,-122.208867
3234,PITSBURG,20,,2,1.0126,3.63,1.1,0.9,1.1,0.9,38.037129,-121.897096
3301,METCALF,500,,1,1.0008,2.11,1.1,0.9,1.1,0.9,37.222363,-121.746496
3302,JEFFERSN,230,,1,0.9823,-4.16,1.1,0.9,1.1,0.9,37.4198065,-122.2042168
3303,METCALF,230,,1,1,-0.72,1.1,0.9,1.1,0.9,37.222363,-121.746496
3304,MONTAVIS,230,,1,0.9884,-2.86,1.1,0.9,1.1,0.9,37.322286,-122.0737899
3305,RAVENSWD,230,,1,0.9938,-2.57,1.1,0.9,1.1,0.9,37.494231,-122.138182
3333,METCALF,20,,2,1.0021,-0.49,1.1,0.9,1.1,0.9,37.222363,-121.746496
3401,GREGG,230,,1,0.9593,-11.18,1.1,0.9,1.1,0.9,36.850535,-119.92442
3402,HELMS PP,230,,1,0.9614,-11.19,1.1,0.9,1.1,0.9,37.039937,-118.946978
3403,MC CALL,230,,1,1,1.27,1.1,0.9,1.1,0.9,36.609214,-119.639632
3404,PANOCHE,230,,1,0.9856,-4.98,1.1,0.9,1.1,0.9,36.675814,-120.46628
3405,WILSON,230,,1,0.955,-12.99,1.1,0.9,1.1,0.9,38.978333,-121.625833
3432,HELMS PP,20,,2,0.9614,-11.19,1.1,0.9,1.1,0.9,37.039937,-118.946978
3433,MC CALL,20,,2,1.0004,1.62,1.1,0.9,1.1,0.9,36.609214,-119.639632
3501,FULTON,230,,1,1,3.94,1.1,0.9,1.1,0.9,38.497952,-122.761324
3531,FULTON,20,,2,1.0005,4.25,1.1,0.9,1.1,0.9,38.497952,-122.761324
3601,HUMBOLDT,115,,1,1.015,12.88,1.1,0.9,1.1,0.9,40.801944,-124.163611
3631,HUMBOLDT,20,,2,1.0149,12.91,1.1,0.9,1.1,0.9,40.801944,-124.163611
3701,SUMMIT,115,,1,1,-0.96,1.1,0.9,1.1,0.9,39.527222,-119.821944
3731,SUMMIT,20,,2,1.0003,-0.9,1.1,0.9,1.1,0.9,39.527222,-119.821944
3801,DIABLO,500,,1,1.049,2.99,1.1,0.9,1.1,0.9,35.230747,-120.855104
3802,GATES,500,,1,1.0323,-2.51,1.1,0.9,1.1,0.9,36.144321,-120.124187
3803,MIDWAY,500,,1,1.042,-4.53,1.1,0.9,1.1,0.9,35.408481,-119.456003
3804,GATES,230,,1,0.9973,-4.31,1.1,0.9,1.1,0.9,36.144321,-120.124187
3805,MIDWAY,230,,1,1.035,-4.27,1.1,0.9,1.1,0.9,35.408481,-119.456003
3806,MORROBAY,230,,1,1.019,-1.17,1.1,0.9,1.1,0.9,35.38543,-120.858669
3831,DIABLO1,20,,2,1.0491,3.54,1.1,0.9,1.1,0.9,35.230747,-120.855104
3835,MIDWAY,20,,2,1.0357,-4.17,1.1,0.9,1.1,0.9,35.408481,-119.456003
3836,MORROBAY,20,,2,1.0191,-0.98,1.1,0.9,1.1,0.9,35.38543,-120.858669
3891,GATES1,500,,1,1.0527,-7.68,1.1,0.9,1.1,0.9,36.144321,-120.124187
3892,MIDWAY1,500,,1,1.0337,-0.29,1.1,0.9,1.1,0.9,35.408481,-119.456003
3893,MIDWAY2,500,,1,1.0351,-12.5,1.1,0.9,1.1,0.9,35.408481,-119.456003
3894,MIDWAY3,500,,1,1.0334,-0.21,1.1,0.9,1.1,0.9,35.408481,-119.456003
3895,MIDWAY4,500,,1,1.0354,-12.53,1.1,0.9,1.1,0.9,35.408481,-119.456003
3896,MIDWAY5,500,,1,1.0339,0,1.1,0.9,1.1,0.9,35.408481,-119.456003
3897,MIDWAY6,500,,1,1.0369,-12.32,1.1,0.9,1.1,0.9,35.408481,-119.456003
3901,LOSBANOS,500,,1,1.0176,0.32,1.1,0.9,1.1,0.9,37.054001,-121.022616
3902,MOSSLAND,500,,1,1,3.84,1.1,0.9,1.1,0.9,36.737604,-121.732796
3903,TESLA,500,,1,1.0062,5.23,1.1,0.9,1.1,0.9,37.71247,-121.565283
3904,VACA-DIX,500,,1,1.0018,5.82,1.1,0.9,1.1,0.9,38.40437,-121.918134
3905,TABLE MT,500,,1,1.0142,13.31,1.1,0.9,1.1,0.9,39.55548,-121.645379
3906,ROUND MT,500,,1,1.057,19.69,1.1,0.9,1.1,0.9,40.808138,-121.936762
3907,BELLOTA,230,,1,0.9648,-10.8,1.1,0.9,1.1,0.9,38.01622,-121.015147
3908,BRIGHTON,230,,1,0.9646,-9.6,1.1,0.9,1.1,0.9,38.547942,-121.407942
3909,COLGATE,230,,1,0.9653,-5.34,1.1,0.9,1.1,0.9,39.2617,-121.337
3910,CORTINA,230,,1,0.9528,-3.98,1.1,0.9,1.1,0.9,39.018333,-122.290278
3911,COTWDPGE,230,,1,1.0267,13.09,1.1,0.9,1.1,0.9,40.397712,-122.265115
3912,GLENN,230,,1,1.0009,2.77,1.1,0.9,1.1,0.9,39.521944,-122.013889
3913,GOLDHILL,230,,1,0.9853,-5.64,1.1,0.9,1.1,0.9,38.657961,-121.137023
3914,IGNACIO,230,,1,0.9891,0.15,1.1,0.9,1.1,0.9,38.070278,-122.538611
3915,LAKEVILE,230,,1,0.992,0.04,1.1,0.9,1.1,0.9,38.249937,-122.583996
