id,type
C,steam
E,steam
B,biomass
NB,biomass
G,gas
DG,gas
EG,gas
TG,gas
RG,gas
SG,gas
WG,gas
NG,gas
MG,gas
CF,gas
CE,geothermal
NE,geothermal
P,storage
NP,storage
S,solar
DP,solar
W,wind
NW,wind
H,hydro
SH,hydro
NH,hydro
N,nuclear
NN,nuclear
SW,wind
CG,gas
R,wind
DC,dcline
