H,gamma,q_target,objective,load shedding / day,dispatched generation cost / day,battery throughput / day,curtailed non-dispatched generation / day
24,0.0001,0.5,0.574136046339233,0.009506441751750682,13.4531999491809,13.593632792567751,2.6072748973340456
24,0.0001,0.75,0.5672118291926771,0.009506526231486803,13.285340542474335,13.761283352017854,2.485712015474966
24,0.0001,1.0,0.5603491160047273,0.00950652209982848,13.118897067883736,13.935127423314508,2.364039910156457
24,0.001,0.5,0.5715328304814479,0.00950649113538344,13.390113239514722,13.654486933235685,2.562707379552136
24,0.001,0.75,0.5639065301670807,0.009506449387268672,13.205191104901047,13.84366313635189,2.427308928166151
24,0.001,1.0,0.558403521612403,0.00950641508550646,13.0717074410658,13.984877592174222,2.3293450712802177
24,0.01,0.5,0.5644782501590305,3.9142977488343137e-10,13.411025126966903,13.6452869021233,2.597975014341984
24,0.01,0.75,0.566468646377522,3.299939950178315e-10,13.457822498130207,13.742500833044444,2.6043323020516476
24,0.01,1.0,0.56950471563715,3.0325701277470603e-10,13.530061086571044,13.80520826554162,2.573841979297814
24,0.1,0.5,0.5752784324946767,3.8417970069372083e-10,13.671092635494244,13.558973669440558,2.7388768857270414
24,0.1,0.75,0.578764634808586,3.222903920991244e-10,13.754533339090644,13.58178898696113,2.733333175713447
24,0.1,1.0,0.5775494344078669,3.93924033801101e-09,13.724083234126917,13.71031128770815,2.6445006897109353
48,0.0001,0.5,0.5516860739898144,4.0844947589619184e-10,13.101796353228298,13.866941435825897,2.427170101240735
48,0.0001,0.75,0.5494594146830809,3.6446674810673835e-10,13.04786069441276,13.916525069184615,2.3871329837024917
48,0.0001,1.0,0.5465262849414554,3.4581593248702834e-10,12.976676432785426,13.99543988931857,2.3324762176097975
48,0.001,0.5,0.5509503512274188,3.9723466628729536e-10,13.0839794137426,13.882900777075736,2.4140862274261194
48,0.001,0.75,0.5488203635552501,3.631820536105267e-10,13.032372536432499,13.93161816298596,2.3754415348697844
48,0.001,1.0,0.5462115544972139,3.551758505170316e-10,12.969233118727724,13.984418210189373,2.3286910627254906
48,0.01,0.5,0.5510557910732192,3.9380556230491146e-10,13.086853383011693,13.848559486945684,2.430322266633368
48,0.01,0.75,0.5513417844506158,3.670074887681172e-10,13.092996860701742,13.920595877288816,2.405401683250518
48,0.01,1.0,0.5510664551813229,3.526699706827403e-10,13.08546204479412,14.013287250422913,2.3525806755139835
48,0.1,0.5,0.5530021415908973,3.9746900976924857e-10,13.133478881750115,13.85725084820409,2.4401789423491373
48,0.1,0.75,0.5539099358358884,3.636541682226637e-10,13.154760238495154,13.907821429308676,2.410042040748026
48,0.1,1.0,0.5530849833081407,3.473246946055941e-09,13.133883443875849,14.015608605458725,2.3556067393181848
72,0.0001,0.5,0.5472280032700525,4.1287063138635063e-10,12.994282951426154,13.918911879768908,2.372244463287802
72,0.0001,0.75,0.5460048612647412,3.871476422211242e-10,12.964548800896758,13.956786171407826,2.348437430329193
72,0.0001,1.0,0.5449841001138385,3.733873525084362e-10,12.939761598454071,13.985679681030094,2.3287385859299174
72,0.001,0.5,0.5469443997489992,4.10591784985809e-10,12.987405948369286,13.925963739485974,2.366797071925755
72,0.001,0.75,0.5458024505215754,3.7975645335617645e-10,12.959736843924244,13.95219609984358,2.3456284426796645
72,0.001,1.0,0.5447395798167055,3.7397711919851785e-10,12.934055076888425,13.969483123296229,2.329359681137316
72,0.01,0.5,0.5470551314019465,4.086946908084622e-10,12.9902184739466,13.91046715262208,2.3716734312351626
72,0.01,0.75,0.5471283080648732,3.8696136319102973e-10,12.991585597236583,13.949378858114413,2.3547456709118806
72,0.01,1.0,0.5474452336446133,3.790570366527827e-10,12.998776014682246,13.990958520733244,2.333149922941721
72,0.1,0.5,0.5482924586810455,4.097337314784052e-10,13.019904133463205,13.911486668721123,2.373276086784595
72,0.1,0.75,0.5488893167930903,3.8194775480093587e-10,13.033935377068937,13.940821832627137,2.355593608633181
72,0.1,1.0,0.5490399397721262,6.734235188408703e-10,13.037090197780952,13.986834328160576,2.3335772808599184
