sample_idx,event_start,event_duration_days,baseline_shortfall_gwh,added_shortfall_gwh,objective,stress objective,stress load shedding / day,stress dispatched generation cost / day,stress battery throughput / day,stress curtailed non-dispatched generation / day,normal objective,normal load shedding / day,normal dispatched generation cost / day,normal battery throughput / day,normal curtailed non-dispatched generation / day
0,2019-11-05,4,5.4549582999999995,12.316587420221925,0.5537625021966479,1.5546174792527425,8.090246846034148e-10,37.24930416265528,6.151532323005201,8.84420174534333e-09,0.5426726963566911,7.623370648655455e-10,12.884078925173574,14.00657721402734,2.353883100958297
1,2019-06-24,3,0.10446529999999998,23.207419141214963,0.5797621810285707,3.951599018438753,2.6392065223075125,41.99999999863156,5.42459977482618,1.1217120392974793e-09,0.551818781823514,9.014946599105765e-10,13.1044850313614,13.916571437304118,2.274155481668888
2,2019-10-31,2,4.4511198,12.775858294625973,0.556383244758604,2.6299243927587796,1.0519042769336664,41.99999999860997,8.009988892740406,6.580392909081777e-10,0.5449587756236168,9.488400696606174e-10,12.939295545106804,13.971505088320038,2.3409146222000703
3,2019-10-22,1,2.3686138999999997,11.788968105537595,0.5495694003798547,1.755903883824276,5.8897716091163465e-06,41.99999999809888,14.157541825155779,9.021046728462848e-10,0.5462552946561062,0.00027596352292728015,12.96508642812259,13.952137316541517,2.334483020241748
4,2019-09-22,5,3.039157499999999,16.181240845029784,0.5605870261741637,1.5643215442824776,8.082591902229533e-10,37.489362455519085,5.435459109519306,1.1184701965489467e-08,0.5466462689782149,7.614041920854314e-10,12.979892412848805,13.961802740027085,2.3604216828291595
5,2019-09-02,5,2.0594938000000003,20.9270526357839,0.571082703591728,2.0323814227657713,0.3386769426552354,41.94896992766629,5.4645365607514425,2.0198736006651553e-09,0.5507868880476439,7.373655816715024e-10,13.079572229321975,13.931306907416959,2.3604218353078217
6,2019-06-14,3,0.24837029999999993,13.492333917013415,0.5598887783344629,1.6073268008250796,5.295351502137747e-10,38.52150993825207,5.433327095913306,1.0561033859814435e-08,0.5512083527337118,4.995077370294934e-10,13.089544308120281,13.945614749864788,2.3148157276359402
7,2019-12-08,4,4.5458105,22.355420815513206,0.5801706844020121,4.115565460084567,2.8367154027361234,41.99999999815807,3.926298914906784,7.408034726900651e-10,0.54099733508697,0.005804015017384309,12.727215557064916,14.064018467467804,2.353883201652353
8,2019-09-19,2,3.7484784999999996,23.79642949340681,0.5837473555379391,7.384355000213297,6.757679681442913,41.999999998428244,7.092637783260591,7.910360759100424e-10,0.5462784428950996,1.418232133017754e-09,12.971155171061637,13.952743005611154,2.3409143739412643
9,2019-06-06,5,3.0539418999999994,12.589075345400886,0.5548987773996155,0.8601191569575432,7.00732971346731e-10,20.499691544955347,14.31682080110338,1.65278676793176e-08,0.5506596054613109,6.802578266439561e-10,13.076644850303543,13.918566716276239,2.212368192563147
10,2019-10-09,5,4.4797504,11.32290896126635,0.556060068516174,1.1903658608415484,8.063997162211559e-10,28.473742788442557,9.503785562660367,1.0600712395935059e-08,0.5472502658449881,7.70706321982535e-10,12.994555646057135,13.945071880845386,2.3463807292803756
11,2019-02-24,1,0.06277770000000005,15.98844579904184,0.5513338790172536,2.4820997003346483,0.8709294987727911,41.99999999816606,15.180283440966914,8.047090210590896e-10,0.5460295773103376,5.1465436347774796e-05,12.963971770846054,13.97087758750949,2.334482999861664
12,2019-08-12,2,3.5465745000000006,23.148047085750793,0.5806344138333167,6.372975003664796,5.543662524446821,41.999999998753864,7.814960026478415,7.391003079151317e-10,0.5487206915752921,0.0011303775257528747,13.00734798515971,13.934106213224094,2.340914847169601
13,2019-11-21,5,2.1036262,21.684840238912944,0.5624537202085136,1.8058064113632608,0.23726977371774152,38.508326099430306,8.563229893312412,3.5847969494443337e-09,0.5451849328313644,1.0796651412784313e-09,12.944840030170731,13.959833618871464,2.279828668078876
14,2019-03-02,5,7.0837182,13.775146669348105,0.5533431862938134,1.6770089606412033,0.19454669480044778,36.271063538167446,8.62176212124801,6.236673122161396e-09,0.5377367172056552,1.2003546434215603e-09,12.765297486174326,14.03837027543066,2.355104105867811
15,2019-12-03,4,5.2725864,21.05307378137692,0.5794571224049113,4.231995977614248,3.1541762626240852,38.436450706002724,4.792750425752403,4.243262511618317e-09,0.538985777748852,2.222427057054369e-09,12.795158922172398,14.049969935151259,2.336939108631223
16,2019-07-17,3,1.8887117999999996,14.89190632784297,0.5596852792029882,1.605201203373121,4.858971140142647e-10,38.457926005628934,6.690286560803094,8.867321767471001e-09,0.5510207825938435,4.5811406354564107e-10,13.085490006149298,13.900876694066335,2.3325908366133628
17,2019-09-27,5,5.073202700000001,10.575569458705711,0.5574388537422329,1.0272915838116083,8.096385153042416e-10,24.549125915568656,10.587207971717914,1.4521309975846416e-08,0.5509131213801582,7.800217963524905e-10,13.082753110393426,13.91617871299375,2.3300997178638876
18,2019-11-20,2,0.9607797999999999,19.478634868611458,0.566743604227493,4.051354220466034,2.7578890594932424,41.9999999980747,7.4720103245252325,7.756313950677151e-10,0.5475446476641954,1.508046334078195e-09,13.001654497722363,13.94170160573991,2.340914090605442
19,2019-08-04,3,1.2957402000000005,22.81390951706726,0.5780075873432551,3.946906276940238,2.6334325022862415,41.99999999886342,5.710060197745882,8.927777902509304e-10,0.5500885374294678,6.147304414166726e-10,13.062862454841357,13.926243117126397,2.3450806915692666
