mu,H,gamma,q_target,valid,core_objective,throughput_per_day,non_battery_cost_per_day
1e-06,24,0.0001,0.5,False,,,
1e-06,24,0.0001,0.75,False,,,
1e-06,24,0.0001,1.0,False,,,
1e-06,24,0.001,0.5,False,,,
1e-06,24,0.001,0.75,False,,,
1e-06,24,0.001,1.0,False,,,
1e-06,24,0.01,0.5,False,,,
1e-06,24,0.01,0.75,False,,,
1e-06,24,0.01,1.0,False,,,
1e-06,24,0.1,0.5,False,,,
1e-06,24,0.1,0.75,False,,,
1e-06,24,0.1,1.0,False,,,
1e-06,48,0.0001,0.5,False,,,
1e-06,48,0.0001,0.75,False,,,
1e-06,48,0.0001,1.0,False,,,
1e-06,48,0.001,0.5,False,,,
1e-06,48,0.001,0.75,False,,,
1e-06,48,0.001,1.0,False,,,
1e-06,48,0.01,0.5,False,,,
1e-06,48,0.01,0.75,False,,,
1e-06,48,0.01,1.0,False,,,
1e-06,48,0.1,0.5,False,,,
1e-06,48,0.1,0.75,False,,,
1e-06,48,0.1,1.0,False,,,
1e-06,72,0.0001,0.5,False,,,
1e-06,72,0.0001,0.75,False,,,
1e-06,72,0.0001,1.0,False,,,
1e-06,72,0.001,0.5,False,,,
1e-06,72,0.001,0.75,False,,,
1e-06,72,0.001,1.0,False,,,
1e-06,72,0.01,0.5,False,,,
1e-06,72,0.01,0.75,False,,,
1e-06,72,0.01,1.0,False,,,
1e-06,72,0.1,0.5,False,,,
1e-06,72,0.1,0.75,False,,,
1e-06,72,0.1,1.0,False,,,
1e-05,24,0.0001,0.5,False,,,
1e-05,24,0.0001,0.75,False,,,
1e-05,24,0.0001,1.0,False,,,
1e-05,24,0.001,0.5,False,,,
1e-05,24,0.001,0.75,False,,,
1e-05,24,0.001,1.0,False,,,
1e-05,24,0.01,0.5,False,,,
1e-05,24,0.01,0.75,False,,,
1e-05,24,0.01,1.0,False,,,
1e-05,24,0.1,0.5,False,,,
1e-05,24,0.1,0.75,False,,,
1e-05,24,0.1,1.0,False,,,
1e-05,48,0.0001,0.5,False,,,
1e-05,48,0.0001,0.75,False,,,
1e-05,48,0.0001,1.0,False,,,
1e-05,48,0.001,0.5,False,,,
1e-05,48,0.001,0.75,False,,,
1e-05,48,0.001,1.0,False,,,
1e-05,48,0.01,0.5,False,,,
1e-05,48,0.01,0.75,False,,,
1e-05,48,0.01,1.0,False,,,
1e-05,48,0.1,0.5,False,,,
1e-05,48,0.1,0.75,False,,,
1e-05,48,0.1,1.0,False,,,
1e-05,72,0.0001,0.5,False,,,
1e-05,72,0.0001,0.75,False,,,
1e-05,72,0.0001,1.0,False,,,
1e-05,72,0.001,0.5,False,,,
1e-05,72,0.001,0.75,False,,,
1e-05,72,0.001,1.0,False,,,
1e-05,72,0.01,0.5,False,,,
1e-05,72,0.01,0.75,False,,,
1e-05,72,0.01,1.0,False,,,
1e-05,72,0.1,0.5,False,,,
1e-05,72,0.1,0.75,False,,,
1e-05,72,0.1,1.0,False,,,
0.0001,24,0.0001,0.5,False,,,
0.0001,24,0.0001,0.75,False,,,
0.0001,24,0.0001,1.0,False,,,
0.0001,24,0.001,0.5,False,,,
0.0001,24,0.001,0.75,False,,,
0.0001,24,0.001,1.0,False,,,
0.0001,24,0.01,0.5,False,,,
0.0001,24,0.01,0.75,False,,,
0.0001,24,0.01,1.0,False,,,
0.0001,24,0.1,0.5,True,0.593751462455802,12.874546729003635,14.24874764426635
0.0001,24,0.1,0.75,False,,,
0.0001,24,0.1,1.0,True,0.5945963277293338,12.926046977090385,14.269019260806305
0.0001,48,0.0001,0.5,False,,,
0.0001,48,0.0001,0.75,False,,,
0.0001,48,0.0001,1.0,False,,,
0.0001,48,0.001,0.5,False,,,
0.0001,48,0.001,0.75,False,,,
0.0001,48,0.001,1.0,False,,,
0.0001,48,0.01,0.5,False,,,
0.0001,48,0.01,0.75,False,,,
0.0001,48,0.01,1.0,False,,,
0.0001,48,0.1,0.5,False,,,
0.0001,48,0.1,0.75,True,0.5908862680758507,12.850663556017908,14.179985367464818
0.0001,48,0.1,1.0,False,,,
0.0001,72,0.0001,0.5,False,,,
0.0001,72,0.0001,0.75,False,,,
0.0001,72,0.0001,1.0,False,,,
0.0001,72,0.001,0.5,False,,,
0.0001,72,0.001,0.75,False,,,
0.0001,72,0.001,1.0,False,,,
0.0001,72,0.01,0.5,False,,,
0.0001,72,0.01,0.75,False,,,
0.0001,72,0.01,1.0,False,,,
0.0001,72,0.1,0.5,True,0.5902374924748436,12.833307747069615,14.16441648862154
0.0001,72,0.1,0.75,True,0.5904212727924961,12.832252214479448,14.168827321798458
0.0001,72,0.1,1.0,False,,,
0.001,24,0.0001,0.5,True,0.5988691761963831,12.859099056319469,14.360001129656874
0.001,24,0.0001,0.75,True,0.5982940174210101,12.871744545866651,14.346184673558374
0.001,24,0.0001,1.0,True,0.5977160682626614,12.884895001549111,14.332300743302325
0.001,24,0.001,0.5,True,0.5988645128744057,12.859090914073995,14.359889218071663
0.001,24,0.001,0.75,True,0.5982632878829763,12.87240658426251,14.34544650260717
0.001,24,0.001,1.0,True,0.5977075076458817,12.885062333263793,14.332095121167896
0.001,24,0.01,0.5,True,0.5971016318910846,12.827668119020055,14.317611497267013
0.001,24,0.01,0.75,True,0.5937365245606312,12.850934891673628,14.236825654563477
0.001,24,0.01,1.0,True,0.593745449836338,12.89880809341647,14.236991987978694
0.001,24,0.1,0.5,True,0.5948589034913606,12.846980114706668,14.263766703677947
