Q,H,gamma,q_target,objective,total load shedding,total dispatched generation cost,total battery throughput,total curtailed non-dispatched generation,stress objective,stress total load shedding,stress total dispatched generation cost,stress total battery throughput,stress total curtailed non-dispatched generation,normal objective,normal total load shedding,normal total dispatched generation cost,normal total battery throughput,normal total curtailed non-dispatched generation
1,24,0.1,1.0,1.088990135660719,284.6024188716642,22930.667670224913,2208.048076135431,6619.3816138632865,5.336526065019672,27.90596128108358,210.24600272171915,9.452501944194577,0.13294153976330678,1.0656092039394771,256.6964575905806,22720.421667503197,2198.595574191236,6619.248672323522
1,48,0.0001,1.0,1.088989822422197,284.60241884057643,22930.665803222597,2207.4108959339505,6619.381631624001,5.336524470367262,27.905949796870548,210.24600266231494,9.452513315986412,0.13294152490975866,1.0656088977546094,256.69646904370586,22720.41980056029,2197.958382617964,6619.248690099092
1,72,0.1,1.0,1.088989822521833,284.6024188155548,22930.665808803114,2207.4106500082244,6619.381532223813,5.33652726743819,27.905969944314123,210.24600264707846,9.45249777384911,0.13294153327799216,1.0656088824580732,256.6964488712407,22720.419806156035,2197.9581522343756,6619.248590690536
2,24,0.1,0.75,0.9020841055577161,102.33798269900447,21638.85772217959,4280.293643049386,5839.97253521808,4.840107442786338,24.010017207816887,216.6010743438173,17.405326107777118,3.710723275511166e-08,0.8804069128757238,78.32796549118757,21422.25664783577,4262.888316941609,5839.972535180974
2,48,0.1,0.25,0.9020751370854779,102.33798247149761,21638.674692077773,4275.006438868506,5839.972678189226,4.840108295829231,24.0100233517271,216.60107454292142,17.405302194586,2.80252948303229e-08,0.8803978903400996,78.3279591197705,21422.073617534854,4257.60113667392,5839.972678161201
2,72,0.01,0.75,0.9020750526799473,102.33798244387769,21638.67415009443,4274.838672134679,5839.972641643893,4.840109626322934,24.010032936409985,216.6010745210358,17.405294126704952,3.663807168732334e-08,0.8803977981461327,78.32794950746772,21422.073075573397,4257.433378007974,5839.972641607256
4,24,0.1,0.75,0.7546073929624159,26.097824881920726,19246.351382588608,8088.498425636742,4593.175179274748,4.309175816644728,19.978534217509214,220.66405420320558,28.657904345075856,2.1874562971517947e-08,0.7350409612724214,6.119290664411518,19025.6873283854,8059.840521291667,4593.175179252874
4,48,0.01,1.0,0.7544425695564314,26.097824946313388,19242.290008908003,8061.084177809913,4593.1755351402635,4.3089341563894505,19.978527442367795,220.63031453205124,28.565514067369413,2.312236148288035e-08,0.7348765608215708,6.119297503945592,19021.65969437595,8032.518663742544,4593.175535117141
4,72,0.01,0.75,0.7544366915283662,26.0978249304326,19242.159347335186,8058.688801830323,4593.175553175672,4.308934212558681,19.97853228843173,220.6301000043507,28.578083546485203,3.181561284441131e-08,0.7348706501281994,6.119292642000871,19021.529247330836,8030.110718283839,4593.175553143857
8,24,0.01,1.0,0.6433386662485696,16.059070470951905,16471.926489046215,12927.237853712017,2970.9003626306144,3.765481648775796,16.05906767053708,220.6696348941977,37.836911877526845,2.05881346440064e-08,0.6261525580878693,2.800414823156724e-06,16251.25685415202,12889.40094183449,2970.900362610027
8,48,0.01,0.5,0.6420959032580454,16.05907045951756,16439.738511264204,12877.071884507217,2970.8695571802396,3.7626873814862543,16.05906905119938,220.26618050253964,37.94214074933909,2.1795136276862395e-08,0.624918335487982,1.4083181866864205e-06,16219.472330761666,12839.12974375788,2970.8695571584444
8,72,0.01,0.5,0.6419345772328432,16.059070475549227,16435.58013188791,12868.557813381492,2970.8693789137374,3.762618164089334,16.059069220674342,220.25165071855892,38.3980496818307,2.508155361430348e-08,0.6247565024428076,1.2548748807547586e-06,16215.328481169352,12830.159763699661,2970.8693788886553
16,24,0.001,1.0,0.5868196726698505,18.146403462761278,14924.157146188994,14861.945446352778,1909.0666365938441,3.3193135692030307,12.858928344129628,220.41070895254694,39.187813009693954,1.515164782863811e-08,0.5717784218632458,5.287475118631651,14703.74643723645,14822.757633343082,1909.0666365786926
16,48,0.001,1.0,0.5756503437914778,8.22107252175498,14828.402903981527,14908.228867440559,1909.6453972216102,2.6747235110334717,8.22107182977571,220.28798299316287,45.076600014298094,1.4310156426380938e-08,0.5640958125956502,6.9197927260109e-07,14608.11492098836,14863.15226742626,1909.6453972073
16,72,0.001,1.0,0.5741174353321502,8.221072522749221,14788.052474639808,14911.109388208402,1910.3834845985662,2.674504192032966,8.221071230985354,220.24661144754737,46.05675854927189,1.255410785622505e-08,0.5625556733686595,1.2917638672026812e-06,14567.805863192265,14865.05262965913,1910.383484586012
32,24,0.001,1.0,0.5479523152347388,13.501602126629917,13985.445461351323,15786.019605064403,1289.1605519252728,2.9725245435173466,10.360798353345693,220.41070722274227,41.68599768418285,2.1522364933471584e-08,0.5346060460882289,3.1408037732842256,13765.034754128581,15744.33360738022,1289.1605519037505
32,48,0.0001,1.0,0.5341712910479196,2.510873770754379e-07,13891.744580885901,15909.705381683036,1290.201212856979,1.5112385912242567,1.6052886726480004e-09,217.07497802246755,54.337908171962994,1.4460522126018411e-08,0.5287929389368572,2.494820884027899e-07,13674.669602863432,15855.367473511074,1290.2012128425185
32,72,0.0001,1.0,0.5313850283704294,2.6074856643151616e-07,13817.878884041924,15967.289699888255,1290.2484924340627,1.4325673442336546,1.7727470720007316e-09,205.68643373744578,60.326379674556605,1.6362712470458556e-08,0.5264243917693474,2.589758193595155e-07,13612.19245030448,15906.963320213701,1290.2484924177002
