year,state,residential[MWh],commercial[MWh],industrial[MWh],transportation[MWh],total[MWh]
2018,AZ,34660297.0,29683550.0,13994441.0,8014.0,78346302.0
2018,CA,97626705.0,141971927.0,62421108.0,1159228.0,303178968.0
2018,CO,19286952.0,21023300.0,16047258.0,92970.0,56450480.0
2018,ID,8427578.0,6436893.0,8889037.0,0.0,23753508.0
2018,MT,5197692.0,5063975.0,7613360.0,0.0,17875027.0
2018,NM,6826442.0,9035272.0,8186897.0,0.0,24048611.0
2018,NV,13449743.0,15441493.0,13698781.0,8351.0,42598368.0
2018,OR,18930583.0,17435522.0,15527921.0,25996.0,51920022.0
2018,UT,9714507.0,12083833.0,9392709.0,51359.0,31242408.0
2018,WA,35338978.0,29431048.0,27257355.0,7137.0,92034518.0
2018,WY,2748356.0,3757211.0,10359111.0,0.0,16864678.0
2019,AZ,4317059.100000001,3013741.3999999994,865240.8,1079.1,8197120.4
2019,CA,16763780.3,19052163.7,6405718.400000001,68401.8,42290064.30000002
2019,CO,2362565.4000000004,2202661.1,1175300.1,9904.8,5750431.399999998
2019,ID,860047.4999999999,493892.20000000007,538025.9,0.0,1891965.6
2019,MT,590943.0,515875.39999999997,275675.1,0.0,1382493.5000000002
2019,NM,859663.7000000001,884211.8,492123.8,0.0,2235999.2999999993
2019,NV,1544742.5,938867.1999999997,762825.4999999999,683.0,3247118.2
2019,OR,2123882.3999999994,1453025.7999999998,858920.2999999999,2461.4,4438289.800000002
2019,UT,1013001.1,979491.1000000001,567342.6,5498.0,2565332.8
2019,WA,3544716.400000001,2561370.8000000007,1209352.6,9340.8,7324780.7
2019,WY,318423.4,344712.29999999993,695295.0,0.0,1358430.7000000002
2020,AZ,38707416.0,29128178.0,14113139.0,11341.0,81960074.0
2020,CA,117576354.0,141500156.0,60901763.0,920415.0,320898688.0
2020,CO,20482502.0,20042218.0,15431465.0,94079.0,56050264.0
2020,ID,8970751.0,6309927.0,9180674.0,0.0,24461352.0
2020,MT,5379972.0,4842829.0,7280993.0,0.0,17503794.0
2020,NM,7282079.0,8406884.0,9088192.0,0.0,24777155.0
2020,NV,14321607.0,15372636.0,13605394.0,3960.0,43303597.0
2020,OR,19628011.0,16727801.0,17416338.0,25606.0,53797756.0
2020,UT,10546793.0,11395032.0,9672119.0,49213.0,31663157.0
2020,WA,36858798.0,27621126.0,24348844.0,97748.0,88926516.0
2020,WY,2879528.0,3320024.0,9131466.0,0.0,15331018.0
2021,AZ,37130339.0,29990064.0,14089072.0,10515.0,81219990.0
2021,CA,112410987.0,147207511.0,61307988.0,939919.0,321866405.0
2021,CO,20625005.0,20584470.0,15053158.0,88576.0,56351209.0
2021,ID,9300843.0,6600296.0,9384477.0,0.0,25285616.0
2021,MT,5559452.0,5048528.0,7199450.0,0.0,17807430.0
2021,NM,7088358.0,8655826.0,9649559.0,0.0,25393743.0
2021,NV,14373357.0,15479827.0,13927126.0,5327.0,43785637.0
2021,OR,20285346.0,17469552.0,19300173.0,22596.0,57077667.0
2021,UT,10950415.0,12206510.0,9471737.0,48965.0,32677627.0
2021,WA,38021233.0,28936645.0,23383460.0,103574.0,90444912.0
2021,WY,2897498.0,3443297.0,9443917.0,0.0,15784712.0
2022,AZ,38367633.0,31507070.0,14311610.0,10204.0,84196517.0
2022,CA,113580312.0,160787334.0,61707419.0,1053297.0,337128362.0
2022,CO,20593942.0,21059419.0,15018320.0,91360.0,56763041.0
2022,ID,9963653.0,6836725.0,9400753.0,0.0,26201131.0
2022,MT,5894504.0,5159026.0,7524174.0,0.0,18577704.0
2022,NM,7282636.0,9084022.0,10789520.0,0.0,27156178.0
2022,NV,14306529.0,16020228.0,15302828.0,7176.0,45636761.0
2022,OR,20725899.0,17567012.0,21044278.0,22699.0,59359888.0
2022,UT,11344265.0,12870552.0,9104680.0,46004.0,33365501.0
2022,WA,39775849.0,30105941.0,23202308.0,113933.0,93198031.0
2022,WY,3008680.0,3610790.0,9879959.0,0.0,16499429.0
