measured_on_utc,Agricultural By-Products,Anthracite Coal,Bituminous Coal,Black Liquor,Distillate Fuel Oil,Electricity used for energy storage,Gaseous Propane,Geothermal,Hydroelectric,Jet Fuel,Kerosene,Municiapl Landfill Gas,Natural Gas,Nuclear,Other,Other Biomass Gas,Other Biomass Solids,Other Gases,Petroleum Coke,Purchased Steam,Residual Fuel Oil,Sludge Waste,Solar,Subbituminous Coal,Tire-Derived Fuels,Waste Coal,Waste heat not directly attributed to a fuel source,Waste/Other Oil,Wind,Wood Waste Liquids,Wood Waste Solids,total_generation_mwh
2018-01-01 00:00:00+00:00,15330.786,,3644702.645,97796.72899999999,15292.938,-1485.771,13.979,1250473.862,15562490.768,0.0,0.0,212695.22699999998,15472253.22,5512521.0,7237.778,70563.505,2613.265,155972.471,37981.683,3331.0,441.851,772.232,1830323.589,8905180.365,0.0,72889.20999999999,83617.569,913.263,3068998.543,7241.383,397820.046,56427983.13599999
2018-02-01 00:00:00+00:00,15412.438,,3025125.392,74803.134,14353.628999999999,-1475.258,7.02,1189854.947,15454785.788,0.0,0.0,195521.87099999998,13133265.913,4326648.0,6815.439,66243.597,2132.958,178033.653,37655.418,3459.0,480.166,396.901,2405150.038,7298766.4,0.0,54040.597,63091.960999999996,7424.112999999999,4207894.161,6312.657,357126.518,52123326.451000005
2018-03-01 00:00:00+00:00,6617.263,,2801277.396,93635.011,12168.523,-1534.848,6.856,1275795.848,15662576.247,0.0,0.0,203359.479,14578719.554,4890790.0,7131.154,69954.344,0.0,161303.497,41424.094,3840.0,410.595,2545.935,2878969.02,7883535.924000001,0.0,67141.717,84516.382,1601.631,4614424.324,7910.689,377820.931,55725941.56600001
2018-04-01 00:00:00+00:00,7436.136,,2114183.208,90768.429,15385.769,-1738.675,5.495,1106844.639,17342792.076,0.0,0.0,184547.469,12338282.691,4331522.0,8063.556,63238.515999999996,2037.535,153062.608,39344.684,4111.0,282.595,1022.566,3560350.535,6532507.415,0.0,45612.263999999996,96974.844,482.645,4967986.102,4779.089,356787.497,53366672.68799999
2018-05-01 00:00:00+00:00,12241.888,,2643264.974,73443.025,15284.45,-1747.275,8.081,1295135.467,19533023.345,0.0,0.0,185774.021,12189740.383,4915791.0,6602.774,59840.858,715.237,167957.228,23310.363,4000.28,195.364,1181.663,4227172.759,6396518.465,0.0,67610.562,89473.027,3873.6369999999997,5075667.667,7001.872,359820.845,57352901.96
2018-06-01 00:00:00+00:00,7558.629,,2742265.057,76448.583,17963.264,-1638.946,3.415,1215961.008,17928784.247,1166.0,0.0,175355.365,16482343.857,5111566.0,7524.902,64602.316,1353.722,157943.13700000002,4122.66,4293.22,1315.288,684.937,4548806.211,7774011.725,0.0,65188.0,87193.73,2576.642,5302755.62,6781.192,404888.688,62191818.469
2018-07-01 00:00:00+00:00,18160.851,,3701086.9329999997,94422.337,21227.712,-2199.332,5.101,1281847.092,15338739.218,2048.0,0.0,180323.687,26572243.411,5265260.0,7330.211,67464.851,1789.331,146325.412,40897.207,3948.87,285.62300000000005,589.173,3961347.605,9895302.265999999,0.0,66630.0,91693.92,17920.336,4611950.378,8021.066,464452.836,71859114.095
2018-08-01 00:00:00+00:00,16787.305,,3418395.512,81890.83499999999,16933.913,-2179.178,12.971,1279107.327,12978600.395,84.0,0.0,184910.377,25903608.185,5393508.0,8238.032,69332.426,1609.698,156786.142,38305.267,4294.19,606.43,962.175,3989379.054,9886796.456,0.0,66579.0,89918.188,657.5889999999999,4823010.751,8421.95,463920.897,68880477.88700001
2018-09-01 00:00:00+00:00,17914.0,,2595580.733,85438.698,11938.432,-1820.468,10.519,1242806.238,10642823.321,0.0,0.0,176704.861,22441957.406,5251366.0,6239.801,65989.346,2158.23,149953.148,37964.974,3761.66,299.425,973.834,3800385.937,9308049.433,0.0,60009.304000000004,78150.648,934.7189999999999,3863092.986,5109.593,446450.058,60294242.835999995
2018-10-01 00:00:00+00:00,15592.741,,2135153.75,82900.939,25578.09,-1998.454,14.388,1187523.835,9783802.466,537.0,0.0,178992.046,19751511.381,4631932.0,6282.357,71553.602,1439.667,145303.455,42830.932,3939.17,537.873,927.616,2945715.193,9365379.237,0.0,58192.364,82711.676,2242.2149999999997,3390124.565,7871.468,435851.56200000003,54352443.134
