year,California (IOU),California (all),California (non-IOU)
2018,1.0,1.0,1.0
2019,1.0136,1.0292,1.0364
2020,1.0347,1.0584,1.0694
2021,1.0402,1.0616,1.0715
2022,1.0619,1.112,1.135
