period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2023,WV,West Virginia,IND,industrial,14662.724,million kilowatthours
2023,MS,Mississippi,IND,industrial,15787.01029,million kilowatthours
2023,IA,Iowa,IND,industrial,27491.31057,million kilowatthours
2023,IN,Indiana,IND,industrial,40854.99008,million kilowatthours
2023,IL,Illinois,IND,industrial,41087.96805,million kilowatthours
2023,ID,Idaho,IND,industrial,9029.87653,million kilowatthours
2023,HI,Hawaii,IND,industrial,3428.01579,million kilowatthours
2023,GA,Georgia,IND,industrial,32963.65277,million kilowatthours
2023,FL,Florida,IND,industrial,17163.56977,million kilowatthours
2023,DC,District of Columbia,IND,industrial,176.56624,million kilowatthours
2023,WA,Washington,IND,industrial,20647.90774,million kilowatthours
2023,VA,Virginia,IND,industrial,16947.72076,million kilowatthours
2023,VT,Vermont,IND,industrial,1284.27349,million kilowatthours
2023,UT,Utah,IND,industrial,8640.72137,million kilowatthours
2023,TX,Texas,IND,industrial,165954.54307,million kilowatthours
2023,DE,Delaware,IND,industrial,1943.99348,million kilowatthours
2023,CT,Connecticut,IND,industrial,2592.10473,million kilowatthours
2023,CO,Colorado,IND,industrial,15450.24953,million kilowatthours
2023,CA,California,IND,industrial,41993.79014,million kilowatthours
2023,AR,Arkansas,IND,industrial,18728.25769,million kilowatthours
2023,AZ,Arizona,IND,industrial,14217.845,million kilowatthours
2023,AK,Alaska,IND,industrial,1382.99739,million kilowatthours
2023,AL,Alabama,IND,industrial,31236.01034,million kilowatthours
2023,TN,Tennessee,IND,industrial,22122.72432,million kilowatthours
2023,SD,South Dakota,IND,industrial,3238.49054,million kilowatthours
2023,SC,South Carolina,IND,industrial,25495.99295,million kilowatthours
2023,RI,Rhode Island,IND,industrial,628.88286,million kilowatthours
2023,PA,Pennsylvania,IND,industrial,50135.15687,million kilowatthours
2023,OR,Oregon,IND,industrial,16399.62531,million kilowatthours
2023,NV,Nevada,IND,industrial,12416.70949,million kilowatthours
2023,OK,Oklahoma,IND,industrial,22467.6616,million kilowatthours
2023,OH,Ohio,IND,industrial,50630.79715,million kilowatthours
2023,ND,North Dakota,IND,industrial,13928.31478,million kilowatthours
2023,NC,North Carolina,IND,industrial,26354.79958,million kilowatthours
2023,NY,New York,IND,industrial,15037.55016,million kilowatthours
2023,NM,New Mexico,IND,industrial,12054.67388,million kilowatthours
2023,NJ,New Jersey,IND,industrial,6078.17411,million kilowatthours
2023,NH,New Hampshire,IND,industrial,1923.56494,million kilowatthours
2023,NE,Nebraska,IND,industrial,13208.6414,million kilowatthours
2023,MT,Montana,IND,industrial,4685.11909,million kilowatthours
2023,MO,Missouri,IND,industrial,12772.84882,million kilowatthours
2023,WI,Wisconsin,IND,industrial,23419.77916,million kilowatthours
2023,WY,Wyoming,IND,industrial,10213.62655,million kilowatthours
2023,NEW,New England,IND,industrial,14855.65772,million kilowatthours
2023,MAT,Middle Atlantic,IND,industrial,71250.88114,million kilowatthours
2023,ENC,East North Central,IND,industrial,184256.06417,million kilowatthours
2023,WNC,West North Central,IND,industrial,102568.93002,million kilowatthours
2023,SAT,South Atlantic,IND,industrial,139141.59578,million kilowatthours
2023,ESC,East South Central,IND,industrial,95156.62782,million kilowatthours
2023,WSC,West South Central,IND,industrial,247158.34805,million kilowatthours
2023,MTN,Mountain,IND,industrial,86708.82143,million kilowatthours
2023,PACC,Pacific Contiguous,IND,industrial,79041.32319,million kilowatthours
2023,PACN,Pacific Noncontiguous,IND,industrial,4811.01318,million kilowatthours
2023,US,U.S. Total,IND,industrial,1024949.26249,million kilowatthours
2023,KY,Kentucky,IND,industrial,26010.88287,million kilowatthours
2023,LA,Louisiana,IND,industrial,40007.88569,million kilowatthours
2023,ME,Maine,IND,industrial,2325.17558,million kilowatthours
2023,MD,Maryland,IND,industrial,3432.57623,million kilowatthours
2023,MA,Massachusetts,IND,industrial,6101.65613,million kilowatthours
2023,MI,Michigan,IND,industrial,28262.52973,million kilowatthours
2023,MN,Minnesota,IND,industrial,20542.29909,million kilowatthours
2023,KS,Kansas,IND,industrial,11387.02482,million kilowatthours
2022,AZ,Arizona,IND,industrial,14311.61002,million kilowatthours
2022,AK,Alaska,IND,industrial,1375.69,million kilowatthours
2022,GA,Georgia,IND,industrial,34210.49798,million kilowatthours
2022,FL,Florida,IND,industrial,17635.655,million kilowatthours
2022,ENC,East North Central,IND,industrial,186405.913,million kilowatthours
2022,MAT,Middle Atlantic,IND,industrial,73814.39199,million kilowatthours
2022,NEW,New England,IND,industrial,15601.328,million kilowatthours
2022,WY,Wyoming,IND,industrial,9879.95899,million kilowatthours
2022,WI,Wisconsin,IND,industrial,23560.17399,million kilowatthours
2022,WV,West Virginia,IND,industrial,14574.283,million kilowatthours
2022,TX,Texas,IND,industrial,143905.882,million kilowatthours
2022,TN,Tennessee,IND,industrial,22788.612,million kilowatthours
2022,SD,South Dakota,IND,industrial,3208.06501,million kilowatthours
2022,SC,South Carolina,IND,industrial,26340.73201,million kilowatthours
2022,RI,Rhode Island,IND,industrial,639.343,million kilowatthours
2022,PA,Pennsylvania,IND,industrial,50882.77901,million kilowatthours
2022,OR,Oregon,IND,industrial,18923.72201,million kilowatthours
2022,OK,Oklahoma,IND,industrial,21796.272,million kilowatthours
2022,OH,Ohio,IND,industrial,50062.73,million kilowatthours
2022,ND,North Dakota,IND,industrial,11728.548,million kilowatthours
2022,NC,North Carolina,IND,industrial,27519.33001,million kilowatthours
2022,NY,New York,IND,industrial,16177.769,million kilowatthours
2022,NM,New Mexico,IND,industrial,10789.51999,million kilowatthours
2022,NJ,New Jersey,IND,industrial,6753.84399,million kilowatthours
2022,NH,New Hampshire,IND,industrial,1925.183,million kilowatthours
2022,NV,Nevada,IND,industrial,12578.639,million kilowatthours
2022,NE,Nebraska,IND,industrial,13241.701,million kilowatthours
2022,MT,Montana,IND,industrial,4669.62501,million kilowatthours
2022,DE,Delaware,IND,industrial,2030.396,million kilowatthours
2022,MO,Missouri,IND,industrial,13245.66201,million kilowatthours
2022,MS,Mississippi,IND,industrial,15972.02401,million kilowatthours
2022,MN,Minnesota,IND,industrial,20648.58801,million kilowatthours
2022,MI,Michigan,IND,industrial,28485.57001,million kilowatthours
2022,MA,Massachusetts,IND,industrial,6233.832,million kilowatthours
2022,MD,Maryland,IND,industrial,3601.623,million kilowatthours
2022,ME,Maine,IND,industrial,2655.435,million kilowatthours
2022,LA,Louisiana,IND,industrial,40143.868,million kilowatthours
2022,KY,Kentucky,IND,industrial,28824.55,million kilowatthours
2022,KS,Kansas,IND,industrial,11736.15902,million kilowatthours
2022,IA,Iowa,IND,industrial,26541.02399,million kilowatthours
2022,IN,Indiana,IND,industrial,42479.59,million kilowatthours
2022,IL,Illinois,IND,industrial,41817.849,million kilowatthours
2022,ID,Idaho,IND,industrial,9400.753,million kilowatthours
2022,WA,Washington,IND,industrial,21227.09,million kilowatthours
2022,VA,Virginia,IND,industrial,16861.18602,million kilowatthours
2022,VT,Vermont,IND,industrial,1367.42901,million kilowatthours
2022,UT,Utah,IND,industrial,9104.68001,million kilowatthours
2022,PACC,Pacific Contiguous,IND,industrial,87651.23502,million kilowatthours
2022,MTN,Mountain,IND,industrial,85753.10601,million kilowatthours
2022,WSC,West South Central,IND,industrial,223806.28,million kilowatthours
2022,ESC,East South Central,IND,industrial,99298.09002,million kilowatthours
2022,SAT,South Atlantic,IND,industrial,142955.41901,million kilowatthours
2022,WNC,West North Central,IND,industrial,100349.74705,million kilowatthours
2022,US,U.S. Total,IND,industrial,1020463.98609,million kilowatthours
2022,PACN,Pacific Noncontiguous,IND,industrial,4828.476,million kilowatthours
2022,AR,Arkansas,IND,industrial,17960.25799,million kilowatthours
2022,CA,California,IND,industrial,47500.42301,million kilowatthours
2022,CO,Colorado,IND,industrial,15018.32,million kilowatthours
2022,CT,Connecticut,IND,industrial,2780.106,million kilowatthours
2022,DC,District of Columbia,IND,industrial,181.716,million kilowatthours
2022,AL,Alabama,IND,industrial,31712.90401,million kilowatthours
2022,HI,Hawaii,IND,industrial,3452.786,million kilowatthours
2021,KY,Kentucky,IND,industrial,29396.67902,million kilowatthours
2021,SAT,South Atlantic,IND,industrial,144329.01704,million kilowatthours
2021,PACC,Pacific Contiguous,IND,industrial,86338.31701,million kilowatthours
2021,MTN,Mountain,IND,industrial,83947.446,million kilowatthours
2021,WSC,West South Central,IND,industrial,209479.52299,million kilowatthours
2021,WNC,West North Central,IND,industrial,98746.63399,million kilowatthours
2021,ESC,East South Central,IND,industrial,99238.972,million kilowatthours
2021,ENC,East North Central,IND,industrial,184733.51897,million kilowatthours
2021,MAT,Middle Atlantic,IND,industrial,73484.34099,million kilowatthours
2021,US,U.S. Total,IND,industrial,1000613.49,million kilowatthours
2021,NEW,New England,IND,industrial,15662.08001,million kilowatthours
2021,PACN,Pacific Noncontiguous,IND,industrial,4653.641,million kilowatthours
2021,FL,Florida,IND,industrial,17112.564,million kilowatthours
2021,DC,District of Columbia,IND,industrial,239.501,million kilowatthours
2021,CO,Colorado,IND,industrial,15053.158,million kilowatthours
2021,CA,California,IND,industrial,47583.32899,million kilowatthours
2021,AR,Arkansas,IND,industrial,18228.01401,million kilowatthours
2021,CT,Connecticut,IND,industrial,2799.194,million kilowatthours
2021,DE,Delaware,IND,industrial,2113.012,million kilowatthours
2021,SD,South Dakota,IND,industrial,3205.73801,million kilowatthours
2021,SC,South Carolina,IND,industrial,27292.017,million kilowatthours
2021,WA,Washington,IND,industrial,21436.48001,million kilowatthours
2021,VA,Virginia,IND,industrial,19712.19899,million kilowatthours
2021,VT,Vermont,IND,industrial,1371.096,million kilowatthours
2021,WI,Wisconsin,IND,industrial,23295.516,million kilowatthours
2021,WV,West Virginia,IND,industrial,14570.97901,million kilowatthours
2021,UT,Utah,IND,industrial,9471.73699,million kilowatthours
2021,TX,Texas,IND,industrial,132529.561,million kilowatthours
2021,TN,Tennessee,IND,industrial,21917.29799,million kilowatthours
2021,WY,Wyoming,IND,industrial,9443.917,million kilowatthours
2021,RI,Rhode Island,IND,industrial,643.779,million kilowatthours
2021,AZ,Arizona,IND,industrial,14089.07201,million kilowatthours
2021,AK,Alaska,IND,industrial,1326.779,million kilowatthours
2021,OR,Oregon,IND,industrial,17318.50801,million kilowatthours
2021,OK,Oklahoma,IND,industrial,20779.95798,million kilowatthours
2021,PA,Pennsylvania,IND,industrial,49999.765,million kilowatthours
2021,NJ,New Jersey,IND,industrial,6593.424,million kilowatthours
2021,NH,New Hampshire,IND,industrial,1928.665,million kilowatthours
2021,NM,New Mexico,IND,industrial,9649.559,million kilowatthours
2021,OH,Ohio,IND,industrial,49529.406,million kilowatthours
2021,ND,North Dakota,IND,industrial,11166.39,million kilowatthours
2021,MS,Mississippi,IND,industrial,15769.265,million kilowatthours
2021,NC,North Carolina,IND,industrial,27049.36702,million kilowatthours
2021,NY,New York,IND,industrial,16891.15199,million kilowatthours
2021,AL,Alabama,IND,industrial,32155.73,million kilowatthours
2021,NE,Nebraska,IND,industrial,12588.38001,million kilowatthours
2021,MT,Montana,IND,industrial,4495.98299,million kilowatthours
