fips,county,latitude,longitude,state
53013,Columbia,46.323102,-117.976206,WA
53015,Cowlitz,46.135463,-122.894833,WA
53017,Douglas,47.504279,-120.178914,WA
53019,Ferry,48.617553,-118.520753,WA
53021,Franklin,46.303471,-119.125303,WA
53023,Garfield,46.472066,-117.577877,WA
53025,Grant,47.14473,-119.466088,WA
53027,Grays Harbor,46.991256,-123.767517,WA
53029,Island,48.2063,-122.576951,WA
53031,Jefferson,48.010517,-122.820477,WA
53033,King,47.550488,-122.230405,WA
53035,Kitsap,47.612218,-122.63287,WA
53037,Kittitas,47.051833,-120.630456,WA
53039,Klickitat,45.79839,-121.146148,WA
53041,Lewis,46.61892,-122.839231,WA
53043,Lincoln,47.638472,-118.324539,WA
53045,Mason,47.288559,-123.034441,WA
53047,Okanogan,48.446072,-119.591995,WA
53049,Pacific,46.524578,-123.904809,WA
53051,Pend Oreille,48.281535,-117.224181,WA
53053,Pierce,47.177735,-122.407463,WA
53055,San Juan,48.575232,-122.979166,WA
53057,Skagit,48.4668,-122.33534,WA
53059,Skamania,45.688621,-121.93421,WA
53061,Snohomish,47.927544,-122.188806,WA
53063,Spokane,47.680212,-117.368939,WA
53065,Stevens,48.277695,-117.812987,WA
53067,Thurston,47.00087,-122.836576,WA
53069,Wahkiakum,46.236473,-123.426151,WA
53071,Walla Walla,46.077907,-118.391181,WA
53073,Whatcom,48.82321,-122.487638,WA
53075,Whitman,46.793601,-117.21808,WA
53077,Yakima,46.519342,-120.42159,WA
41001,Baker,44.780021,-117.762087,OR
41003,Benton,44.573123,-123.275062,OR
41005,Clackamas,45.363411,-122.575016,OR
41007,Clatsop,46.098894,-123.841041,OR
41009,Columbia,45.889969,-122.929381,OR
41011,Coos,43.305461,-124.232445,OR
41013,Crook,44.283564,-120.843605,OR
41015,Curry,42.251867,-124.327962,OR
41017,Deschutes,44.090954,-121.306213,OR
41019,Douglas,43.239963,-123.388771,OR
41021,Gilliam,45.449592,-120.197022,OR
41023,Grant,44.451525,-119.003559,OR
41025,Harney,43.521602,-118.986891,OR
41027,Hood River,45.658959,-121.565661,OR
41029,Jackson,42.347769,-122.858631,OR
41031,Jefferson,44.591478,-121.190361,OR
41033,Josephine,42.404433,-123.38517,OR
41035,Klamath,42.285893,-121.726802,OR
41037,Lake,42.478434,-120.476422,OR
41039,Lane,44.039563,-123.119235,OR
41041,Lincoln,44.713731,-124.002001,OR
41043,Linn,44.556336,-122.959471,OR
41045,Malheur,43.975358,-117.06114,OR
41047,Marion,44.960149,-122.955907,OR
41049,Morrow,45.739056,-119.617276,OR
41051,Multnomah,45.517904,-122.591156,OR
41053,Polk,44.920857,-123.20811,OR
41055,Sherman,45.518367,-120.72146,OR
41057,Tillamook,45.469525,-123.858484,OR
41059,Umatilla,45.801243,-118.967455,OR
41061,Union,45.341591,-118.018208,OR
41063,Wallowa,45.443336,-117.305634,OR
41065,Wasco,45.541482,-121.204066,OR
41067,Washington,45.486067,-122.87092,OR
41069,Wheeler,44.837096,-120.088844,OR
41071,Yamhill,45.239528,-123.136974,OR
16001,Ada,43.612091,-116.313143,ID
16003,Adams,44.843883,-116.383254,ID
16005,Bannock,42.871117,-112.425092,ID
16007,Bear Lake,42.307481,-111.34121,ID
16009,Benewah,47.273057,-116.644633,ID
16011,Bingham,43.223106,-112.346259,ID
16013,Blaine,43.548124,-114.299016,ID
16015,Boise,43.90651,-115.985316,ID
16017,Bonner,48.23649,-116.630197,ID
16019,Bonneville,43.494825,-111.994434,ID
16021,Boundary,48.710599,-116.302645,ID
16023,Butte,43.697316,-113.30219,ID
16025,Camas,43.352907,-114.754454,ID
16027,Canyon,43.612485,-116.625046,ID
16029,Caribou,42.646162,-111.652123,ID
16031,Cassia,42.487358,-113.747762,ID
16033,Clark,44.194725,-112.262134,ID
16035,Clearwater,46.489093,-116.190755,ID
16037,Custer,44.280306,-114.096283,ID
16039,Elmore,43.117658,-115.685056,ID
16041,Franklin,42.098212,-111.871828,ID
16043,Fremont,44.012878,-111.616883,ID
16045,Gem,43.883064,-116.507732,ID
16047,Gooding,42.853491,-114.750399,ID
16049,Idaho,45.972026,-116.105519,ID
16051,Jefferson,43.68709,-111.959043,ID
16053,Jerome,42.699506,-114.464966,ID
16055,Kootenai,47.738595,-116.837402,ID
16057,Latah,46.742589,-116.934836,ID
16059,Lemhi,45.130443,-113.86099,ID
16061,Lewis,46.237559,-116.264039,ID
16063,Lincoln,42.971703,-114.333319,ID
16065,Madison,43.819187,-111.793855,ID
16067,Minidoka,42.611171,-113.712634,ID
16069,Nez Perce,46.393945,-116.952097,ID
16071,Oneida,42.18223,-112.295487,ID
16073,Owyhee,43.393385,-116.704658,ID
16075,Payette,44.019562,-116.893339,ID
16077,Power,42.774583,-112.827325,ID
16079,Shoshone,47.514916,-116.091781,ID
16081,Teton,43.692414,-111.122065,ID
16083,Twin Falls,42.56026,-114.499626,ID
16085,Valley,44.766234,-116.074739,ID
16087,Washington,44.29827,-116.92098,ID
30001,Beaverhead,45.225028,-112.693549,MT
30003,Big Horn,45.568552,-107.499673,MT
30005,Blaine,48.432419,-108.871588,MT
30007,Broadwater,46.281619,-111.543362,MT
30009,Carbon,45.322269,-109.084845,MT
30011,Carter,45.687353,-104.525341,MT
30013,Cascade,47.491558,-111.306586,MT
30015,Chouteau,47.962552,-110.386252,MT
30017,Custer,46.401678,-105.814642,MT
30023,Deer Lodge,46.135851,-112.955566,MT
30027,Fergus,47.092022,-109.4146,MT
30029,Flathead,48.24738,-114.28093,MT
30031,Gallatin,45.682956,-111.128767,MT
30033,Garfield,47.309975,-106.946674,MT
30035,Glacier,48.601084,-112.803122,MT
30037,Golden Valley,46.297881,-109.120778,MT
30039,Granite,46.445392,-113.319927,MT
30041,Hill,48.511678,-109.767061,MT
30043,Jefferson,46.268426,-112.045462,MT
30045,Judith Basin,47.094038,-110.171269,MT
30047,Lake,47.608393,-114.123168,MT
30049,Lewis and Clark,46.646621,-112.019644,MT
30051,Liberty,48.538044,-110.985198,MT
30053,Lincoln,48.553306,-115.42649,MT
30055,McCone,47.569721,-105.638886,MT
30057,Madison,45.419014,-111.922649,MT
30059,Meagher,46.529828,-110.881517,MT
30061,Mineral,47.182752,-114.894335,MT
30063,Missoula,46.875546,-114.021512,MT
30065,Musselshell,46.420108,-108.483111,MT
30067,Park,45.604896,-110.596931,MT
30069,Petroleum,47.012154,-108.317862,MT
30071,Phillips,48.367246,-107.86655,MT
