year,state,sector,energy
2018,AK,COM,2646.058
2018,AK,IND,1351.503
2018,AK,OTH,0.0
2018,AK,RES,1974.90599
2018,AK,TRA,0
2018,AL,COM,23483.07199
2018,AL,IND,33717.004
2018,AL,OTH,0.0
2018,AL,RES,33080.38001
2018,AL,TRA,0
2018,AR,COM,12278.279
2018,AR,IND,18064.78699
2018,AR,OTH,0.0
2018,AR,RES,19259.20399
2018,AR,TRA,.438
2018,AZ,COM,29683.54998
2018,AZ,IND,13994.441
2018,AZ,OTH,0.0
2018,AZ,RES,34660.297
2018,AZ,TRA,8.014
2018,CA,COM,115786.492
2018,CA,IND,49587.91299
2018,CA,OTH,0.0
2018,CA,RES,89099.98498
2018,CA,TRA,749.882
2018,CO,COM,21023.30001
2018,CO,IND,16047.258
2018,CO,OTH,0.0
2018,CO,RES,19286.95201
2018,CO,TRA,92.97
2018,CT,COM,12381.063
2018,CT,IND,3209.992
2018,CT,OTH,0.0
2018,CT,RES,13061.372
2018,CT,TRA,181.498
2018,DC,COM,8236.22501
2018,DC,IND,192.662
2018,DC,OTH,0.0
2018,DC,RES,2592.242
2018,DC,TRA,336.781
2018,DE,COM,4342.34
2018,DE,IND,2360.585
2018,DE,OTH,0.0
2018,DE,RES,5070.175
2018,DE,TRA,0
2018,ENC,COM,185278.25701
2018,ENC,IND,195874.63602
2018,ENC,OTH,0.0
2018,ENC,RES,193825.04997
2018,ENC,TRA,615.453
2018,ESC,COM,94924.23398
2018,ESC,IND,100782.52297
2018,ESC,OTH,0.0
2018,ESC,RES,124485.58598
2018,ESC,TRA,0
2018,FL,COM,96265.276
2018,FL,IND,16689.12901
2018,FL,OTH,0.0
2018,FL,RES,125528.047
2018,FL,TRA,82.939
2018,GA,COM,47311.67499
2018,GA,IND,32695.79101
2018,GA,OTH,0.0
2018,GA,RES,59689.10598
2018,GA,TRA,169.502
2018,HI,COM,3033.009
2018,HI,IND,3593.454
2018,HI,OTH,0.0
2018,HI,RES,2710.698
2018,HI,TRA,0
2018,IA,COM,12417.67099
2018,IA,IND,23952.63499
2018,IA,OTH,0.0
2018,IA,RES,14840.34901
2018,IA,TRA,0
2018,ID,COM,6436.89299
2018,ID,IND,8889.037
2018,ID,OTH,0.0
2018,ID,RES,8427.57799
2018,ID,TRA,0
2018,IL,COM,50762.829
2018,IL,IND,44114.71101
2018,IL,OTH,0.0
2018,IL,RES,47225.915
2018,IL,TRA,551.353
2018,IN,COM,24305.199
2018,IN,IND,45293.32201
2018,IN,OTH,0.0
2018,IN,RES,34574.66399
2018,IN,TRA,21.191
2018,KS,COM,16168.75002
2018,KS,IND,11681.037
2018,KS,OTH,0.0
2018,KS,RES,14187.19201
2018,KS,TRA,0
2018,KY,COM,19980.485
2018,KY,IND,28917.42899
2018,KY,OTH,0.0
2018,KY,RES,27712.72198
2018,KY,TRA,0
2018,LA,COM,24690.90401
2018,LA,IND,37416.715
2018,LA,OTH,0.0
2018,LA,RES,32065.538
2018,LA,TRA,12.915
2018,MA,COM,25952.48102
2018,MA,IND,6699.302
2018,MA,OTH,0.0
2018,MA,RES,20284.67401
2018,MA,TRA,348.572
2018,MAT,COM,158774.04802
2018,MAT,IND,74601.397
2018,MAT,OTH,0.0
2018,MAT,RES,137580.38799
2018,MAT,TRA,3967.511
2018,MD,COM,29547.51799
2018,MD,IND,3870.188
2018,MD,OTH,0.0
2018,MD,RES,28138.474
2018,MD,TRA,530.275
2018,ME,COM,4447.245
2018,ME,IND,3035.573
2018,ME,OTH,0.0
2018,ME,RES,4872.001
2018,ME,TRA,0
2018,MI,COM,38925.26799
2018,MI,IND,30806.02302
2018,MI,OTH,0.0
2018,MI,RES,35131.42201
2018,MI,TRA,6.783
2018,MN,COM,23398.557
2018,MN,IND,22446.85297
2018,MN,OTH,0.0
2018,MN,RES,22837.14002
2018,MN,TRA,25.832
2018,MO,COM,31179.28299
2018,MO,IND,13389.587
2018,MO,OTH,0.0
2018,MO,RES,37463.39001
2018,MO,TRA,23.575
2018,MS,COM,14530.226
2018,MS,IND,16549.31499
2018,MS,OTH,0.0
2018,MS,RES,19310.52699
2018,MS,TRA,0
2018,MT,COM,4921.231
2018,MT,IND,4719.928
2018,MT,OTH,0.0
2018,MT,RES,5197.68599
2018,MT,TRA,0
2018,MTN,COM,99065.18596
2018,MTN,IND,83787.65401
2018,MTN,OTH,0.0
2018,MTN,RES,100311.561
2018,MTN,TRA,160.694
2018,NC,COM,49298.40199
2018,NC,IND,27353.56
2018,NC,OTH,0.0
2018,NC,RES,61622.45401
2018,NC,TRA,12.988
2018,ND,COM,6835.913
2018,ND,IND,8700.422
2018,ND,OTH,0.0
2018,ND,RES,5133.171
2018,ND,TRA,0
2018,NE,COM,9553.39601
2018,NE,IND,10974.088
2018,NE,OTH,0.0
2018,NE,RES,10412.008
2018,NE,TRA,0
2018,NEW,COM,52924.45102
2018,NEW,IND,17053.58398
2018,NEW,OTH,0.0
2018,NEW,RES,48099.27301
2018,NEW,TRA,557.036
2018,NH,COM,4442.56
2018,NH,IND,1962.711
2018,NH,OTH,0.0
2018,NH,RES,4641.01299
2018,NH,TRA,0
2018,NJ,COM,38807.065
2018,NJ,IND,7369.106
2018,NJ,OTH,0.0
2018,NJ,RES,29530.689
2018,NJ,TRA,309.902
2018,NM,COM,9035.272
2018,NM,IND,8186.897
2018,NM,OTH,0.0
2018,NM,RES,6826.442
2018,NM,TRA,0
2018,NV,COM,12123.896
2018,NV,IND,12198.273
2018,NV,OTH,0.0
2018,NV,RES,13449.743
2018,NV,TRA,8.351
2018,NY,COM,76745.46302
2018,NY,IND,18076.792
2018,NY,OTH,0.0
2018,NY,RES,52153.24599
2018,NY,TRA,2954.35
2018,OH,COM,47191.54
2018,OH,IND,51235.99499
2018,OH,OTH,0.0
2018,OH,RES,54451.71399
2018,OH,TRA,35.918
2018,OK,COM,21229.14301
2018,OK,IND,19229.36499
2018,OK,OTH,0.0
2018,OK,RES,24116.80799
2018,OK,TRA,0
2018,OR,COM,16470.02701
2018,OR,IND,13899.298
2018,OR,OTH,0.0
2018,OR,RES,18930.583
2018,OR,TRA,25.996
2018,PA,COM,43221.52
2018,PA,IND,49155.49901
2018,PA,OTH,0.0
2018,PA,RES,55896.453
2018,PA,TRA,703.259
2018,PACC,COM,161652.923
2018,PACC,IND,88750.48299
