id,name,latitude,longitude
AB04,SUNDANCE,,
AB03,LANGDON_1,,
AB02,LANGDON_2,,
BC01,PRINCE_RUPERT,54.257563, -130.227462
BC02,SKEENA,54.451683,-128.632296
BC03,RONPOL,54.015197,-128.707099
BC04,KEMANO,53.563061, -127.942791
BC06,PEACE_CANYON,,
BC10,VANCOUVER,,
BC17,MICA,,
