id,name,baseKV,type,area,zone,status,Gs,Bs,Vmin,Vmax,V0,V1
1001,B_1001_FOURCORN,500.0000,1,1,3,1,1.03401,5.5785,1.10000,0.90000,1.10000,0.90000
1002,B_1002_FOURCORN,345.0000,1,1,3,1,1.01400,8.3685,1.10000,0.90000,1.10000,0.90000
1003,B_1003_FOURCORN,230.0000,1,1,10,1,0.97318,-0.2920,1.10000,0.90000,1.10000,0.90000
1004,B_1004_SAN_JUAN,345.0000,1,1,10,1,1.03000,18.8075,1.10000,0.90000,1.10000,0.90000
1032,B_1032_FCNGN4CC,20.0000,2,1,10,1,1.01390,8.9503,1.10000,0.90000,1.10000,0.90000
1034,B_1034_SJUAN_G4,20.0000,2,1,10,1,1.03341,20.4253,1.10000,0.90000,1.10000,0.90000
1101,B_1101_CORONADO,500.0000,1,1,3,1,1.01000,-13.5878,1.10000,0.90000,1.10000,0.90000
1102,B_1102_CHOLLA,345.0000,1,1,3,1,0.99465,-4.7874,1.10000,0.90000,1.10000,0.90000
1131,B_1131_CORONADO,20.0000,2,1,3,1,1.00946,-12.8589,1.10000,0.90000,1.10000,0.90000
1201,B_1201_MOENKOPI,500.0000,1,1,3,1,1.09136,-6.6183,1.10000,0.90000,1.10000,0.90000
1202,B_1202_NAVAJO,500.0000,1,1,3,1,1.08000,-3.8673,1.10000,0.90000,1.10000,0.90000
1232,B_1232_NAVAJO_2,20.0000,2,1,3,1,1.07990,-3.0358,1.10000,0.90000,1.10000,0.90000
1301,B_1301_MEAD,500.0000,1,1,3,1,1.04500,-9.8666,1.10000,0.90000,1.10000,0.90000
1302,B_1302_H_ALLEN,500.0000,1,1,9,1,1.02442,-11.6849,1.10000,0.90000,1.10000,0.90000
1303,B_1303_H_ALLEN,345.0000,1,1,9,1,1.00500,-15.2256,1.10000,0.90000,1.10000,0.90000
1331,B_1331_HOOVER,20.0000,2,1,3,1,1.04505,-8.7861,1.10000,0.90000,1.10000,0.90000
1333,B_1333_H_ALLEN,20.0000,2,1,9,1,1.00792,-13.7701,1.10000,0.90000,1.10000,0.90000
1401,B_1401_PALOVRDE,500.0000,1,1,3,1,1.03500,-14.7822,1.10000,0.90000,1.10000,0.90000
1402,B_1402_WESTWING,500.0000,1,1,3,1,1.05895,-20.3570,1.10000,0.90000,1.10000,0.90000
1403,B_1403_PARKER,230.0000,1,1,3,1,1.03527,-14.4059,1.10000,0.90000,1.10000,0.90000
1431,B_1431_PALOVRD2,20.0000,2,1,3,1,1.04004,-12.4298,1.10000,0.90000,1.10000,0.90000
2000,B_2000_MEXICO,230.0000,1,4,7,1,1.00000,-16.7754,1.10000,0.90000,1.10000,0.90000
2030,B_2030_MEXICO,20.0000,2,4,7,1,1.00135,-16.0721,1.10000,0.90000,1.10000,0.90000
2100,B_2100_IMPERIAL,230.0000,1,2,2,1,1.03500,-12.4531,1.10000,0.90000,1.10000,0.90000
2130,B_2130_IMPERIAL,20.0000,2,2,2,1,1.03554,-12.0979,1.10000,0.90000,1.10000,0.90000
2201,B_2201_MIGUEL,500.0000,1,2,2,1,0.99375,-26.5153,1.10000,0.90000,1.10000,0.90000
2202,B_2202_MIGUEL,230.0000,1,2,2,1,0.99067,-27.7043,1.10000,0.90000,1.10000,0.90000
2203,B_2203_MISSION,230.0000,1,2,2,1,1.00500,-27.9287,1.10000,0.90000,1.10000,0.90000
2233,B_2233_MISSION,20.0000,2,2,2,1,1.00686,-27.6476,1.10000,0.90000,1.10000,0.90000
2301,B_2301_IMPRLVLY,500.0000,1,2,2,1,1.03560,-14.9787,1.10000,0.90000,1.10000,0.90000
2302,B_2302_IMPRLVLY,230.0000,1,2,2,1,1.03500,-13.8866,1.10000,0.90000,1.10000,0.90000
2332,B_2332_IMPRLVLY,20.0000,2,2,2,1,1.03520,-13.6518,1.10000,0.90000,1.10000,0.90000
2400,B_2400_DEVERS,500.0000,1,2,2,1,1.02954,-19.7851,1.10000,0.90000,1.10000,0.90000
2401,B_2401_LUGO,500.0000,1,2,2,1,1.05000,-13.6953,1.10000,0.90000,1.10000,0.90000
2402,B_2402_MIRALOMA,500.0000,1,2,2,1,1.03174,-18.0034,1.10000,0.90000,1.10000,0.90000
2403,B_2403_VALLEY,500.0000,1,2,2,1,1.02708,-22.3928,1.10000,0.90000,1.10000,0.90000
2404,B_2404_VINCENT,500.0000,1,2,2,1,1.03914,-9.9290,1.10000,0.90000,1.10000,0.90000
2405,B_2405_SYLMAR_S,230.0000,1,2,2,1,1.01146,-11.0446,1.10000,0.90000,1.10000,0.90000
2406,B_2406_EAGLROCK,230.0000,1,2,2,1,1.00777,-14.9652,1.10000,0.90000,1.10000,0.90000
2407,B_2407_LITEHIPE,230.0000,1,2,2,1,0.97489,-20.8953,1.10000,0.90000,1.10000,0.90000
2408,B_2408_MESA_CAL,230.0000,1,2,2,1,1.00900,-9.1772,1.10000,0.90000,1.10000,0.90000
2409,B_2409_MIRALOMA,230.0000,1,2,2,1,1.02000,-18.7773,1.10000,0.90000,1.10000,0.90000
2410,B_2410_PARDEE,230.0000,1,2,2,1,1.00710,-14.6945,1.10000,0.90000,1.10000,0.90000
2411,B_2411_VINCENT,230.0000,1,2,2,1,1.02033,-11.4155,1.10000,0.90000,1.10000,0.90000
2431,B_2431_LUGO,20.0000,2,2,2,1,1.04996,-13.6693,1.10000,0.90000,1.10000,0.90000
2434,B_2434_VINCENT,20.0000,2,2,2,1,1.02000,-11.3880,1.10000,0.90000,1.10000,0.90000
2438,B_2438_MESA_CAL,20.0000,2,2,2,1,1.00981,-7.7532,1.10000,0.90000,1.10000,0.90000
2439,B_2439_MIRALOMA,20.0000,2,2,2,1,1.01976,-18.7223,1.10000,0.90000,1.10000,0.90000
2501,B_2501_SERRANO,500.0000,1,2,2,1,1.02693,-20.2708,1.10000,0.90000,1.10000,0.90000
2502,B_2502_SERRANO,230.0000,1,2,2,1,1.02320,-21.6056,1.10000,0.90000,1.10000,0.90000
2503,B_2503_S_ONOFRE,230.0000,1,2,2,1,1.00900,-23.5705,1.10000,0.90000,1.10000,0.90000
2533,B_2533_S_ONOFRE,20.0000,2,2,2,1,1.00959,-23.0364,1.10000,0.90000,1.10000,0.90000
2600,B_2600_ADELANTO,500.0000,1,2,2,1,1.05578,-9.3695,1.10000,0.90000,1.10000,0.90000
2601,B_2601_RINALDI,500.0000,1,2,2,1,1.04794,-9.8178,1.10000,0.90000,1.10000,0.90000
2602,B_2602_STA_E,500.0000,1,2,2,1,1.02251,-9.4350,1.10000,0.90000,1.10000,0.90000
2603,B_2603_VICTORVL,500.0000,1,2,2,1,1.05656,-10.0289,1.10000,0.90000,1.10000,0.90000
2604,B_2604_INTERMT,345.0000,1,2,2,1,1.03000,-3.3390,1.10000,0.90000,1.10000,0.90000
2605,B_2605_STA_B1,287.0000,1,2,2,1,1.02096,-7.2426,1.10000,0.90000,1.10000,0.90000
