datetime,startup[$/MW],shutdown[$/MW],energy[$/MWh]
2018-01-01 00:00:00 UTC,5000.00,20000.00,37.27
2019-01-01 00:00:00 UTC,5000.00,20000.00,34.45
2020-01-01 00:00:00 UTC,5000.00,20000.00,32.84
2021-01-01 00:00:00 UTC,5000.00,20000.00,31.17
2022-01-01 00:00:00 UTC,5000.00,20000.00,30.92
