datetime,startup[$/MW],shutdown[$/MW],energy[$/MBtu]
1/2/18,30,0,6.24
1/3/18,30,0,6.24
1/4/18,30,0,4.65
1/8/18,30,0,2.89
1/9/18,30,0,2.93
1/10/18,30,0,3.16
1/11/18,30,0,3.16
1/12/18,30,0,4.06
1/16/18,30,0,5.46
1/17/18,30,0,3.92
1/18/18,30,0,3.92
1/19/18,30,0,3.2
1/22/18,30,0,3.13
1/23/18,30,0,3.35
1/24/18,30,0,3.54
1/25/18,30,0,3.54
1/26/18,30,0,3.58
1/29/18,30,0,3.6
1/30/18,30,0,3.6
1/31/18,30,0,3.34
2/1/18,30,0,3.06
2/2/18,30,0,2.91
2/5/18,30,0,2.85
2/6/18,30,0,2.75
2/7/18,30,0,2.74
2/8/18,30,0,2.74
2/9/18,30,0,2.66
2/12/18,30,0,2.6
2/13/18,30,0,2.58
2/14/18,30,0,2.53
2/15/18,30,0,2.49
2/16/18,30,0,2.49
2/20/18,30,0,2.61
2/21/18,30,0,2.65
2/22/18,30,0,2.65
2/23/18,30,0,2.58
2/26/18,30,0,2.6
2/27/18,30,0,2.59
2/28/18,30,0,2.66
3/1/18,30,0,2.67
3/2/18,30,0,2.67
3/5/18,30,0,2.7
3/6/18,30,0,2.7
3/7/18,30,0,2.8
3/8/18,30,0,2.8
3/9/18,30,0,2.71
3/12/18,30,0,2.78
3/13/18,30,0,2.76
3/14/18,30,0,2.69
3/15/18,30,0,2.7
3/16/18,30,0,2.62
3/19/18,30,0,2.62
3/20/18,30,0,2.71
3/21/18,30,0,2.74
3/22/18,30,0,2.62
3/23/18,30,0,2.58
3/26/18,30,0,2.63
3/27/18,30,0,2.6
3/28/18,30,0,2.64
3/29/18,30,0,2.81
4/2/18,30,0,2.75
4/3/18,30,0,2.75
4/4/18,30,0,2.81
4/5/18,30,0,2.81
4/6/18,30,0,2.81
4/9/18,30,0,2.78
4/10/18,30,0,2.78
4/11/18,30,0,2.74
4/12/18,30,0,2.76
4/13/18,30,0,2.82
4/16/18,30,0,2.88
4/17/18,30,0,2.84
4/18/18,30,0,2.85
4/19/18,30,0,2.8
4/20/18,30,0,2.78
4/23/18,30,0,2.78
4/24/18,30,0,2.79
4/25/18,30,0,2.81
4/26/18,30,0,2.81
4/27/18,30,0,2.82
4/30/18,30,0,2.75
5/1/18,30,0,2.75
5/2/18,30,0,2.77
5/3/18,30,0,2.75
5/4/18,30,0,2.75
5/7/18,30,0,2.74
5/8/18,30,0,2.77
5/9/18,30,0,2.75
5/10/18,30,0,2.78
5/11/18,30,0,2.75
5/14/18,30,0,2.84
5/15/18,30,0,2.83
5/16/18,30,0,2.85
