datetime,startup[$/MW],shutdown[$/MW],energy[$/MBtu]
5/17/18,30,0,2.75
5/18/18,30,0,2.75
5/21/18,30,0,2.77
5/22/18,30,0,2.76
5/23/18,30,0,2.89
5/24/18,30,0,2.88
5/25/18,30,0,2.88
5/29/18,30,0,2.84
5/30/18,30,0,2.83
5/31/18,30,0,2.94
6/1/18,30,0,2.91
6/4/18,30,0,2.89
6/5/18,30,0,2.89
6/6/18,30,0,2.89
6/7/18,30,0,3.02
6/8/18,30,0,2.91
6/11/18,30,0,3
6/12/18,30,0,2.98
6/13/18,30,0,2.98
6/14/18,30,0,2.99
6/15/18,30,0,3.02
6/18/18,30,0,2.99
6/19/18,30,0,2.95
6/20/18,30,0,2.96
6/21/18,30,0,3.08
6/22/18,30,0,2.95
6/25/18,30,0,2.96
6/26/18,30,0,2.98
6/27/18,30,0,3.01
6/28/18,30,0,2.99
6/29/18,30,0,2.96
7/2/18,30,0,2.9
7/3/18,30,0,2.9
7/5/18,30,0,2.91
7/6/18,30,0,2.91
7/9/18,30,0,2.9
7/10/18,30,0,2.9
7/11/18,30,0,2.89
7/12/18,30,0,2.89
7/13/18,30,0,2.86
7/16/18,30,0,2.76
7/17/18,30,0,2.81
7/18/18,30,0,2.8
7/19/18,30,0,2.75
7/20/18,30,0,2.79
7/23/18,30,0,2.79
7/24/18,30,0,2.73
7/25/18,30,0,2.82
7/26/18,30,0,2.82
7/27/18,30,0,2.78
7/30/18,30,0,2.75
7/31/18,30,0,2.82
8/1/18,30,0,2.8
8/2/18,30,0,2.77
8/3/18,30,0,2.86
8/6/18,30,0,2.85
8/7/18,30,0,2.95
8/8/18,30,0,2.99
8/9/18,30,0,3.02
8/10/18,30,0,2.96
8/13/18,30,0,2.92
8/14/18,30,0,3.02
8/15/18,30,0,3.02
8/16/18,30,0,3.02
8/17/18,30,0,3.01
8/20/18,30,0,3.04
8/21/18,30,0,3.01
8/22/18,30,0,3.02
8/23/18,30,0,3.01
8/24/18,30,0,2.99
8/27/18,30,0,2.98
8/28/18,30,0,2.98
8/29/18,30,0,2.96
8/30/18,30,0,2.96
8/31/18,30,0,2.98
9/4/18,30,0,2.96
9/5/18,30,0,3
9/6/18,30,0,2.93
9/7/18,30,0,2.88
9/10/18,30,0,2.9
9/11/18,30,0,2.94
9/12/18,30,0,2.98
9/13/18,30,0,2.94
9/14/18,30,0,2.91
9/17/18,30,0,2.95
9/18/18,30,0,3
9/19/18,30,0,3.11
9/20/18,30,0,3.07
9/21/18,30,0,3.02
9/24/18,30,0,3.04
9/25/18,30,0,3.12
9/26/18,30,0,3.1
9/27/18,30,0,3.05
9/28/18,30,0,3.01
10/1/18,30,0,3.13
10/2/18,30,0,3.14
10/3/18,30,0,3.26
10/4/18,30,0,3.39
10/5/18,30,0,3.25
10/8/18,30,0,3.28
10/9/18,30,0,3.4
10/10/18,30,0,3.45
10/11/18,30,0,3.16
10/12/18,30,0,3.19
10/15/18,30,0,3.26
10/16/18,30,0,3.27
10/17/18,30,0,3.3
10/18/18,30,0,3.28
10/19/18,30,0,3.2
10/22/18,30,0,3.2
10/23/18,30,0,3.28
10/24/18,30,0,3.42
10/25/18,30,0,3.42
10/26/18,30,0,3.27
10/29/18,30,0,3.2
10/30/18,30,0,3.27
10/31/18,30,0,3.31
11/1/18,30,0,3.36
11/2/18,30,0,3.26
11/5/18,30,0,3.53
11/6/18,30,0,3.53
11/7/18,30,0,3.54
11/8/18,30,0,3.54
11/9/18,30,0,3.74
11/12/18,30,0,3.96
11/13/18,30,0,4.1
11/14/18,30,0,4.1
11/15/18,30,0,4.69
11/16/18,30,0,4.3
11/19/18,30,0,4.65
11/20/18,30,0,4.65
11/21/18,30,0,4.7
11/26/18,30,0,4.28
11/27/18,30,0,4.28
11/28/18,30,0,4.5
11/29/18,30,0,4.5
11/30/18,30,0,4.61
12/3/18,30,0,4.4
12/4/18,30,0,4.4
12/5/18,30,0,4.69
12/6/18,30,0,4.44
12/7/18,30,0,4.51
12/10/18,30,0,4.54
12/11/18,30,0,4.53
12/12/18,30,0,4.53
12/13/18,30,0,4.31
12/14/18,30,0,3.99
12/17/18,30,0,3.8
12/18/18,30,0,3.8
12/19/18,30,0,3.64
12/20/18,30,0,3.7
12/21/18,30,0,3.7
12/26/18,30,0,3.42
12/27/18,30,0,3.1
12/28/18,30,0,3.25
1/2/19,30,0,3.25
1/3/19,30,0,2.72
1/4/19,30,0,2.8
1/7/19,30,0,2.74
1/8/19,30,0,2.89
1/9/19,30,0,2.92
1/10/19,30,0,2.95
1/11/19,30,0,2.95
1/14/19,30,0,3.36
1/15/19,30,0,3.54
1/16/19,30,0,3.58
1/17/19,30,0,3.58
1/18/19,30,0,3.43
1/22/19,30,0,3.43
1/23/19,30,0,3.13
1/24/19,30,0,3.13
1/25/19,30,0,3.07
1/28/19,30,0,3.05
1/29/19,30,0,2.94
1/30/19,30,0,3
1/31/19,30,0,2.82
2/1/19,30,0,2.7
2/4/19,30,0,2.57
2/5/19,30,0,2.54
2/6/19,30,0,2.58
2/7/19,30,0,2.62
2/8/19,30,0,2.66
2/11/19,30,0,2.76
2/12/19,30,0,2.71
2/13/19,30,0,2.61
2/14/19,30,0,2.61
2/15/19,30,0,2.59
2/19/19,30,0,2.69
2/20/19,30,0,2.69
2/21/19,30,0,2.73
2/22/19,30,0,2.74
2/25/19,30,0,2.84
2/26/19,30,0,2.74
2/27/19,30,0,2.89
2/28/19,30,0,2.89
3/1/19,30,0,3.19
3/4/19,30,0,4.25
3/5/19,30,0,3.18
3/6/19,30,0,3.18
3/7/19,30,0,2.9
3/8/19,30,0,2.9
3/11/19,30,0,2.86
3/12/19,30,0,2.83
3/13/19,30,0,2.87
3/14/19,30,0,2.95
3/15/19,30,0,2.95
3/18/19,30,0,2.9
3/19/19,30,0,2.92
3/20/19,30,0,2.86
3/21/19,30,0,2.86
3/22/19,30,0,2.75
3/25/19,30,0,2.72
3/26/19,30,0,2.74
3/27/19,30,0,2.69
3/28/19,30,0,2.69
3/29/19,30,0,2.73
4/1/19,30,0,2.73
4/2/19,30,0,2.76
4/3/19,30,0,2.74
4/4/19,30,0,2.66
4/5/19,30,0,2.62
4/8/19,30,0,2.72
4/9/19,30,0,2.71
4/10/19,30,0,2.72
4/11/19,30,0,2.72
4/12/19,30,0,2.75
4/15/19,30,0,2.75
4/16/19,30,0,2.66
4/17/19,30,0,2.55
4/18/19,30,0,2.54
4/22/19,30,0,2.61
4/23/19,30,0,2.53
4/24/19,30,0,2.53
4/25/19,30,0,2.54
4/26/19,30,0,2.58
4/29/19,30,0,2.58
4/30/19,30,0,2.59
5/1/19,30,0,2.59
5/2/19,30,0,2.63
5/3/19,30,0,2.59
5/6/19,30,0,2.54
5/7/19,30,0,2.54
5/8/19,30,0,2.64
5/9/19,30,0,2.62
5/10/19,30,0,2.64
5/13/19,30,0,2.71
5/14/19,30,0,2.7
5/15/19,30,0,2.69
5/16/19,30,0,2.62
5/17/19,30,0,2.61
5/20/19,30,0,2.7
5/21/19,30,0,2.73
5/22/19,30,0,2.73
5/23/19,30,0,2.56
5/24/19,30,0,2.6
5/28/19,30,0,2.65
5/29/19,30,0,2.69
5/30/19,30,0,2.69
5/31/19,30,0,2.59
6/3/19,30,0,2.5
6/4/19,30,0,2.45
6/5/19,30,0,2.45
6/6/19,30,0,2.4
6/7/19,30,0,2.43
6/10/19,30,0,2.42
6/11/19,30,0,2.41
6/12/19,30,0,2.43
6/13/19,30,0,2.43
6/14/19,30,0,2.37
6/17/19,30,0,2.46
6/18/19,30,0,2.44
6/19/19,30,0,2.43
6/20/19,30,0,2.38
6/21/19,30,0,2.27
6/24/19,30,0,2.31
6/25/19,30,0,2.31
6/26/19,30,0,2.34
6/27/19,30,0,2.32
6/28/19,30,0,2.42
7/1/19,30,0,2.33
7/2/19,30,0,2.3
7/3/19,30,0,2.29
7/8/19,30,0,2.39
7/9/19,30,0,2.41
7/10/19,30,0,2.49
7/11/19,30,0,2.54
7/12/19,30,0,2.54
7/15/19,30,0,2.53
7/16/19,30,0,2.53
7/17/19,30,0,2.44
7/18/19,30,0,2.38
7/19/19,30,0,2.3
7/22/19,30,0,2.33
7/23/19,30,0,2.34
7/24/19,30,0,2.33
7/25/19,30,0,2.26
7/26/19,30,0,2.23
7/29/19,30,0,2.23
7/30/19,30,0,2.22
7/31/19,30,0,2.28
8/1/19,30,0,2.36
8/2/19,30,0,2.12
8/5/19,30,0,2.02
8/6/19,30,0,2.15
8/7/19,30,0,2.18
8/8/19,30,0,2.13
8/9/19,30,0,2.09
8/12/19,30,0,2.21
8/13/19,30,0,2.24
8/14/19,30,0,2.22
8/15/19,30,0,2.19
8/16/19,30,0,2.2
8/19/19,30,0,2.26
8/20/19,30,0,2.35
8/21/19,30,0,2.31
8/22/19,30,0,2.28
8/23/19,30,0,2.15
8/26/19,30,0,2.23
8/27/19,30,0,2.24
8/28/19,30,0,2.24
8/29/19,30,0,2.36
8/30/19,30,0,2.33
9/3/19,30,0,2.39
9/4/19,30,0,2.48
9/5/19,30,0,2.49
9/6/19,30,0,2.49
9/9/19,30,0,2.65
9/10/19,30,0,2.67
9/11/19,30,0,2.63
9/12/19,30,0,2.62
9/13/19,30,0,2.61
9/16/19,30,0,2.75
9/17/19,30,0,2.7
9/18/19,30,0,2.72
9/19/19,30,0,2.65
9/20/19,30,0,2.34
9/23/19,30,0,2.55
9/24/19,30,0,2.55
9/25/19,30,0,2.54
9/26/19,30,0,2.57
9/27/19,30,0,2.41
9/30/19,30,0,2.37
10/1/19,30,0,2.36
10/2/19,30,0,2.36
10/3/19,30,0,2.31
10/4/19,30,0,2.25
10/7/19,30,0,2.36
10/8/19,30,0,2.29
10/9/19,30,0,2.26
10/10/19,30,0,2.26
10/11/19,30,0,2.13
10/14/19,30,0,2.13
10/15/19,30,0,2.29
10/16/19,30,0,2.44
10/17/19,30,0,2.29
10/18/19,30,0,2.08
10/21/19,30,0,2.13
10/22/19,30,0,2.21
10/23/19,30,0,2.34
10/24/19,30,0,2.33
10/25/19,30,0,2.26
10/28/19,30,0,2.49
10/29/19,30,0,2.61
10/30/19,30,0,2.71
10/31/19,30,0,2.73
11/1/19,30,0,2.54
11/4/19,30,0,2.77
11/5/19,30,0,2.77
11/6/19,30,0,2.82
11/7/19,30,0,2.84
11/8/19,30,0,2.87
11/12/19,30,0,2.72
11/13/19,30,0,2.66
11/14/19,30,0,2.68
11/15/19,30,0,2.7
11/18/19,30,0,2.64
11/19/19,30,0,2.53
11/20/19,30,0,2.56
11/21/19,30,0,2.53
11/22/19,30,0,2.62
11/25/19,30,0,2.51
11/26/19,30,0,2.51
11/27/19,30,0,2.46
11/29/19,30,0,2.46
12/2/19,30,0,2.29
12/3/19,30,0,2.42
12/4/19,30,0,2.43
12/5/19,30,0,2.42
12/6/19,30,0,2.31
12/9/19,30,0,2.17
12/10/19,30,0,2.18
12/11/19,30,0,2.28
12/12/19,30,0,2.28
12/13/19,30,0,2.28
12/16/19,30,0,2.34
12/17/19,30,0,2.3
12/18/19,30,0,2.26
12/19/19,30,0,2.21
12/20/19,30,0,2.27
12/23/19,30,0,2.17
12/24/19,30,0,2.11
12/26/19,30,0,2.09
12/27/19,30,0,1.75
12/30/19,30,0,2.06
12/31/19,30,0,2.09
1/2/20,30,0,2.05
1/3/20,30,0,2.06
1/6/20,30,0,2.1
1/7/20,30,0,2.17
1/8/20,30,0,2.09
1/9/20,30,0,2.05
1/10/20,30,0,2.05
1/13/20,30,0,2.03
1/14/20,30,0,2.15
1/15/20,30,0,2.01
1/16/20,30,0,2.06
1/17/20,30,0,2.07
1/21/20,30,0,1.98
1/22/20,30,0,1.89
1/23/20,30,0,1.95
1/24/20,30,0,1.91
1/27/20,30,0,2.03
1/28/20,30,0,1.96
1/29/20,30,0,1.93
1/30/20,30,0,1.94
1/31/20,30,0,1.91
2/3/20,30,0,1.9
2/4/20,30,0,1.89
2/5/20,30,0,1.89
2/6/20,30,0,1.86
2/7/20,30,0,1.93
2/10/20,30,0,1.85
2/11/20,30,0,1.85
2/12/20,30,0,1.91
2/13/20,30,0,1.95
2/14/20,30,0,1.93
2/18/20,30,0,2.04
2/19/20,30,0,2.01
2/20/20,30,0,1.98
2/21/20,30,0,1.96
2/24/20,30,0,1.94
2/25/20,30,0,1.93
2/26/20,30,0,1.96
2/27/20,30,0,1.78
2/28/20,30,0,1.79
3/1/20,30,0,1.79
3/2/20,30,0,1.75
3/3/20,30,0,1.78
3/4/20,30,0,1.83
3/5/20,30,0,1.89
3/6/20,30,0,1.76
3/8/20,30,0,1.76
3/9/20,30,0,1.74
3/10/20,30,0,1.91
3/11/20,30,0,1.96
3/12/20,30,0,1.82
3/13/20,30,0,1.94
3/15/20,30,0,1.94
3/16/20,30,0,1.89
3/17/20,30,0,1.89
3/18/20,30,0,1.73
3/19/20,30,0,1.68
3/20/20,30,0,1.76
3/22/20,30,0,1.76
3/23/20,30,0,1.7
3/24/20,30,0,1.73
3/25/20,30,0,1.8
3/26/20,30,0,1.73
3/27/20,30,0,1.7
3/29/20,30,0,1.7
3/30/20,30,0,1.65
3/31/20,30,0,1.71
4/1/20,30,0,1.69
4/2/20,30,0,1.55
4/3/20,30,0,1.5
4/6/20,30,0,1.64
4/7/20,30,0,1.83
4/8/20,30,0,1.86
4/9/20,30,0,1.74
4/13/20,30,0,1.86
4/14/20,30,0,1.76
4/15/20,30,0,1.68
4/16/20,30,0,1.59
4/17/20,30,0,1.71
4/20/20,30,0,1.78
4/21/20,30,0,1.92
4/22/20,30,0,1.9
4/23/20,30,0,1.86
4/24/20,30,0,1.81
4/27/20,30,0,1.68
4/28/20,30,0,1.8
4/29/20,30,0,1.73
4/30/20,30,0,1.63
5/1/20,30,0,1.69
5/4/20,30,0,1.78
5/5/20,30,0,1.93
5/6/20,30,0,1.9
5/7/20,30,0,1.84
5/8/20,30,0,1.74
5/11/20,30,0,1.7
5/12/20,30,0,1.61
5/13/20,30,0,1.56
5/14/20,30,0,1.6
5/15/20,30,0,1.66
5/18/20,30,0,1.77
5/19/20,30,0,1.85
5/20/20,30,0,1.83
5/21/20,30,0,1.75
5/22/20,30,0,1.7
5/26/20,30,0,1.79
5/27/20,30,0,1.78
5/28/20,30,0,1.79
5/29/20,30,0,1.7
6/1/20,30,0,1.59
6/2/20,30,0,1.58
6/3/20,30,0,1.84
6/4/20,30,0,1.68
6/5/20,30,0,1.8
6/8/20,30,0,1.68
6/9/20,30,0,1.68
6/10/20,30,0,1.72
6/11/20,30,0,1.77
6/12/20,30,0,1.67
6/15/20,30,0,1.64
6/16/20,30,0,1.43
6/17/20,30,0,1.55
6/18/20,30,0,1.51
6/19/20,30,0,1.49
6/22/20,30,0,1.64
6/23/20,30,0,1.61
6/24/20,30,0,1.64
6/25/20,30,0,1.53
6/26/20,30,0,1.42
6/29/20,30,0,1.67
6/30/20,30,0,1.76
7/1/20,30,0,1.69
7/6/20,30,0,1.71
7/7/20,30,0,1.76
7/8/20,30,0,1.78
7/9/20,30,0,1.88
7/10/20,30,0,1.79
7/13/20,30,0,1.75
7/14/20,30,0,1.74
7/15/20,30,0,1.76
7/16/20,30,0,1.79
7/17/20,30,0,1.79
7/20/20,30,0,1.71
7/21/20,30,0,1.66
7/22/20,30,0,1.69
7/23/20,30,0,1.75
7/24/20,30,0,1.77
7/27/20,30,0,1.85
7/28/20,30,0,1.83
7/29/20,30,0,1.77
7/30/20,30,0,1.81
7/31/20,30,0,1.83
8/3/20,30,0,1.95
8/4/20,30,0,2.07
8/5/20,30,0,2.23
8/6/20,30,0,2.26
8/7/20,30,0,2.15
8/10/20,30,0,2.18
8/11/20,30,0,2.19
8/12/20,30,0,2.05
8/13/20,30,0,2.19
8/14/20,30,0,2.23
8/17/20,30,0,2.32
8/18/20,30,0,2.45
8/19/20,30,0,2.43
8/20/20,30,0,2.35
8/21/20,30,0,2.39
8/24/20,30,0,2.57
8/25/20,30,0,2.54
8/26/20,30,0,2.52
8/27/20,30,0,2.52
8/28/20,30,0,2.46
8/31/20,30,0,2.3
9/1/20,30,0,2.22
9/2/20,30,0,2.15
9/3/20,30,0,2.32
9/4/20,30,0,1.8
9/8/20,30,0,2.35
9/9/20,30,0,2.21
9/10/20,30,0,2.13
9/11/20,30,0,1.93
9/14/20,30,0,2.18
9/15/20,30,0,2.19
9/16/20,30,0,2.06
9/17/20,30,0,1.65
9/18/20,30,0,1.56
9/21/20,30,0,1.33
9/22/20,30,0,1.49
9/23/20,30,0,1.74
9/24/20,30,0,1.93
9/25/20,30,0,1.9
9/28/20,30,0,1.83
9/29/20,30,0,1.74
9/30/20,30,0,1.66
10/1/20,30,0,1.6
10/2/20,30,0,1.41
10/5/20,30,0,1.92
10/6/20,30,0,1.86
10/7/20,30,0,2.01
10/8/20,30,0,1.49
10/9/20,30,0,2.25
10/12/20,30,0,2.31
10/13/20,30,0,2.14
10/14/20,30,0,2.02
10/15/20,30,0,2.23
10/16/20,30,0,2.16
10/19/20,30,0,2.3
10/20/20,30,0,2.57
10/21/20,30,0,2.95
10/22/20,30,0,2.99
10/23/20,30,0,2.91
10/26/20,30,0,3.14
10/27/20,30,0,3.07
10/28/20,30,0,3.14
10/29/20,30,0,3.06
10/30/20,30,0,3.03
11/2/20,30,0,3.03
11/3/20,30,0,2.88
11/4/20,30,0,2.63
11/5/20,30,0,2.69
11/6/20,30,0,2.67
11/9/20,30,0,2.63
11/10/20,30,0,2.74
11/11/20,30,0,2.75
11/12/20,30,0,2.81
11/13/20,30,0,2.82
11/16/20,30,0,2.62
11/17/20,30,0,2.55
11/18/20,30,0,2.37
11/19/20,30,0,2.19
11/20/20,30,0,2.22
11/23/20,30,0,2.23
11/24/20,30,0,2.47
11/25/20,30,0,2.47
11/30/20,30,0,2.89
12/1/20,30,0,2.89
12/2/20,30,0,2.75
12/3/20,30,0,2.46
12/4/20,30,0,2.48
12/7/20,30,0,2.39
12/8/20,30,0,2.36
12/9/20,30,0,2.45
12/10/20,30,0,2.45
12/11/20,30,0,2.54
12/14/20,30,0,2.69
12/15/20,30,0,2.63
12/16/20,30,0,2.73
12/17/20,30,0,2.7
12/18/20,30,0,2.73
12/21/20,30,0,2.68
12/22/20,30,0,2.76
12/23/20,30,0,2.76
12/24/20,30,0,2.68
12/28/20,30,0,2.39
12/29/20,30,0,2.4
12/30/20,30,0,2.36
1/4/21,30,0,2.6
1/5/21,30,0,2.77
1/6/21,30,0,2.76
1/7/21,30,0,2.81
1/8/21,30,0,2.77
1/11/21,30,0,2.71
1/12/21,30,0,2.89
1/13/21,30,0,2.82
1/14/21,30,0,2.82
1/15/21,30,0,2.86
1/19/21,30,0,2.65
1/20/21,30,0,2.57
1/21/21,30,0,2.49
1/22/21,30,0,2.45
1/25/21,30,0,2.63
1/26/21,30,0,2.73
1/27/21,30,0,2.77
1/28/21,30,0,2.76
1/29/21,30,0,2.68
2/1/21,30,0,2.88
2/2/21,30,0,3.24
2/3/21,30,0,3.01
2/4/21,30,0,2.99
2/5/21,30,0,3.49
2/8/21,30,0,3.4
2/9/21,30,0,3.35
2/10/21,30,0,3.76
2/11/21,30,0,6.5
2/12/21,30,0,6.12
2/16/21,30,0,11.32
2/17/21,30,0,23.86
2/18/21,30,0,8.56
2/19/21,30,0,4.96
2/22/21,30,0,3.16
2/23/21,30,0,2.94
2/24/21,30,0,2.8
2/25/21,30,0,2.72
2/26/21,30,0,2.66
3/1/21,30,0,2.7
3/2/21,30,0,2.87
3/3/21,30,0,2.86
3/4/21,30,0,2.79
3/5/21,30,0,2.72
3/8/21,30,0,2.67
3/9/21,30,0,2.62
3/10/21,30,0,2.62
3/11/21,30,0,2.7
3/12/21,30,0,2.65
3/15/21,30,0,2.58
3/16/21,30,0,2.5
3/17/21,30,0,2.6
3/18/21,30,0,2.45
3/19/21,30,0,2.53
3/22/21,30,0,2.55
3/23/21,30,0,2.56
3/24/21,30,0,2.56
3/25/21,30,0,2.52
3/26/21,30,0,2.52
3/29/21,30,0,2.58
3/30/21,30,0,2.55
3/31/21,30,0,2.52
4/1/21,30,0,2.52
4/5/21,30,0,2.43
4/6/21,30,0,2.44
4/7/21,30,0,2.43
4/8/21,30,0,2.47
4/9/21,30,0,2.48
4/12/21,30,0,2.5
4/13/21,30,0,2.57
4/14/21,30,0,2.65
4/15/21,30,0,2.62
4/16/21,30,0,2.63
4/19/21,30,0,2.75
4/20/21,30,0,2.76
4/21/21,30,0,2.72
4/22/21,30,0,2.77
4/23/21,30,0,2.79
4/26/21,30,0,2.73
4/27/21,30,0,2.91
4/28/21,30,0,2.98
4/29/21,30,0,2.91
4/30/21,30,0,2.86
5/3/21,30,0,2.96
5/4/21,30,0,3
5/5/21,30,0,2.99
5/6/21,30,0,2.9
5/7/21,30,0,2.9
5/10/21,30,0,2.93
5/11/21,30,0,2.91
5/12/21,30,0,2.91
5/13/21,30,0,2.95
5/14/21,30,0,2.95
5/17/21,30,0,2.99
5/18/21,30,0,2.96
5/19/21,30,0,2.88
5/20/21,30,0,2.86
5/21/21,30,0,2.84
5/24/21,30,0,2.78
5/25/21,30,0,2.87
5/26/21,30,0,2.91
5/27/21,30,0,2.85
5/28/21,30,0,2.91
6/1/21,30,0,3.02
6/2/21,30,0,3.09
6/3/21,30,0,3.01
6/4/21,30,0,3.01
6/7/21,30,0,2.98
6/8/21,30,0,3.11
6/9/21,30,0,3.13
6/10/21,30,0,3.13
6/11/21,30,0,3.23
6/14/21,30,0,3.36
6/15/21,30,0,3.31
6/16/21,30,0,3.25
6/17/21,30,0,3.24
6/18/21,30,0,3.23
6/21/21,30,0,3.15
6/22/21,30,0,3.21
6/23/21,30,0,3.36
6/24/21,30,0,3.3
6/25/21,30,0,3.4
6/28/21,30,0,3.62
6/29/21,30,0,3.75
6/30/21,30,0,3.79
7/1/21,30,0,3.76
7/2/21,30,0,3.67
7/6/21,30,0,3.68
7/7/21,30,0,3.66
7/8/21,30,0,3.56
7/9/21,30,0,3.71
7/12/21,30,0,3.7
7/13/21,30,0,3.78
7/14/21,30,0,3.8
7/15/21,30,0,3.68
7/16/21,30,0,3.7
7/19/21,30,0,3.75
7/20/21,30,0,3.82
7/21/21,30,0,3.94
7/22/21,30,0,4.02
7/23/21,30,0,4.11
7/26/21,30,0,4.09
7/27/21,30,0,4.15
7/28/21,30,0,4.1
7/29/21,30,0,4.03
7/30/21,30,0,3.94
8/2/21,30,0,4.02
8/3/21,30,0,4.06
8/4/21,30,0,4.2
8/5/21,30,0,4.27
8/6/21,30,0,4.21
8/9/21,30,0,4.24
8/10/21,30,0,4.12
8/11/21,30,0,4.07
8/12/21,30,0,4.1
8/13/21,30,0,3.95
8/16/21,30,0,3.93
8/17/21,30,0,3.92
8/18/21,30,0,3.86
8/19/21,30,0,3.83
8/20/21,30,0,3.94
8/23/21,30,0,3.93
8/24/21,30,0,3.95
8/25/21,30,0,4.03
8/26/21,30,0,4.07
8/27/21,30,0,4.35
8/30/21,30,0,4.25
8/31/21,30,0,4.33
9/1/21,30,0,4.45
9/2/21,30,0,4.65
9/3/21,30,0,4.77
9/7/21,30,0,4.71
9/8/21,30,0,4.66
9/9/21,30,0,4.97
9/10/21,30,0,5.13
9/13/21,30,0,5.21
9/14/21,30,0,5.39
9/15/21,30,0,5.66
9/16/21,30,0,5.52
9/17/21,30,0,5.32
9/20/21,30,0,5.25
9/21/21,30,0,4.96
9/22/21,30,0,4.92
9/23/21,30,0,4.94
9/24/21,30,0,5.1
9/27/21,30,0,5.53
9/28/21,30,0,5.94
9/29/21,30,0,5.73
9/30/21,30,0,5.58
10/1/21,30,0,5.61
10/4/21,30,0,5.8
10/5/21,30,0,6.37
10/6/21,30,0,6
10/7/21,30,0,5.71
10/8/21,30,0,5.46
10/11/21,30,0,5.46
10/12/21,30,0,5.34
10/13/21,30,0,5.56
10/14/21,30,0,5.92
10/15/21,30,0,5.44
10/18/21,30,0,5.01
10/19/21,30,0,4.81
10/20/21,30,0,4.87
10/21/21,30,0,4.94
10/22/21,30,0,5.1
10/25/21,30,0,5.72
10/26/21,30,0,5.59
10/27/21,30,0,5.91
10/28/21,30,0,5.68
10/29/21,30,0,5.49
11/1/21,30,0,5.22
11/2/21,30,0,5.33
11/3/21,30,0,5.59
11/4/21,30,0,5.73
11/5/21,30,0,5.51
11/8/21,30,0,5.53
11/9/21,30,0,5.08
11/10/21,30,0,4.56
11/11/21,30,0,4.81
11/12/21,30,0,4.97
11/15/21,30,0,4.77
11/16/21,30,0,5.11
11/17/21,30,0,4.82
11/18/21,30,0,4.95
11/19/21,30,0,4.9
11/22/21,30,0,4.83
11/23/21,30,0,4.95
11/24/21,30,0,4.93
11/29/21,30,0,4.9
11/30/21,30,0,4.52
12/1/21,30,0,4.31
12/2/21,30,0,4.08
12/3/21,30,0,3.79
12/6/21,30,0,3.66
12/7/21,30,0,3.6
12/8/21,30,0,3.79
12/9/21,30,0,3.67
12/10/21,30,0,3.65
12/13/21,30,0,4.05
12/14/21,30,0,3.71
12/15/21,30,0,3.79
12/16/21,30,0,3.67
12/17/21,30,0,3.71
12/20/21,30,0,3.91
