name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Chuck Lenzie generating station,PB2,733,CC,2006,,36.383719,-114.9218,Clark,Nevada
Clark (NVE) power station,11,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,12,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,13,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,14,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,15,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,16,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,17,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,18,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,19,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,20,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,21,59,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,22,61,GT,2008,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,GT4,72,GT,1973,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,PB1,289,CC,1994,,36.0875,-115.0507,Clark,Nevada
Clark (NVE) power station,PB2,289,CC,1993,,36.0875,-115.0507,Clark,Nevada
Colusa generating station,CC1,712,CC,2010,,39.3661,-122.27,Colusa,California
Coolidge generation station,1,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,2,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,3,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,4,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,5,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,6,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,7,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,8,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,9,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,10,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,11,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Coolidge generation station,12,61,GT,2011,,32.917399,-111.5033,Pinal,Arizona
Cosumnes power station,CCC1,557,CC,2006,,38.338475,-121.124,Sacramento,California
Coyote Springs II power station,U2CT,287,CC,2003,,45.848039,-119.674,Morrow,Oregon
Coyote Springs power station,CC1,296,CC,1995,,45.847998,-119.6739,Morrow,Oregon
Crockett cogeneration Project power station,GE1,247,CC,1995,,38.0569,-122.2161,Contra Costa,California
Culbertson generation station,1,108,GT,2010,,48.21,-104.3917,Roosevelt,Montana
Cunningham power station,1,75,ST,1957,,32.7131,-103.3533,Lea,New Mexico
Cunningham power station,2,190,ST,1965,,32.7131,-103.3533,Lea,New Mexico
Cunningham power station,3,127,GT,1998,,32.7131,-103.3533,Lea,New Mexico
Cunningham power station,4,127,GT,1998,,32.7131,-103.3533,Lea,New Mexico
Currant Creek power station,CC1,649,CC,2006,,39.82144,-111.8935,Juab,Utah
Dave Gates generating station,1,68,GT,2011,,46.104713,-112.8766,Deer Lodge,Montana
Dave Gates generating station,2,68,GT,2011,,46.104713,-112.8766,Deer Lodge,Montana
Dave Gates generating station,3,68,GT,2011,,46.104713,-112.8766,Deer Lodge,Montana
Delano energy center,GEN1,61,GT,2013,,35.790864,-119.2945,Tulare,California
Delta energy center,CC1,944,CC,2002,,38.0169,-121.8439,Contra Costa,California
Demoss Petrie power station,GT2,85,GT,2001,,32.252273,-110.9921,Pima,Arizona
Desert Basin power station,CTG4,50,GT,2022,,32.9042,-111.7889,Pinal,Arizona
Desert Basin power station,CTG5,50,GT,2022,,32.9042,-111.7889,Pinal,Arizona
Desert Basin power station,STG3,646,CC,2001,,32.9042,-111.7889,Pinal,Arizona
Desert Star energy center,CC1,537,CC,2000,,35.788889,-114.9942,Clark,Nevada
Donald Von Raesfeld power plant,DVR1,154,CC,2005,,37.3767,-121.9508,Santa Clara,California
Dynegy Moss Landing power plant,CC1,699,CC,2002,,36.804837,-121.7822,Monterey,California
Dynegy Moss Landing power plant,CC2,699,CC,2002,,36.804837,-121.7822,Monterey,California
Dynegy Oakland Power Plant,GEN1,74.5,GT,1978,,37.79675,-122.28185,Alameda,California
Dynegy Oakland Power Plant,GEN2,74.5,GT,1978,2021,37.79675,-122.28185,Alameda,California
Dynegy Oakland Power Plant,GEN3,74.5,GT,1978,,37.79675,-122.28185,Alameda,California
El Cajon energy center,GEN1,61,GT,2010,,32.796106,-116.9721,San Diego,California
El Centro power station,4,82,ST,1968,,32.802222,-115.54,Imperial,California
El Centro power station,STM2,124,CC,1993,,32.802222,-115.54,Imperial,California
El Centro power station,STM3,152,CC,2012,,32.802222,-115.54,Imperial,California
El Segundo cogeneration power station,CC1,180,CC,2013,,33.9058,-118.4031,Los Angeles,California
El Segundo energy center,1011,269,CC,2013,,33.910556,-118.425,Los Angeles,California
El Segundo energy center,2021,269,CC,2013,,33.910556,-118.425,Los Angeles,California
Elk Hills power station,G541,623,CC,2003,,35.280318,-119.4707,Kern,California
Ellwood power station,1,58,GT,1974,,34.431419,-119.9001,Santa Barbara,California
Encogeneration power station,CC1,176,CC,1993,,48.746,-122.486,Whatcom,Washington
Escondido energy center,CTG1,54,GT,2014,,33.1261,-117.1172,San Diego,California
Evander Andrews power Complex,1,179,GT,2008,,43.179176,-115.7343,Elmore,Idaho
Ferndale generating station,CC1,286,CC,1994,,48.828996,-122.6851,Whatcom,Washington
Fort Churchill power station,1,115,ST,1968,,39.1281,-119.1322,Lyon,Nevada
Fort Churchill power station,2,115,ST,1971,,39.1281,-119.1322,Lyon,Nevada
Fort Lupton power station,1,50,GT,1972,,40.0922,-104.796,Weld,Colorado
Fort Lupton power station,2,50,GT,1972,,40.0922,-104.796,Weld,Colorado
Fort St Vrain power station,5,140,GT,2009,,40.2461,-104.8742,Weld,Colorado
Fort St Vrain power station,6,140,GT,2009,,40.2461,-104.8742,Weld,Colorado
Fort St Vrain power station,FSV0,868,CC,2001,,40.2461,-104.8742,Weld,Colorado
Foster Wheeler Martinez power station,CC1,114,CC,1987,,38.0244,-122.0589,Contra Costa,California
Frank Knutson power station,BR1,77,GT,2002,,39.941129,-104.682,Adams,Colorado
Frank Knutson power station,BR2,77,GT,2002,,39.941129,-104.682,Adams,Colorado
Frederickson Power power station,FP1,318,CC,2002,,47.086111,-122.3657,Pierce,Washington
Frederickson power station,1,89,GT,1981,,47.079722,-122.365,Pierce,Washington
Frederickson power station,2,89,GT,1981,,47.079722,-122.365,Pierce,Washington
Fresno cogeneration Partners power station,CC1,62,CC,2004,,36.617022,-120.0998,Fresno,California
Front Range power plant,CC1,554,CC,2003,,38.6281,-104.7069,El Paso,Colorado
Gadsby power station,1,69,ST,1951,,40.7686,-111.9289,Salt Lake,Utah
Gadsby power station,2,69,ST,1952,,40.7686,-111.9289,Salt Lake,Utah
Gadsby power station,3,134,ST,1955,,40.7686,-111.9289,Salt Lake,Utah
Gadsby power station,4,71,GT,2002,,40.7686,-111.9289,Salt Lake,Utah
Gadsby power station,5,71,GT,2002,,40.7686,-111.9289,Salt Lake,Utah
Gadsby power station,6,71,GT,2002,,40.7686,-111.9289,Salt Lake,Utah
Gateway generating station,CC1,620,CC,2009,,38.0175,-121.7587,Contra Costa,California
Gila River power station,BL03,619,CC,2003,,32.975,-112.6944,Maricopa,Arizona
Gila River power station,BL04,619,CC,2003,,32.975,-112.6944,Maricopa,Arizona
Gila River power station,PB1,619,CC,2003,,32.975,-112.6944,Maricopa,Arizona
