name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Rathdrum power station,2,83,GT,1994,,47.7858,-116.9203,Kootenai,Idaho
Rathdrum power station,CC1,302,CC,2001,,47.7858,-116.9203,Kootenai,Idaho
Rawhide Energy Station,A,89,GT,2002,,40.860905,-105.0212,Larimer,Colorado
Rawhide Energy Station,B,89,GT,2002,,40.860905,-105.0212,Larimer,Colorado
Rawhide Energy Station,C,89,GT,2002,,40.860905,-105.0212,Larimer,Colorado
Rawhide Energy Station,D,89,GT,2004,,40.860905,-105.0212,Larimer,Colorado
Rawhide Energy Station,F,150,GT,2008,,40.860905,-105.0212,Larimer,Colorado
Red Hawk power station,CC1,573,CC,2002,,33.334562,-112.8406,Maricopa,Arizona
Red Hawk power station,CC2,567,CC,2002,,33.334562,-112.8406,Maricopa,Arizona
Redding power station,101,109,CC,2011,,40.507292,-122.4233,Shasta,California
Redondo Beach generation station,5,163,ST,1954,2023,33.8504,-118.395,Los Angeles,California
Redondo Beach generation station,6,163,ST,1957,2023,33.8504,-118.395,Los Angeles,California
Redondo Beach generation station,8,495,ST,1967,2023,33.8504,-118.395,Los Angeles,California
Reeves power station,3,66,ST,1962,,35.171,-106.6019,Bernalillo,New Mexico
Richmond cogeneration power station,CC1,156,CC,2006,,37.9418,-122.3909,Contra Costa,California
Rifle generating station,CC1,84,CC,1987,2022,39.5173,-107.7299,Garfield,Colorado
Rio Bravo (NM) power station,GT1,150,GT,2000,,35.026,-106.644,Bernalillo,New Mexico
Rio Grande (New Mexico) power station,6,50,ST,1957,,31.8047,-106.5472,Dona Ana,New Mexico
Rio Grande (New Mexico) power station,7,50,ST,1958,,31.8047,-106.5472,Dona Ana,New Mexico
Rio Grande (New Mexico) power station,8,167,ST,1972,,31.8047,-106.5472,Dona Ana,New Mexico
Rio Grande (New Mexico) power station,9,132,GT,2013,,31.8047,-106.5472,Dona Ana,New Mexico
Ripon generation station,1,61,GT,2006,,37.7315,-121.116,San Joaquin,California
Ripon generation station,2,61,GT,2006,,37.7315,-121.116,San Joaquin,California
River Road Gen Plant,1,248,CC,1997,,45.6497,-122.7256,Clark,Washington
Riverside Energy Resource Center (CA),1,50,GT,2006,,33.9636,-117.4528,Riverside,California
Riverside Energy Resource Center (CA),2,50,GT,2006,,33.9636,-117.4528,Riverside,California
Rocky Mountain energy center,RKM0,685,CC,2004,,40.0908,-104.5953,Weld,Colorado
Roseville energy park,A101,165,CC,2007,,38.7928,-121.3811,Placer,California
Russell City energy center,CC1,655,CC,2013,,37.63466,-122.1338,Alameda,California
Saguaro (AZ) power station,GE1,78,GT,2002,,32.5517,-111.3,Pinal,Arizona
Saguaro (AZ) power station,GT1,53,GT,1972,,32.5517,-111.3,Pinal,Arizona
Saguaro (AZ) power station,GT2,53,GT,1973,,32.5517,-111.3,Pinal,Arizona
Saguaro power (NV) station,CC1,127,CC,1991,,36.0417,-115.0117,Clark,Nevada
Santan power station,ST1,104,CC,1974,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,ST2,104,CC,1974,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,ST3,104,CC,1974,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,ST4,104,CC,1975,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,STS5,622,CC,2005,,33.3325,-111.7503,Maricopa,Arizona
Santan power station,STS6,290,CC,2006,,33.3325,-111.7503,Maricopa,Arizona
SCA cogeneration 2 power station,CCC1,149,CC,1997,,38.530943,-121.4001,Sacramento,California
Scattergood power station,1,163,ST,1958,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,2,163,ST,1959,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,6,107,GT,2015,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,7,107,GT,2015,,33.918151,-118.4276,Los Angeles,California
Scattergood power station,CC1,336,CC,2015,,33.918151,-118.4276,Los Angeles,California
SEGS IX power station,GEN1,92,ST,1990,,35.033,-117.338,San Bernardino,California
SEGS VIII power station,GEN1,92,ST,1989,2021,35.0308,-117.3563,San Bernardino,California
Sentinel energy center,CTG1,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG2,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG3,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG4,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG5,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG6,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG7,100,GT,2013,,33.934167,-116.5714,Riverside,California
Sentinel energy center,CTG8,100,GT,2013,,33.934167,-116.5714,Riverside,California
Silverhawk power station,PB1,665,CC,2004,,36.4078,-114.9606,Clark,Nevada
South Point energy center,CC1,708,CC,2001,,34.8678,-114.5317,Mohave,Arizona
SPA cogeneration 3 power station,CCC1,174,CC,1997,,38.511,-121.4735,Sacramento,California
Spindle Hill energy center,GEN1,210,GT,2007,,40.092192,-104.8878,Weld,Colorado
Spindle Hill energy center,GEN2,210,GT,2007,,40.092192,-104.8878,Weld,Colorado
Stanton Energy Reliability Center,GT1,71,GT,2020,,33.806801,-117.9858,Orange,California
Stanton Energy Reliability Center,GT2,71,GT,2020,,33.806801,-117.9858,Orange,California
Sumas power plant,CC1,126,CC,1993,,48.9905,-122.2733,Whatcom,Washington
Sundance power station,CT1,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT10,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT2,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT3,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT4,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT5,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT6,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT7,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT8,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sundance power station,CT9,61,GT,2002,,32.9285,-111.5899,Pinal,Arizona
Sunrise power station,CC1,685,CC,2003,,35.2097,-119.585,Kern,California
Sutter energy center,CC1,636,CC,2001,,39.053139,-121.6959,Sutter,California
Sycamore cogeneration power station,GTAG,75,GT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTBG,75,GT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTCG,75,GT,1987,,35.452577,-118.9853,Kern,California
Sycamore cogeneration power station,GTDG,75,GT,1987,,35.452577,-118.9853,Kern,California
THUMS power station,GEN1,57,GT,2003,,33.7684,-118.2141,Los Angeles,California
Tracy Combined Cycle power plant,CC12,336,CC,2012,,37.7107,-121.4906,San Joaquin,California
Tracy power station,3,120,ST,1974,,39.5625,-119.525,Storey,Nevada
Tracy power station,G240,120,CC,1996,,39.5625,-119.525,Storey,Nevada
Tracy power station,GT3,85,GT,1994,,39.5625,-119.525,Storey,Nevada
Tracy power station,GT4,85,GT,1994,,39.5625,-119.525,Storey,Nevada
Tracy power station,PB1,623,CC,2008,,39.5625,-119.525,Storey,Nevada
Valencia energy facility,CTG1,160,GT,2008,,34.611549,-106.7322,Valencia,New Mexico
Valencia power station,GT4,54,GT,2006,,31.363472,-110.9313,Santa Cruz,Arizona
Valero Refinery cogeneration Unit 1 power station,GT 1,50,GT,2002,,38.0736,-122.1411,Solano,California
Valley (CA) power station,5,61,GT,2001,,34.244991,-118.3913,Los Angeles,California
Valley (CA) power station,CC1,630,CC,2003,,34.244991,-118.3913,Los Angeles,California
Valmont Station,6,59,GT,1973,,40.0205,-105.2009,Boulder,Colorado
Valmont Station,UN7,71,GT,2000,,40.0205,-105.2009,Boulder,Colorado
Valmont Station,UN8,71,GT,2001,,40.0205,-105.2009,Boulder,Colorado
Walnut Creek energy park,GT1,100,GT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT2,100,GT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT3,100,GT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT4,100,GT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut Creek energy park,GT5,100,GT,2013,,34.008709,-117.9449,Los Angeles,California
Walnut energy center,WEC,301,CC,2006,,37.4878,-120.8956,Stanislaus,California
Watson cogeneration power station,CC1,405,CC,1988,,33.816647,-118.2448,Los Angeles,California
West Phoenix power station,1B,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,2B,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,3B,132,CC,1976,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,CC1,136,CC,2001,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,CC2,570,CC,2003,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,GT1,53,GT,1972,,33.4417,-112.1583,Maricopa,Arizona
West Phoenix power station,GT2,53,GT,1973,,33.4417,-112.1583,Maricopa,Arizona
Western 102 power station,1,117.6,IC,2005,,39.5603,-119.5108,Storey,Nevada
Whitehorn power station,2,85,GT,1981,,48.885636,-122.7516,Whatcom,Washington
Whitehorn power station,3,85,GT,1981,,48.885636,-122.7516,Whatcom,Washington
Woodland power station,CC1,98,CC,2003,,37.652602,-121.0204,Stanislaus,California
Woodland power station,IC,50.4,IC,2011,,37.652602,-121.020397,Stanislaus,California
Woodland power station,NA1,50,GT,1993,,37.652602,-121.0204,Stanislaus,California
Yellowstone Energy LP power station,GEN1,68,ST,1995,,45.8117,-108.4278,Yellowstone,Montana
Yuba City cogeneration Partners power station,GEN1,50,GT,1990,,39.13667,-121.6398,Sutter,California
Yucca power station,GT3,72,GT,1973,,32.7214,-114.7106,Yuma,Arizona
Yucca power station,GT4,72.4,GT,1974,,32.7214,-114.7106,Yuma,Arizona
Yucca power station,GT5,61,GT,2008,,32.7214,-114.7106,Yuma,Arizona
Yucca power station,GT6,61,GT,2008,,32.7214,-114.7106,Yuma,Arizona
Yucca power station,ST1,87,ST,1959,,32.7214,-114.7106,Yuma,Arizona
Yuma cogeneration Associates power station,YUCG,63,CC,1994,,32.728822,-114.6541,Yuma,Arizona
