datetime,startup[$/MW],shutdown[$/MW],energy[$/MWh]
2018-01-01 00:00:00 UTC,150.00,0.00,107.00
2019-01-01 00:00:00 UTC,150.00,0.00,77.90
2020-01-01 00:00:00 UTC,150.00,0.00,60.80
2021-01-01 00:00:00 UTC,150.00,0.00,138.10
2022-01-01 00:00:00 UTC,150.00,0.00,344.90
