application,Year,Y,N,blank,other,total,answered,response_rate_%,Y_share_of_answered_%,Y_share_of_fleet_%
Arbitrage,2018,13,6,28,0,47,19,40.4,68.4,27.7
Arbitrage,2019,24,7,30,0,61,31,50.8,77.4,39.3
Arbitrage,2020,27,7,39,0,73,34,46.6,79.4,37.0
Arbitrage,2021,50,5,52,0,107,55,51.4,90.9,46.7
Arbitrage,2022,71,6,75,0,152,77,50.7,92.2,46.7
Backup Power,2018,12,6,29,0,47,18,38.3,66.7,25.5
Backup Power,2019,10,7,44,0,61,17,27.9,58.8,16.4
Backup Power,2020,12,0,61,0,73,12,16.4,100.0,16.4
Backup Power,2021,12,3,92,0,107,15,14.0,80.0,11.2
Backup Power,2022,12,3,137,0,152,15,9.9,80.0,7.9
Co-Located Renewable Firming,2018,3,4,40,0,47,7,14.9,42.9,6.4
Co-Located Renewable Firming,2019,2,4,55,0,61,6,9.8,33.3,3.3
Co-Located Renewable Firming,2020,6,4,63,0,73,10,13.7,60.0,8.2
Co-Located Renewable Firming,2021,10,3,94,0,107,13,12.1,76.9,9.3
Co-Located Renewable Firming,2022,16,3,133,0,152,19,12.5,84.2,10.5
Excess Wind and Solar Generation,2018,7,7,33,0,47,14,29.8,50.0,14.9
Excess Wind and Solar Generation,2019,12,7,42,0,61,19,31.1,63.2,19.7
Excess Wind and Solar Generation,2020,18,0,55,0,73,18,24.7,100.0,24.7
Excess Wind and Solar Generation,2021,38,2,67,0,107,40,37.4,95.0,35.5
Excess Wind and Solar Generation,2022,65,5,82,0,152,70,46.1,92.9,42.8
Frequency Regulation,2018,19,1,27,0,47,20,42.6,95.0,40.4
Frequency Regulation,2019,19,1,41,0,61,20,32.8,95.0,31.1
Frequency Regulation,2020,22,1,50,0,73,23,31.5,95.7,30.1
Frequency Regulation,2021,40,0,67,0,107,40,37.4,100.0,37.4
Frequency Regulation,2022,63,0,89,0,152,63,41.4,100.0,41.4
Load Following,2018,7,3,37,0,47,10,21.3,70.0,14.9
Load Following,2019,7,3,51,0,61,10,16.4,70.0,11.5
Load Following,2020,10,0,63,0,73,10,13.7,100.0,13.7
Load Following,2021,14,1,92,0,107,15,14.0,93.3,13.1
Load Following,2022,18,1,133,0,152,19,12.5,94.7,11.8
Load Management,2018,17,5,25,0,47,22,46.8,77.3,36.2
Load Management,2019,20,6,35,0,61,26,42.6,76.9,32.8
Load Management,2020,24,0,49,0,73,24,32.9,100.0,32.9
Load Management,2021,32,0,75,0,107,32,29.9,100.0,29.9
Load Management,2022,37,0,115,0,152,37,24.3,100.0,24.3
Ramping / Spinning Reserve,2018,14,0,33,0,47,14,29.8,100.0,29.8
Ramping / Spinning Reserve,2019,12,0,49,0,61,12,19.7,100.0,19.7
Ramping / Spinning Reserve,2020,16,0,57,0,73,16,21.9,100.0,21.9
Ramping / Spinning Reserve,2021,27,0,80,0,107,27,25.2,100.0,25.2
Ramping / Spinning Reserve,2022,45,0,107,0,152,45,29.6,100.0,29.6
System Peak Shaving,2018,26,5,16,0,47,31,66.0,83.9,55.3
System Peak Shaving,2019,36,5,20,0,61,41,67.2,87.8,59.0
System Peak Shaving,2020,41,0,32,0,73,41,56.2,100.0,56.2
System Peak Shaving,2021,42,0,65,0,107,42,39.3,100.0,39.3
System Peak Shaving,2022,54,0,98,0,152,54,35.5,100.0,35.5
Transmission and Distribution Deferral,2018,3,2,42,0,47,5,10.6,60.0,6.4
Transmission and Distribution Deferral,2019,3,2,56,0,61,5,8.2,60.0,4.9
Transmission and Distribution Deferral,2020,3,2,68,0,73,5,6.8,60.0,4.1
Transmission and Distribution Deferral,2021,3,2,102,0,107,5,4.7,60.0,2.8
Transmission and Distribution Deferral,2022,4,2,146,0,152,6,3.9,66.7,2.6
Voltage or Reactive Power Support,2018,6,4,37,0,47,10,21.3,60.0,12.8
Voltage or Reactive Power Support,2019,6,4,51,0,61,10,16.4,60.0,9.8
Voltage or Reactive Power Support,2020,8,0,65,0,73,8,11.0,100.0,11.0
Voltage or Reactive Power Support,2021,18,0,89,0,107,18,16.8,100.0,16.8
Voltage or Reactive Power Support,2022,20,1,131,0,152,21,13.8,95.2,13.2
