Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Operating Month,Operating Year,Nameplate Capacity (MW),Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Nameplate Reactive Power Rating,Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,Year,geohash,match_dist_km
9216,Imperial Irrigation District,389,El Centro,CA,Imperial,BESS,OP,Batteries,BA,10,2016,30.0,20.0,30.0,30.0,14.4,LIB,,,,BL,N,Y,Y,Y,N,,,,Y,,N,2018,9mvffm,6.46
17609,Southern California Edison Co,6704,Pebbly Beach,CA,Los Angeles,NASB1,OP,Batteries,BA,8,2012,1.0,6.8,1.0,1.0,0.8,NAB,,,,CS,,,,Y,,,Y,Y,Y,,,2018,9mupsy,54.93
54736,AltaGas Pomona Energy Inc.,50300,AltaGas Pomona Energy Inc.,CA,Los Angeles,BESS1,OP,Batteries,BA,12,2016,20.0,20.0,20.0,20.0,20.0,LIB,,,,BL,,Y,Y,,,,N,N,N,N,,2018,9qh3ky,20.16
1752,Biola University,54296,Biola University,CA,Los Angeles,BATT,OP,Batteries,BA,2,2018,0.3,0.5,0.3,0.3,0.3,LIB,,,,CS,,,,,,,Y,N,,,,2018,9q5bwz,15.28
17609,Southern California Edison Co,56472,Grapeland Peaker,CA,San Bernardino,BA1,OP,Batteries,BA,12,2016,10.0,10.0,10.0,10.0,6.0,LIB,,,,BL,N,Y,N,Y,N,N,N,N,N,N,N,2018,9qh3ky,9.56
17609,Southern California Edison Co,56475,Center Peaker,CA,Los Angeles,BA1,OP,Batteries,BA,12,2016,10.0,10.0,10.0,10.0,6.0,LIB,,,,BL,N,Y,N,Y,N,N,N,N,N,N,N,2018,9q5bwz,8.56
56918,University of California San Diego,57584,University of California San Diego,CA,San Diego,BS1,OP,Batteries,BA,12,2015,2.5,2.5,2.5,2.5,2.5,LIB,,,,CS,,,Y,,,,Y,Y,,,,2018,9mudw2,13.84
11204,Los Alamos County,58256,Los Alamos PV Site,NM,Los Alamos,2,OP,Batteries,BA,9,2012,1.0,6.0,1.0,1.0,0.5,NAB,,,,CS,,,,Y,,,,,,Y,,2018,9we1bp,210.67
11204,Los Alamos County,58256,Los Alamos PV Site,NM,Los Alamos,3,OP,Batteries,BA,9,2012,0.8,2.3,0.8,0.8,0.5,PBB,,,,CS,,,,Y,,,,,,Y,,2018,9we1bp,210.67
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co,CA,Butte,BESS,OP,Batteries,BA,2,2017,0.5,1.0,0.5,0.5,0.5,LIB,,,,OT,,,,,,,Y,N,,,Y,2018,9r13pb,23.76
