geohash,Year,generators,nameplate_MW,energy_MWh,max_charge_MW,max_discharge_MW,reactive_MVAR,max_P_MW,ratio_aggregate,ratio_energy_weighted,screened_out
9mvffm,2022,2,155.0,270.0,155.0,155.0,68.0,155.0,0.4387,0.4326,0
9mvgw4,2021,1,35.0,140.0,35.0,35.0,11.5,35.0,0.3286,0.3286,0
9mvgw4,2022,3,315.0,1260.0,315.0,315.0,36.1,315.0,0.1146,0.1146,0
9pr8ne,2021,1,2.2,8.8,1.5,1.8,2.3,1.8,1.2778,1.2778,0
9pr8ne,2022,1,2.2,8.8,1.5,1.8,2.3,1.8,1.2778,1.2778,0
9q5bwz,2018,2,10.3,10.5,10.3,10.3,6.3,10.3,0.6117,0.619,0
9q5bwz,2019,5,16.3,47.1,16.3,16.3,12.3,16.3,0.7546,0.9151,0
9q5bwz,2020,5,16.3,47.1,16.3,16.3,12.3,16.3,0.7546,0.9151,0
9q5bwz,2021,6,116.3,447.1,116.3,116.3,112.3,116.3,0.9656,0.9911,0
9q5bwz,2022,6,116.3,447.1,116.3,116.3,112.3,116.3,0.9656,0.9911,0
9q5dy2,2021,3,113.0,450.0,113.0,113.0,76.6,113.0,0.6779,0.6742,0
9q5dy2,2022,3,113.0,450.0,113.0,113.0,76.6,113.0,0.6779,0.6742,0
9q5fm0,2018,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
9q5fm0,2019,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
9q5fm0,2020,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
9q5fm0,2021,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
9q5fm0,2022,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
9q5sgb,2021,3,98.0,362.0,98.0,98.0,39.0,98.0,0.398,0.3481,0
9q5sgb,2022,3,98.0,362.0,97.0,97.0,39.0,97.0,0.4021,0.3518,0
9q5zqv,2018,2,28.0,42.0,28.0,28.0,19.0,28.0,0.6786,0.5595,0
9q5zqv,2019,2,9.5,33.5,9.5,9.5,5.5,9.5,0.5789,0.5224,0
9q5zqv,2020,3,29.5,43.5,29.5,29.5,20.5,29.5,0.6949,0.5747,0
9q5zqv,2021,5,235.2,643.0,234.7,234.7,160.0,234.7,0.6817,0.6756,0
9q5zqv,2022,12,689.5,1768.5,684.7,684.7,606.5,684.7,0.8858,0.8196,0
9q6tde,2021,3,145.0,357.0,145.0,145.0,151.5,145.0,1.0448,1.0734,0
9q6tde,2022,7,285.3,918.0,285.3,285.3,197.5,285.3,0.6923,0.6178,0
9q92vz,2021,2,400.0,400.0,400.0,400.0,400.0,400.0,1.0,1.0,0
9q92vz,2022,4,583.0,2330.8,582.6,582.6,191.3,582.6,0.3284,0.3285,0
9q97v8,2018,1,4.0,28.0,4.0,4.0,5.0,4.0,1.25,1.25,0
9q97v8,2019,2,4.5,28.5,4.2,4.3,5.3,4.3,1.2326,1.2456,0
9q97v8,2020,2,4.5,28.5,4.2,4.3,5.3,4.3,1.2326,1.2456,0
9q97v8,2021,1,0.5,0.5,0.2,0.3,0.3,0.3,1.0,1.0,0
9q97v8,2022,1,0.5,0.5,0.2,0.3,0.3,0.3,1.0,1.0,0
9q9fy1,2018,1,0.5,0.9,0.5,0.5,0.5,0.5,1.0,1.0,0
9q9fy1,2019,1,0.5,0.9,0.5,0.5,0.5,0.5,1.0,1.0,0
9q9fy1,2020,1,0.5,0.9,0.5,0.5,0.5,0.5,1.0,1.0,0
9q9fy1,2021,1,0.5,0.9,0.5,0.5,0.5,0.5,1.0,1.0,0
9q9fy1,2022,1,0.5,0.9,0.5,0.5,0.5,0.5,1.0,1.0,0
9q9hq4,2021,1,0.6,1.1,0.6,0.6,0.8,0.6,1.3333,1.3333,0
9q9hq4,2022,3,2.5,4.2,2.5,2.5,0.8,2.5,0.32,0.3492,0
9q9jb9,2020,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9q9jb9,2021,2,1.5,2.9,1.5,1.5,2.1,1.5,1.4,1.3724,0
9q9jb9,2022,2,1.5,2.9,1.5,1.5,2.1,1.5,1.4,1.3724,0
9qben2,2020,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9qben2,2021,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9qben2,2022,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9qc26h,2022,1,200.0,800.0,200.0,200.0,66.0,200.0,0.33,0.33,0
9qc63x,2018,1,2.0,14.0,2.0,2.0,2.5,2.0,1.25,1.25,0
9qc63x,2019,1,2.0,14.0,2.0,2.0,2.5,2.0,1.25,1.25,0
9qc63x,2020,1,2.0,14.0,2.0,2.0,2.5,2.0,1.25,1.25,0
9qcbq0,2022,1,1.0,2.2,1.0,1.0,1.0,1.0,1.0,1.0,0
9qct8r,2022,2,5.0,5.0,5.0,5.0,8.8,5.0,1.76,1.76,0
9qcts0,2022,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9qd2ds,2021,1,37.0,128.0,32.0,32.0,10.5,32.0,0.3281,0.3281,0
9qd2ds,2022,2,72.0,288.0,67.0,67.0,23.7,67.0,0.3537,0.3554,0
9qd9xh,2020,2,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.0,0
9qd9xh,2021,2,0.6,0.6,0.6,0.6,0.0,0.6,0.0,0.0,0
9qd9xh,2022,3,1.4,3.7,1.4,1.4,0.0,1.4,0.0,0.0,0
9qdbm8,2020,1,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0
9qdbm8,2021,1,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0
9qdbm8,2022,1,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0
9qh0rw,2019,2,2.2,13.2,2.2,2.2,2.2,2.2,1.0,1.0,0
9qh0rw,2020,3,2.7,13.7,2.3,2.3,2.3,2.3,1.0,1.0,0
9qh0rw,2021,3,2.7,13.7,2.3,2.3,2.3,2.3,1.0,1.0,0
9qh0rw,2022,4,5.1,17.6,4.7,4.7,4.7,4.7,1.0,1.0,0
9qh3ky,2018,4,50.0,110.0,50.0,50.0,32.6,50.0,0.652,0.4764,0
9qh3ky,2019,4,50.0,110.0,50.0,50.0,32.6,50.0,0.652,0.4764,0
9qh3ky,2020,4,50.0,110.0,50.0,50.0,32.6,50.0,0.652,0.4764,0
9qh3ky,2021,5,51.1,112.1,51.1,51.1,33.7,51.1,0.6595,0.4862,0
9qh3ky,2022,5,51.1,112.1,51.1,51.1,33.7,51.1,0.6595,0.4862,0
9qhh0n,2020,1,6.0,3.4,6.0,6.0,6.0,6.0,1.0,1.0,0
9qhh0n,2021,1,6.0,3.4,6.0,6.0,6.0,6.0,1.0,1.0,0
9qhh0n,2022,3,235.3,911.4,233.0,233.0,82.6,233.0,0.3545,0.3399,0
9qhsdk,2021,1,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0
9qhsdk,2022,1,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0
9qj152,2018,2,1.5,4.5,1.5,1.5,3.0,1.5,2.0,2.0,0
9qj152,2019,2,1.5,4.5,1.5,1.5,3.0,1.5,2.0,2.0,0
9qj152,2020,2,1.5,4.5,1.5,1.5,3.0,1.5,2.0,2.0,0
9qj152,2021,2,4.0,15.0,4.0,4.0,4.5,4.0,1.125,1.1,0
9qj152,2022,3,4.5,16.5,4.5,4.5,6.0,4.5,1.3333,1.2727,0
9qndpr,2021,4,523.0,2298.4,523.0,523.0,572.8,523.0,1.0952,1.0956,0
9qndpr,2022,9,1227.0,5114.4,1185.0,1183.0,699.2,1185.0,0.59,0.5923,0
9qqk6u,2021,1,90.0,360.0,90.0,90.0,210.0,90.0,2.3333,2.3333,0
9qqk6u,2022,1,90.0,360.0,90.0,90.0,210.0,90.0,2.3333,2.3333,0
9r13pb,2018,1,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0
9r13pb,2019,1,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0
9r13pb,2020,1,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0
9r13pb,2021,1,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0
9r13pb,2022,1,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0
9r4bc7,2022,2,75.0,300.0,75.0,75.0,24.6,75.0,0.328,0.328,0
9r50xy,2021,1,10.0,40.0,10.0,10.0,3.3,10.0,0.33,0.33,0
9r50xy,2022,1,10.0,40.0,10.0,10.0,3.3,10.0,0.33,0.33,0
9rb6wg,2018,1,5.0,1.3,5.0,5.0,5.0,5.0,1.0,1.0,0
9rb6wg,2019,1,5.0,1.3,5.0,5.0,5.0,5.0,1.0,1.0,0
9rb6wg,2020,1,5.0,1.3,5.0,5.0,5.0,5.0,1.0,1.0,0
9rb6wg,2021,1,5.0,1.3,5.0,5.0,5.0,5.0,1.0,1.0,0
9rb6wg,2022,1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0
9rkf69,2021,1,25.0,25.0,25.0,25.0,0.8,25.0,0.032,0.032,0
9rkf69,2022,1,25.0,25.0,25.0,25.0,0.8,25.0,0.032,0.032,0
9w01f3,2018,4,32.0,53.0,30.0,32.0,25.1,32.0,0.7844,0.9816,0
9w01f3,2019,5,42.0,93.0,40.0,42.0,35.1,42.0,0.8357,0.9895,0
9w01f3,2020,5,42.0,100.5,40.0,42.0,35.1,42.0,0.8357,0.9903,0
9w01f3,2021,7,97.0,253.0,95.0,97.0,61.1,97.0,0.6299,0.7669,0
9w01f3,2022,7,97.0,252.5,95.0,97.0,61.1,97.0,0.6299,0.7678,0
9w1zzg,2022,1,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9wdb95,2018,1,0.8,1.3,0.5,0.5,0.8,0.5,1.6,1.6,0
9wdb95,2019,1,0.8,1.3,0.5,0.5,0.8,0.5,1.6,1.6,0
9wdb95,2020,1,0.8,1.3,0.5,0.5,0.8,0.5,1.6,1.6,0
9wdb95,2021,1,0.8,1.3,0.5,0.5,0.8,0.5,1.6,1.6,0
9wdb95,2022,1,0.8,1.3,0.5,0.5,0.8,0.5,1.6,1.6,0
9we1bp,2018,2,1.8,8.3,1.8,1.8,1.0,1.8,0.5556,0.5346,0
9we1bp,2022,1,12.0,25.0,12.0,12.0,5.0,12.0,0.4167,0.4167,0
9wve62,2018,1,1.0,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1
9wve62,2019,4,6.5,12.0,6.5,6.5,3.7,6.5,0.5692,0.5278,1
9wve62,2020,2,5.2,10.7,5.2,5.2,2.4,5.2,0.4615,0.4704,1
9wve62,2021,2,5.2,10.7,5.2,5.2,2.4,5.2,0.4615,0.4704,1
9wve62,2022,2,5.2,10.7,5.2,5.2,2.4,5.2,0.4615,0.4704,1
