Year,geohash,technology,generators,nameplate_MW,energy_MWh,share_MW,share_MWh
2018,9muccv,Flow battery,1,2.0,8.0,1.0,1.0
2018,9mudw2,Lithium-ion battery,4,41.0,155.5,1.0,1.0
2018,9mumuf,Lithium-ion battery,6,45.5,51.5,1.0,1.0
2018,9mupsy,Lithium-ion battery,5,13.3,76.3,0.9301,0.9182
2018,9mupsy,Sodium based battery,1,1.0,6.8,0.0699,0.0818
2018,9mvffm,Lithium-ion battery,1,30.0,20.0,1.0,1.0
2018,9q5bwz,Lithium-ion battery,2,10.3,10.5,1.0,1.0
2018,9q5fm0,Lithium-ion battery,1,2.0,1.0,1.0,1.0
2018,9q5zqv,Lithium-ion battery,2,28.0,42.0,1.0,1.0
2018,9q97v8,Sodium based battery,1,4.0,28.0,1.0,1.0
2018,9q9fy1,Lithium-ion battery,1,0.5,0.9,1.0,1.0
2018,9qc63x,Sodium based battery,1,2.0,14.0,1.0,1.0
2018,9qh3ky,Lithium-ion battery,4,50.0,110.0,1.0,1.0
2018,9qj152,Lithium-ion battery,2,1.5,4.5,1.0,1.0
2018,9r13pb,Lithium-ion battery,1,0.5,1.0,1.0,1.0
2018,9rb6wg,Lithium-ion battery,1,5.0,1.3,1.0,1.0
2018,9w01f3,Lithium-ion battery,4,32.0,53.0,1.0,1.0
2018,9wdb95,Lead-acid battery,1,0.8,1.3,1.0,1.0
2018,9we1bp,Sodium based battery,1,1.0,6.0,0.5556,0.7229
2018,9we1bp,Lead-acid battery,1,0.8,2.3,0.4444,0.2771
2018,9wve62,Lithium-ion battery,2,2.0,14.8,1.0,1.0
2018,9xkgmv,Lithium-ion battery,1,4.0,4.0,1.0,1.0
2018,c2967d,Lithium-ion battery,2,2.0,1.0,1.0,1.0
2018,c2c10y,Lithium-ion battery,1,2.0,4.4,1.0,1.0
2019,9muccv,Flow battery,1,2.0,8.0,1.0,1.0
2019,9mudw2,Lithium-ion battery,5,42.0,159.5,1.0,1.0
2019,9mumuf,Lithium-ion battery,6,45.5,51.5,1.0,1.0
2019,9mupsy,Lithium-ion battery,10,23.0,136.1,0.9583,0.9524
2019,9mupsy,Sodium based battery,1,1.0,6.8,0.0417,0.0476
2019,9mvffm,Lithium-ion battery,1,30.0,20.0,1.0,1.0
2019,9q5bwz,Lithium-ion battery,5,16.3,47.1,1.0,1.0
2019,9q5fm0,Lithium-ion battery,1,2.0,1.0,1.0,1.0
2019,9q5zqv,Lithium-ion battery,2,9.5,33.5,1.0,1.0
2019,9q97v8,Sodium based battery,1,4.0,28.0,0.8889,0.9825
2019,9q97v8,Lithium-ion battery,1,0.5,0.5,0.1111,0.0175
2019,9q9fy1,Lithium-ion battery,1,0.5,0.9,1.0,1.0
2019,9qc63x,Sodium based battery,1,2.0,14.0,1.0,1.0
2019,9qh0rw,Lithium-ion battery,2,2.2,13.2,1.0,1.0
2019,9qh3ky,Lithium-ion battery,4,50.0,110.0,1.0,1.0
2019,9qj152,Lithium-ion battery,2,1.5,4.5,1.0,1.0
2019,9r13pb,Lithium-ion battery,1,0.5,1.0,1.0,1.0
2019,9rb6wg,Lithium-ion battery,1,5.0,1.3,1.0,1.0
2019,9w01f3,Lithium-ion battery,5,42.0,93.0,1.0,1.0
2019,9wdb95,Lead-acid battery,1,0.8,1.3,1.0,1.0
2019,9wve62,Lithium-ion battery,5,7.5,13.0,1.0,1.0
2019,9xkgmv,Lithium-ion battery,1,4.0,16.0,1.0,1.0
