Plant Code,Plant Name,State,Latitude,Longitude,geohash,match_dist_km
141,Agua Fria,AZ,33.5561,-112.2153,9w01f3,59.3
260,Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241,9q92vz,8.69
389,El Centro,CA,32.802222,-115.54,9mvffm,6.46
6704,Pebbly Beach,CA,33.333056,-118.310278,9mupsy,54.93
50300,AltaGas Pomona Energy Inc.,CA,34.059444,-117.774167,9qh3ky,20.16
54296,Biola University,CA,33.906953,-118.013105,9q5bwz,15.28
56472,Grapeland Peaker,CA,34.0903,-117.5343,9qh3ky,9.56
56475,Center Peaker,CA,33.9296,-118.1046,9q5bwz,8.56
57584,University of California San Diego,CA,32.8747,-117.2392,9mudw2,13.84
57693,DOE Golden NWTC Research Side Hybrid,CO,39.9139,-105.2153,9wve62,159.97
58256,Los Alamos PV Site,NM,35.875556,-106.31,9we1bp,210.67
58462,McCoy Solar Energy Project Hybrid,CA,33.694722,-114.739722,9qndpr,65.09
58585,Sierra Nevada Brewing Co,CA,39.724167,-121.815278,9r13pb,23.76
58625,Santa Rita Jail,CA,37.719167,-121.886944,9q9m24,25.84
58899,Prosperity Energy Storage Facility,NM,35.001944,-106.637222,9wdb95,255.53
59150,RE Mustang LLC,CA,36.221667,-119.903056,9q6tde,21.65
59256,Vaca Dixon Battery Storage System,CA,38.393333,-121.927778,9qc63x,1.49
59257,Yerba Buena,CA,37.305833,-121.755,9q97v8,9.32
59661,Tehachapi Energy Storage Project,CA,35.123333,-118.38,9q5zqv,20.36
59817,Tooele Army Depot(CSG),UT,40.50303,-112.37059,9x0mgn,31.97
59939,RE Tranquillity,CA,36.581365,-120.40447,9qd2ds,11.88
60016,MESA 1,WA,47.936194,-122.246917,c2967d,44.1
60021,MESA 2,WA,47.972667,-122.198694,c2967d,38.68
60092,"Blythe Solar II, LLC",CA,33.68,-114.73,9qndpr,65.81
60093,"Blythe Solar 110, LLC",CA,33.68,-114.742,9qndpr,66.5
60094,"Blythe Solar III, LLC Hybrid",CA,33.656,-114.742,9qndpr,68.6
60231,Genentech-Oceanside,CA,33.211095,-117.299593,9mumuf,29.84
60233,RE Garland,CA,34.825267,-118.524989,9q5sgb,29.1
60249,Silicon Valley Clean Water,CA,37.542619,-122.231119,9q9jb9,8.93
60441,Salem Smart Power Center,OR,44.922,-123.0183,9rb6wg,97.06
60444,Glacier Battery Storage,WA,48.88804,-121.9462,c2c10y,65.7
60491,Springbok 3 Solar Farm Hybrid,CA,35.171153,-118.001652,9q5zqv,20.51
60565,Borrego Springs Energy Storage,CA,33.27011,-116.3496,9qj152,76.1
60566,Pala Energy Storage Yard,CA,33.35651,-117.113599,9mumuf,41.31
60567,Ortega Highway Energy Storage,CA,33.562061,-117.543777,9mumuf,21.4
60568,Canyon Crest Academy,CA,32.95907,-117.191622,9mudw2,20.11
60569,El Cajon Energy Storage,CA,32.8115,-117.050546,9mudw2,8.72
60570,Escondido Energy Storage,CA,33.124446,-117.114274,9mudw2,37.94
60641,Henrietta D Energy Storage LLC,CA,36.228872,-119.904686,9q6tde,21.85
60654,Townsite Solar Project Hybrid,NV,35.937336,-114.883999,9qqk6u,4.42
60661,Mira Loma Energy Storage Facility,CA,34.006125,-117.560934,9qh3ky,0.4
60698,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,9mupsy,13.97
60699,DESI-1 Battery Energy Storage Facility,CA,33.799248,-117.873371,9qh0rw,8.36
60760,Millikan BESS,CA,33.691,-117.833,9mupsy,7.29
60974,Glendale Battery Energy Storage System,CA,34.162327,-118.283684,9q5fm0,3.2
60996,Iron Horse Battery Storage,AZ,32.098492,-110.819119,9w01f3,263.94
61098,Battle Mountain Solar Project,NV,40.718433,-117.06143,9rkf69,52.47
61107,Vanadium Redox Flow Battery Plant,CA,32.682506,-116.988781,9muccv,0.61
61197,Pima Energy Storage System,AZ,32.251647,-110.991333,9w01f3,240.81
61204,"AES ES ALAMITOS, LLC",CA,33.770202,-118.099665,9q5bwz,14.06
61366,Top Gun Energy Storage,CA,32.876198,-117.167791,9mudw2,10.62
61431,Beacon BESS 1,CA,35.256526,-118.027519,9q5zqv,26.33
61439,Panasonic Carport Solar,CO,39.808719,-104.781494,9wve62,141.33
61661,Vista Energy Storage System ,CA,33.203977,-117.253852,9mumuf,33.79
61678,Pinal Central Energy Center,AZ,32.875697,-111.551111,9w01f3,154.12
61721,HEBT WLA 1,CA,33.669266,-117.646846,9qh0rw,22.13
61722,HEBT Irvine 1,CA,33.713489,-117.852086,9mupsy,5.77
61723,HEBT Irvine 2,CA,33.665246,-117.768222,9mupsy,13.74
61795,Pacific Union College BESS,CA,38.570028,-122.444028,9qben2,28.77
61861,AES ES GILBERT,AZ,33.446804,-111.956261,9w01f3,80.18
61913,Punkin Center Battery Storage,AZ,33.87581,-111.31356,9w01f3,102.24
61925,Casa Mesa Wind Energy Center,NM,34.604989,-103.966089,9wve62,442.7
