Year,geohash,technology_dominant,dominant_share_MW,mixed,technologies,generators,nameplate_MW,energy_MWh,dominant_MW
2021,9qhh0n,Lithium-ion battery,1.0,False,1,1,6.0,3.4,6.0
2021,9qhsdk,Lithium-ion battery,1.0,False,1,1,50.0,50.0,50.0
2021,9qj152,Lithium-ion battery,1.0,False,1,2,4.0,15.0,4.0
2021,9qndpr,Lithium-ion battery,1.0,False,1,4,523.0,2298.4,523.0
2021,9qqk6u,Lithium-ion battery,1.0,False,1,1,90.0,360.0,90.0
2021,9r13pb,Lithium-ion battery,1.0,False,1,1,0.5,1.0,0.5
2021,9r50xy,Lithium-ion battery,1.0,False,1,1,10.0,40.0,10.0
2021,9rb6wg,Lithium-ion battery,1.0,False,1,1,5.0,1.3,5.0
2021,9rkf69,Lithium-ion battery,1.0,False,1,1,25.0,25.0,25.0
2021,9w01f3,Lithium-ion battery,1.0,False,1,7,97.0,253.0,97.0
2021,9wdb95,Lead-acid battery,1.0,False,1,1,0.8,1.3,0.8
2021,9wve62,Lithium-ion battery,1.0,False,1,3,6.2,11.7,6.2
2021,9xkgmv,Lithium-ion battery,1.0,False,1,2,5.0,18.0,5.0
2021,c26crp,Lithium-ion battery,1.0,False,1,1,1.0,4.0,1.0
2021,c2967d,Lithium-ion battery,1.0,False,1,1,1.0,1.4,1.0
2021,c2c10y,Lithium-ion battery,1.0,False,1,1,2.0,4.4,2.0
2022,9muccv,Lithium-ion battery,0.9921,True,2,2,252.0,258.0,250.0
2022,9mudw2,Lithium-ion battery,1.0,False,1,12,233.4,792.0,233.4
2022,9mumuf,Lithium-ion battery,1.0,False,1,4,43.7,48.0,43.7
2022,9mupsy,Lithium-ion battery,0.9918,True,2,21,122.5,399.6,121.5
2022,9mvffm,Lithium-ion battery,1.0,False,1,2,155.0,270.0,155.0
2022,9mvgw4,Lithium-ion battery,1.0,False,1,3,315.0,1260.0,315.0
2022,9pr8ne,Lithium-ion battery,1.0,False,1,1,2.2,8.8,2.2
2022,9q5bwz,Lithium-ion battery,1.0,False,1,6,116.3,447.1,116.3
2022,9q5dy2,Lithium-ion battery,1.0,False,1,3,113.0,450.0,113.0
2022,9q5fm0,Lithium-ion battery,1.0,False,1,1,2.0,1.0,2.0
2022,9q5sgb,Lithium-ion battery,1.0,False,1,3,98.0,362.0,98.0
2022,9q5zqv,Lithium-ion battery,1.0,False,1,12,689.5,1768.5,689.5
2022,9q6tde,Lithium-ion battery,1.0,False,1,7,285.3,918.0,285.3
2022,9q92vz,Lithium-ion battery,1.0,False,1,4,583.0,2330.8,583.0
2022,9q97v8,Lithium-ion battery,1.0,False,1,1,0.5,0.5,0.5
2022,9q9fy1,Lithium-ion battery,1.0,False,1,1,0.5,0.9,0.5
2022,9q9hq4,Lithium-ion battery,1.0,False,1,3,2.5,4.2,2.5
2022,9q9jb9,Lithium-ion battery,1.0,False,1,2,1.5,2.9,1.5
2022,9q9pk4,Lithium-ion battery,1.0,False,1,1,0.7,0.0,0.7
2022,9qben2,Lithium-ion battery,1.0,False,1,1,1.0,2.0,1.0
2022,9qc26h,Lithium-ion battery,1.0,False,1,1,200.0,800.0,200.0
2022,9qcbq0,Lithium-ion battery,1.0,False,1,1,1.0,2.2,1.0
2022,9qct8r,Lithium-ion battery,1.0,False,1,2,5.0,5.0,5.0
2022,9qcts0,Lithium-ion battery,1.0,False,1,1,1.0,2.0,1.0
2022,9qd2ds,Lithium-ion battery,1.0,False,1,2,72.0,288.0,72.0
2022,9qd9xh,Lithium-ion battery,1.0,False,1,3,1.4,3.7,1.4
2022,9qdbm8,Lithium-ion battery,1.0,False,1,1,0.3,0.3,0.3
2022,9qh0rw,Lithium-ion battery,1.0,False,1,4,5.1,17.6,5.1
2022,9qh3ky,Lithium-ion battery,1.0,False,1,5,51.1,112.1,51.1
2022,9qhh0n,Lithium-ion battery,1.0,False,1,3,235.3,911.4,235.3
2022,9qhsdk,Lithium-ion battery,1.0,False,1,1,50.0,50.0,50.0
2022,9qj152,Lithium-ion battery,1.0,False,1,3,4.5,16.5,4.5
2022,9qndpr,Lithium-ion battery,1.0,False,1,9,1227.0,5114.4,1227.0
2022,9qqk6u,Lithium-ion battery,1.0,False,1,1,90.0,360.0,90.0
2022,9r13pb,Lithium-ion battery,1.0,False,1,1,0.5,1.0,0.5
2022,9r4bc7,Lithium-ion battery,1.0,False,1,2,75.0,300.0,75.0
2022,9r50xy,Lithium-ion battery,1.0,False,1,1,10.0,40.0,10.0
2022,9rb6wg,Lithium-ion battery,1.0,False,1,1,5.0,5.0,5.0
2022,9rkf69,Lithium-ion battery,1.0,False,1,1,25.0,25.0,25.0
2022,9w01f3,Lithium-ion battery,1.0,False,1,7,97.0,252.5,97.0
2022,9w1zzg,Lithium-ion battery,1.0,False,1,1,1.0,4.0,1.0
2022,9wdb95,Lead-acid battery,1.0,False,1,1,0.8,1.3,0.8
2022,9we1bp,Lithium-ion battery,1.0,False,1,1,12.0,25.0,12.0
2022,9wve62,Lithium-ion battery,1.0,False,1,3,6.2,11.7,6.2
2022,9xkgmv,Lithium-ion battery,1.0,False,1,2,5.0,18.0,5.0
2022,c245ue,Lithium-ion battery,1.0,False,1,1,30.0,120.0,30.0
2022,c26crp,Lithium-ion battery,1.0,False,1,1,1.0,4.0,1.0
2022,c2967d,Lithium-ion battery,1.0,False,1,1,1.0,1.4,1.0
2022,c2c10y,Lithium-ion battery,1.0,False,1,1,2.0,4.4,2.0
