Year,generators,energy_MWh,blend_by_energy,blend_by_power,blend_unweighted,reference_only,blend_pessimistic,adjustment_points,pessimistic_points
2018,41,559.7,0.8577130605681613,0.8588217967599409,0.8560975609756096,0.86,0.8548543862783632,-0.22869394318386638,-0.5145613721636799
2019,57,715.5,0.8582110412299091,0.8588888888888887,0.8571929824561404,0.86,0.8559748427672956,-0.1788958770090887,-0.4025157232704357
2020,69,1005.4999999999999,0.8587270014917953,0.8594562446898896,0.85768115942029,0.86,0.8571357533565391,-0.12729985082047257,-0.2864246643460855
2021,105,7075.700000000001,0.8598190991703999,0.859875379702469,0.8584761904761905,0.86,0.8595929731334,-0.018090082960009468,-0.0407026866599991
2022,150,17812.7,0.8599281411577133,0.8599388262282547,0.8589333333333335,0.86,0.859838317604855,-0.007185884228666506,-0.016168239514502414
