datetime,Speed,Direction,Temperature,Pressure
2018-01-01 00:00:00+00:00,1.2,115.0,-22.4,897.0
2018-01-01 00:30:00+00:00,1.2,118.0,-23.0,897.0
2018-01-01 01:00:00+00:00,1.2,122.0,-23.5,897.0
2018-01-01 01:30:00+00:00,1.1,126.0,-23.9,897.0
2018-01-01 02:00:00+00:00,1.0,131.0,-24.2,896.0
2018-01-01 02:30:00+00:00,1.0,138.0,-24.4,896.0
2018-01-01 03:00:00+00:00,1.0,145.0,-24.6,896.0
2018-01-01 03:30:00+00:00,1.0,149.0,-24.6,896.0
2018-01-01 04:00:00+00:00,1.0,152.0,-24.6,896.0
2018-01-01 04:30:00+00:00,1.0,152.0,-24.7,895.0
2018-01-01 05:00:00+00:00,1.1,152.0,-24.8,895.0
2018-01-01 05:30:00+00:00,1.1,154.0,-24.9,895.0
2018-01-01 06:00:00+00:00,1.1,156.0,-24.9,895.0
2018-01-01 06:30:00+00:00,1.1,158.0,-24.5,894.0
2018-01-01 07:00:00+00:00,1.2,160.0,-24.2,894.0
2018-01-01 07:30:00+00:00,1.1,159.0,-23.5,894.0
2018-01-01 08:00:00+00:00,1.1,158.0,-22.9,894.0
2018-01-01 08:30:00+00:00,1.0,155.0,-22.3,894.0
2018-01-01 09:00:00+00:00,0.8,151.0,-21.7,894.0
2018-01-01 09:30:00+00:00,0.7,145.0,-21.4,893.0
2018-01-01 10:00:00+00:00,0.6,138.0,-21.1,893.0
2018-01-01 10:30:00+00:00,0.7,118.0,-20.9,893.0
2018-01-01 11:00:00+00:00,0.7,98.0,-20.8,893.0
2018-01-01 11:30:00+00:00,0.9,86.0,-20.9,893.0
2018-01-01 12:00:00+00:00,1.1,73.0,-21.0,893.0
2018-01-01 12:30:00+00:00,0.8,76.0,-21.4,893.0
2018-01-01 13:00:00+00:00,0.6,79.0,-21.8,893.0
2018-01-01 13:30:00+00:00,0.3,92.0,-22.2,893.0
2018-01-01 14:00:00+00:00,0.1,106.0,-22.6,893.0
2018-01-01 14:30:00+00:00,0.3,190.0,-22.3,893.0
2018-01-01 15:00:00+00:00,0.5,274.0,-21.9,893.0
2018-01-01 15:30:00+00:00,0.9,275.0,-21.0,894.0
2018-01-01 16:00:00+00:00,1.3,275.0,-20.1,894.0
2018-01-01 16:30:00+00:00,1.4,281.0,-18.9,894.0
2018-01-01 17:00:00+00:00,1.6,286.0,-17.7,894.0
