NAME,F_BUS,T_BUS,BR_STATUS,PF,PT,QF,QT,VF,VT,PMIN,PMAX,QMINF,QMAXF,QMINT,QMAXT,LOSS0,LOSS1
PDCI,4007,2619,1,2483,2466,0,0,1.075,1.012,-3100,3100,-2000,2000,-2000,2000,0,0.00374
IMSST,2604,2600,1,1606,1591,0,0,1.03,1.056,0,1660,-100,100,-100,100,0,0.00322
